date,CAD_MISC_2021_Q1,meta
2021-03-12 15:00:00,-41.861495203967934,
2021-03-12 15:30:30,-41.861495203967934,
2021-03-12 23:59:59,0.0,a
2021-03-15 00:00:00,-63.49835691510634,
2021-03-15 10:00:00,-112.43853961424611,
2021-03-15 10:30:00,-82.41242048403728,
2021-03-15 12:00:00,-97.48602662071426,
2021-03-15 13:30:00,-119.7107674539402,
2021-03-15 15:00:00,-143.3905668609641,
2021-03-15 15:30:30,-143.3905668609641,
2021-03-15 23:59:59,-153.93654020880604,c
2021-03-16 00:00:00,-165.6709878926613,
2021-03-16 10:00:00,-117.02701493537825,
2021-03-16 10:30:00,-140.7603402296736,
2021-03-16 12:00:00,-96.04492830216623,
2021-03-16 13:30:00,-138.96531233160204,
2021-03-16 15:00:00,-171.8519673261835,
