date,AS_GUNR_2022_Q2,meta
2022-06-10 20:00:00,-7.382968915900165,
2022-06-10 23:00:00,-7.382968915900165,
2022-06-10 23:59:59,0.0,a
2022-06-13 00:00:00,159.0290950631877,
2022-06-13 01:00:00,181.44807734605365,
2022-06-13 02:30:00,173.8815453301729,
2022-06-13 03:00:00,173.65085401068518,
2022-06-13 18:30:00,160.43961569704243,
2022-06-13 20:00:00,127.80516492407924,
2022-06-13 23:00:00,173.05520876545143,
2022-06-13 23:59:59,176.8886598991137,c
2022-06-14 00:00:00,151.75271873224324,
2022-06-14 01:00:00,125.01325460056614,
2022-06-14 02:30:00,127.16496790929091,
2022-06-14 03:00:00,126.87086927150449,
2022-06-14 18:30:00,126.37229854087013,
2022-06-14 20:00:00,113.81049487636233,
2022-06-14 23:00:00,155.73278371118113,
