date,MSCI_US_MIG_HEDGED_2020_Q4,meta
2020-10-27 15:00:00,216.57872766542545,
2020-10-27 15:30:30,216.57872766542545,
2020-10-27 23:59:59,224.6573576984684,c
2020-10-28 00:00:00,236.39428478097415,
2020-10-28 10:00:00,236.9803638675216,
2020-10-28 10:30:00,237.37311220330668,
2020-10-28 12:00:00,245.96302380232356,
2020-10-28 13:30:00,280.5644059032855,
2020-10-28 15:00:00,281.0662284353867,
2020-10-28 15:30:30,281.0662284353867,
2020-10-28 23:59:59,294.1095692230022,c
2020-10-29 00:00:00,283.389643059937,
2020-10-29 10:00:00,257.23321848761253,
2020-10-29 10:30:00,234.803341945628,
2020-10-29 12:00:00,259.22858951650795,
2020-10-29 13:30:00,266.13330429492936,
2020-10-29 15:00:00,264.5853639698707,
2020-10-29 15:30:30,264.5853639698707,
2020-10-29 23:59:59,250.03021905932286,c
2020-10-30 00:00:00,279.4139530804793,
2020-10-30 10:00:00,262.80198415606736,
2020-10-30 10:30:00,260.7385107277776,
2020-10-30 12:00:00,220.26210935275918,
2020-10-30 13:30:00,238.35904925801066,
2020-10-30 15:00:00,222.04201763264842,
2020-10-30 15:30:30,222.04201763264842,
2020-10-30 23:59:59,244.87595976651886,w
2020-11-02 00:00:00,209.35688640159373,
2020-11-02 10:00:00,246.083887960729,
2020-11-02 10:30:00,258.3132254337632,
2020-11-02 12:00:00,237.84811750518958,
2020-11-02 13:30:00,208.0157596786268,
2020-11-02 15:00:00,216.02049783583965,
2020-11-02 15:30:30,216.02049783583965,
2020-11-02 23:59:59,212.0682937898701,c
2020-11-03 00:00:00,125.55539151128602,
2020-11-03 10:00:00,134.228477434338,
2020-11-03 10:30:00,119.77525586875646,
2020-11-03 12:00:00,105.58754885018487,
2020-11-03 13:30:00,128.05439475173904,
2020-11-03 15:00:00,130.1601128749166,
2020-11-03 15:30:30,130.1601128749166,
2020-11-03 23:59:59,133.61018760472217,c
2020-11-04 00:00:00,131.80481882208272,
2020-11-04 10:00:00,183.97804283433624,
2020-11-04 10:30:00,217.97772832094148,
2020-11-04 12:00:00,274.4269437628122,
2020-11-04 13:30:00,278.7198228550316,
2020-11-04 15:00:00,290.2778405390605,
2020-11-04 15:30:30,290.2778405390605,
2020-11-04 23:59:59,301.67040346345533,c
2020-11-05 00:00:00,337.3302441242036,
2020-11-05 10:00:00,321.3270781354998,
2020-11-05 10:30:00,354.14671120748284,
2020-11-05 12:00:00,370.88804313837187,
2020-11-05 13:30:00,349.70087878898295,
2020-11-05 15:00:00,350.79108226574675,
2020-11-05 15:30:30,350.79108226574675,
2020-11-05 23:59:59,336.5438104017796,c
2020-11-06 00:00:00,388.4479580987833,
2020-11-06 10:00:00,346.5947187793268,
2020-11-06 10:30:00,403.11313049474967,
2020-11-06 12:00:00,401.8912557050343,
2020-11-06 13:30:00,421.13241435761273,
2020-11-06 15:00:00,443.4869195149659,
2020-11-06 15:30:30,443.4869195149659,
2020-11-06 23:59:59,437.69299707894794,w
2020-11-09 00:00:00,331.77932845861454,
2020-11-09 10:00:00,109.12560264221412,
2020-11-09 10:30:00,111.95497384687957,
2020-11-09 12:00:00,119.34444511444116,
2020-11-09 13:30:00,29.74143813597476,
2020-11-09 15:00:00,-16.260814124088256,
2020-11-09 15:30:30,-16.260814124088256,x
2020-11-09 23:59:59,-36.160853100877546,c
2020-11-10 00:00:00,6.801026748000652,
2020-11-10 10:00:00,-39.36659139579655,
2020-11-10 10:30:00,-77.2227530036331,
2020-11-10 12:00:00,-32.09829115941005,
2020-11-10 13:30:00,-26.42807876128444,
2020-11-10 15:00:00,3.161114129156772,
2020-11-10 15:30:30,3.161114129156772,
2020-11-10 23:59:59,0.0,a
2020-11-11 00:00:00,47.89822736217644,
2020-11-11 10:00:00,112.76293163661938,
2020-11-11 10:30:00,147.14849490802823,
2020-11-11 12:00:00,159.95708755834795,
2020-11-11 13:30:00,137.65051547539764,
2020-11-11 15:00:00,138.0867979058567,
2020-11-11 15:30:30,138.0867979058567,
2020-11-11 23:59:59,137.10664766003316,c
2020-11-12 00:00:00,121.39692070037773,
2020-11-12 10:00:00,147.76701193872083,
2020-11-12 10:30:00,131.75505095494003,
2020-11-12 12:00:00,115.54714798805179,
2020-11-12 13:30:00,107.76693125728235,
2020-11-12 15:00:00,116.91122980958409,
2020-11-12 15:30:30,116.91122980958409,
2020-11-12 23:59:59,101.02685209807902,c
2020-11-13 00:00:00,105.71551316562085,
2020-11-13 10:00:00,66.53350415032793,
2020-11-13 10:30:00,58.70117295360859,
2020-11-13 12:00:00,37.87106147202468,
2020-11-13 13:30:00,19.814774301376133,
2020-11-13 15:00:00,4.800750224895694,
2020-11-13 15:30:30,4.800750224895694,
2020-11-13 23:59:59,-8.385379675783327,w
0,-8.385379675783327,
0,-8.385379675783327,
0,-8.385379675783327,
0,-8.385379675783327,
0,-8.385379675783327,
0,-8.385379675783327,
0,-8.385379675783327,
0,-8.385379675783327,
0,-8.385379675783327,
0,-8.385379675783327,
0,-8.385379675783327,
0,-8.385379675783327,
0,-8.385379675783327,
0,-8.385379675783327,
0,-8.385379675783327,
0,-8.385379675783327,
2020-11-16 00:00:00,-79.87876251622743,
2020-11-16 10:00:00,-62.219675997262414,
2020-11-16 10:30:00,-67.52119460397381,
2020-11-16 12:00:00,-82.73695588454598,
2020-11-16 13:30:00,-88.90489396644244,
2020-11-16 15:00:00,-123.0333711437982,
2020-11-16 15:30:30,-123.0333711437982,
2020-11-16 23:59:59,-113.41145256239173,c
2020-11-17 00:00:00,-111.05374176582097,
2020-11-17 10:00:00,-85.60111752364804,
2020-11-17 10:30:00,-91.16633512649878,
2020-11-17 12:00:00,-87.47332649659671,
2020-11-17 13:30:00,-90.03351789123525,
2020-11-17 15:00:00,-77.83344560058379,
2020-11-17 15:30:30,-77.83344560058379,
2020-11-17 23:59:59,-82.11680907286126,c
2020-11-18 00:00:00,-73.24063313647753,
2020-11-18 10:00:00,-69.2210220756067,
2020-11-18 10:30:00,-80.60410137053611,
2020-11-18 12:00:00,-84.86323002485273,
2020-11-18 13:30:00,-82.2385345037195,
2020-11-18 15:00:00,-78.23697717497095,
2020-11-18 15:30:30,-78.23697717497095,
2020-11-18 23:59:59,-78.27095620764413,c
2020-11-19 00:00:00,-42.41586065209782,
2020-11-19 10:00:00,11.091134152206678,
2020-11-19 10:30:00,33.20010441801668,
2020-11-19 12:00:00,-2.372241335680826,
2020-11-19 13:30:00,-0.5471299991241949,
2020-11-19 15:00:00,1.6950190143714963,
2020-11-19 15:30:30,1.6950190143714963,
2020-11-19 23:59:59,-2.9973781053152493,c
2020-11-20 00:00:00,18.297713989800627,
2020-11-20 10:00:00,32.39802771634862,
2020-11-20 10:30:00,72.8043689844306,
2020-11-20 12:00:00,61.7057926629829,
2020-11-20 13:30:00,66.54123359867941,
2020-11-20 15:00:00,59.52429138639826,
2020-11-20 15:30:30,59.52429138639826,
2020-11-20 23:59:59,48.703892002526175,w
2020-11-23 00:00:00,50.272644658236516,
2020-11-23 10:00:00,57.989255477229165,
2020-11-23 10:30:00,15.798467731790765,
2020-11-23 12:00:00,33.51528754610439,
2020-11-23 13:30:00,17.67037463678946,
2020-11-23 15:00:00,1.7359184167844433,
2020-11-23 15:30:30,1.7359184167844433,
2020-11-23 23:59:59,4.814369398199801,c
2020-11-24 00:00:00,-25.070339583712894,
2020-11-24 10:00:00,-34.43958121215826,
2020-11-24 10:30:00,-41.800830740688866,
2020-11-24 12:00:00,-82.1510103843757,
2020-11-24 13:30:00,-111.20697329530338,
2020-11-24 15:00:00,-110.68000576426584,
2020-11-24 15:30:30,-110.68000576426584,
2020-11-24 23:59:59,-114.44269179483103,c
2020-11-25 00:00:00,-81.27235566866273,
2020-11-25 10:00:00,-17.884763432712532,
2020-11-25 10:30:00,-39.99492047608811,
2020-11-25 12:00:00,-51.05665446699834,
2020-11-25 13:30:00,-49.02436050845597,
2020-11-25 15:00:00,-13.470547045812623,
2020-11-25 15:30:30,-13.470547045812623,
2020-11-25 23:59:59,-37.250478185493535,c
2020-11-26 00:00:00,-37.250478185493535,
2020-11-26 10:00:00,-37.250478185493535,
2020-11-26 10:30:00,-37.250478185493535,
2020-11-26 12:00:00,-37.250478185493535,
2020-11-26 13:30:00,-37.250478185493535,
2020-11-26 15:00:00,-37.250478185493535,
2020-11-26 15:30:30,-37.250478185493535,
2020-11-26 23:59:59,-37.250478185493535,c
2020-11-27 00:00:00,6.712908303025813,
2020-11-27 10:00:00,153.5224949803257,
2020-11-27 10:30:00,161.0911382275213,
2020-11-27 12:00:00,106.69050437342088,
2020-11-27 13:30:00,106.69050437342088,
2020-11-27 15:00:00,106.69050437342088,
2020-11-27 15:30:30,106.69050437342088,
2020-11-27 23:59:59,149.83780676006137,w
2020-11-30 00:00:00,159.72060136823762,
2020-11-30 10:00:00,48.23844834061589,
2020-11-30 10:30:00,42.753411116819336,
2020-11-30 12:00:00,21.733598033807255,
2020-11-30 13:30:00,11.008866729579438,
2020-11-30 15:00:00,37.251749874143854,
2020-11-30 15:30:30,37.251749874143854,
2020-11-30 23:59:59,72.33775377753506,e
2020-12-01 00:00:00,27.113784773578743,
2020-12-01 10:00:00,16.229692971338068,
2020-12-01 10:30:00,-7.210802004153663,
2020-12-01 12:00:00,24.477409178383766,
2020-12-01 13:30:00,27.569364222643173,
2020-12-01 15:00:00,30.77819423518855,
2020-12-01 15:30:30,30.77819423518855,
2020-12-01 23:59:59,11.38409508119804,c
2020-12-02 00:00:00,-22.36073638320954,
2020-12-02 10:00:00,-55.45179443529946,
2020-12-02 10:30:00,-19.461370050143273,
2020-12-02 12:00:00,-24.382873750520275,
2020-12-02 13:30:00,-46.769469603164964,
2020-12-02 15:00:00,-41.84082335180318,
2020-12-02 15:30:30,-41.84082335180318,
2020-12-02 23:59:59,-52.63497796431511,c
2020-12-03 00:00:00,-49.70709870725369,
2020-12-03 10:00:00,-78.96831370707326,
2020-12-03 10:30:00,-82.06642997256529,
2020-12-03 12:00:00,-91.57074458589898,
2020-12-03 13:30:00,-101.18773470944024,
2020-12-03 15:00:00,-107.00836712845302,
2020-12-03 15:30:30,-107.00836712845302,
2020-12-03 23:59:59,-113.82028267055756,c
2020-12-04 00:00:00,-145.19176615866633,
2020-12-04 10:00:00,-110.47922350807772,
2020-12-04 10:30:00,-103.33987770223922,
2020-12-04 12:00:00,-123.2630675848946,
2020-12-04 13:30:00,-128.507794870044,
