date,EU_ICLN_2023_Q1,meta
2023-01-26 08:00:00,483.93828174081045,
2023-01-26 10:30:00,525.3382961803563,
2023-01-26 11:00:00,547.9299284734298,
2023-01-26 23:59:59,510.9810144679832,c
2023-01-27 00:00:00,735.265955440711,
2023-01-27 03:30:00,664.0064905930003,
2023-01-27 04:00:00,517.8221538435755,
2023-01-27 06:00:00,619.182477488529,
2023-01-27 08:00:00,636.6327135129477,
2023-01-27 10:30:00,648.7621670578292,
2023-01-27 11:00:00,661.2956825214942,
2023-01-27 23:59:59,645.955076168103,w
2023-01-30 00:00:00,689.6922622239672,
2023-01-30 03:30:00,710.3428676269514,
2023-01-30 04:00:00,697.8771956467008,
2023-01-30 06:00:00,719.4314252609329,
2023-01-30 08:00:00,651.2984745205349,
2023-01-30 10:30:00,617.3392988077994,
2023-01-30 11:00:00,617.5281977964996,
2023-01-30 23:59:59,636.0509372223341,c
2023-01-31 00:00:00,547.4627357015279,
2023-01-31 03:30:00,550.8223840401824,
2023-01-31 04:00:00,593.0046662418963,
2023-01-31 06:00:00,664.4648832771709,
2023-01-31 08:00:00,604.3802308346249,
2023-01-31 10:30:00,580.0932680834658,
2023-01-31 11:00:00,552.541457761623,
2023-01-31 23:59:59,557.3627500199846,c
2023-02-01 00:00:00,501.3343201588632,
2023-02-01 03:30:00,441.64547477499855,
2023-02-01 04:00:00,426.3837535302355,
2023-02-01 06:00:00,429.3711680372053,
2023-02-01 08:00:00,470.36537491958643,
2023-02-01 10:30:00,552.9586341780469,
2023-02-01 11:00:00,531.5821000510541,
2023-02-01 23:59:59,554.6038207496904,c
2023-02-02 00:00:00,493.12922002624236,
2023-02-02 03:30:00,437.7953380230383,
2023-02-02 04:00:00,471.29624643333136,
2023-02-02 06:00:00,460.3580271703213,
2023-02-02 08:00:00,439.8138865557048,
2023-02-02 10:30:00,406.5706148993413,
2023-02-02 11:00:00,364.38751758444414,
2023-02-02 23:59:59,317.1619357829677,c
2023-02-03 00:00:00,371.6441127748394,
2023-02-03 03:30:00,466.60777791460805,
2023-02-03 04:00:00,445.1677425351627,
2023-02-03 06:00:00,390.8221015892659,
