date,MSCI_FACT_QUAL_HEDGED_2021_Q4,meta
2021-11-12 10:30:00,-104.64968913380504,
2021-11-12 12:00:00,-99.34979456550215,
2021-11-12 13:30:00,-98.59066122610702,
2021-11-12 15:00:00,-98.11172638883261,
2021-11-12 15:30:30,-98.11172638883261,
2021-11-12 23:59:59,-97.81910732932886,w
2021-11-15 00:00:00,-101.35130889978078,
2021-11-15 10:00:00,-80.52602081908253,
2021-11-15 10:30:00,-86.73454047502213,
2021-11-15 12:00:00,-82.82928187638124,
2021-11-15 13:30:00,-74.1085481539276,
2021-11-15 15:00:00,-71.37008057541053,
2021-11-15 15:30:30,-71.37008057541053,
2021-11-15 23:59:59,-73.32915320099593,c
2021-11-16 00:00:00,-71.6159770340595,
2021-11-16 10:00:00,-59.90214408412444,
2021-11-16 10:30:00,-61.24345163569517,
2021-11-16 12:00:00,-44.06348157395125,
2021-11-16 13:30:00,-40.176837428378406,
2021-11-16 15:00:00,-27.48280603625642,
2021-11-16 15:30:30,-27.48280603625642,
2021-11-16 23:59:59,-27.882454451658994,c
2021-11-17 00:00:00,-24.77584391949972,
2021-11-17 10:00:00,-8.963900778770459,
2021-11-17 10:30:00,-7.765304582322976,
2021-11-17 12:00:00,1.170383609342565,
2021-11-17 13:30:00,10.163152076082753,
2021-11-17 15:00:00,20.385021730690525,
2021-11-17 15:30:30,20.385021730690525,
2021-11-17 23:59:59,19.183680896555046,c
2021-11-18 00:00:00,-4.0106651508179,
2021-11-18 10:00:00,-6.281101113863791,
2021-11-18 10:30:00,-6.099372971099619,
2021-11-18 12:00:00,-5.28739741262595,
2021-11-18 13:30:00,1.9996760981784831,
2021-11-18 15:00:00,-3.5856745821449536,
2021-11-18 15:30:30,-3.5856745821449536,
2021-11-18 23:59:59,0.0,a
2021-11-19 00:00:00,35.09647088492578,
2021-11-19 10:00:00,20.962405824600978,
2021-11-19 10:30:00,20.63711561802758,
2021-11-19 12:00:00,33.64482956312895,
2021-11-19 13:30:00,33.879330211534764,
2021-11-19 15:00:00,33.54461189335849,
2021-11-19 15:30:30,33.54461189335849,
