date,AS_MSCI_ESG_2021_Q4,meta
2021-11-17 23:59:59,-23.742124424483336,c
2021-11-18 00:00:00,-14.888364664586334,
2021-11-18 01:00:00,14.488139634622712,
2021-11-18 02:30:00,-57.37367296135926,
2021-11-18 03:00:00,-45.050753207342495,
2021-11-18 18:30:00,-45.050753207342495,
2021-11-18 20:00:00,-14.640530222712187,
2021-11-18 23:00:00,-2.8465756666737434,
2021-11-18 23:59:59,0.0,a
2021-11-19 00:00:00,53.499912298220806,
2021-11-19 01:00:00,126.05241106255016,
2021-11-19 02:30:00,150.64239981866922,
2021-11-19 03:00:00,139.07409251533136,
2021-11-19 18:30:00,139.07409251533136,
2021-11-19 20:00:00,139.07409251533136,
2021-11-19 23:00:00,139.07409251533136,
2021-11-19 23:59:59,147.5258982321102,w
2021-11-22 00:00:00,374.39140291170406,
2021-11-22 01:00:00,369.89043034698807,
2021-11-22 02:30:00,373.7504474190682,
2021-11-22 03:00:00,348.4992635503095,
2021-11-22 18:30:00,348.4992635503095,
2021-11-22 20:00:00,280.05037517302844,
2021-11-22 23:00:00,342.9749782211038,
2021-11-22 23:59:59,244.31680784246782,c
2021-11-23 00:00:00,240.90187563815016,
2021-11-23 01:00:00,205.9219279596673,
2021-11-23 02:30:00,193.9728434476965,
2021-11-23 03:00:00,173.81870748636902,
2021-11-23 18:30:00,173.81870748636902,
2021-11-23 20:00:00,150.82541006398242,
2021-11-23 23:00:00,232.6718196327256,
2021-11-23 23:59:59,226.8111777480899,c
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
0,226.8111777480899,
2021-11-24 00:00:00,288.82190386276307,
2021-11-24 01:00:00,344.84023838377834,
2021-11-24 02:30:00,351.395358646163,
2021-11-24 03:00:00,314.6027284423744,
2021-11-24 18:30:00,314.6027284423744,
2021-11-24 20:00:00,394.7334351297741,
2021-11-24 23:00:00,361.6024784197998,
2021-11-24 23:59:59,339.2079263341893,c
2021-11-25 00:00:00,353.9204674195771,
2021-11-25 01:00:00,383.4786236358541,
2021-11-25 02:30:00,363.72811053958685,
2021-11-25 03:00:00,361.54554072661267,
2021-11-25 18:30:00,361.54554072661267,
2021-11-25 20:00:00,294.5478132675489,
2021-11-25 23:00:00,268.67862882798,
2021-11-25 23:59:59,194.023713876677,c
2021-11-26 00:00:00,206.7741152688286,
2021-11-26 01:00:00,173.92971529863462,
2021-11-26 02:30:00,185.65691776863787,
2021-11-26 03:00:00,185.04649798816172,
2021-11-26 18:30:00,185.04649798816172,
2021-11-26 20:00:00,185.04649798816172,
2021-11-26 23:00:00,185.04649798816172,
2021-11-26 23:59:59,202.4204302004946,w
2021-11-29 00:00:00,200.27245365524868,
2021-11-29 01:00:00,136.23657253642705,
2021-11-29 02:30:00,104.64623749653038,
2021-11-29 03:00:00,109.09236775417594,
2021-11-29 18:30:00,109.09236775417594,
2021-11-29 20:00:00,70.00507064317935,
2021-11-29 23:00:00,-40.5379557242959,
2021-11-29 23:59:59,95.27917556746252,c
2021-11-30 00:00:00,125.89110256733875,
2021-11-30 01:00:00,31.998494840812782,
2021-11-30 02:30:00,24.30285839692442,
2021-11-30 03:00:00,6.279211430446594,
2021-11-30 18:30:00,6.279211430446594,
2021-11-30 20:00:00,12.18842556530035,
2021-11-30 23:00:00,80.08474821174605,
2021-11-30 23:59:59,93.73022037740338,e
2021-12-01 00:00:00,124.2085843156674,
2021-12-01 01:00:00,171.01112948378432,
2021-12-01 02:30:00,156.36564984853612,
2021-12-01 03:00:00,129.4328206288992,
2021-12-01 18:30:00,129.4328206288992,
2021-12-01 20:00:00,43.843054668283,
2021-12-01 23:00:00,156.67244631017093,
2021-12-01 23:59:59,97.48285778330865,c
2021-12-02 00:00:00,72.29322283753754,
2021-12-02 01:00:00,87.99453613428341,
2021-12-02 02:30:00,132.6973015460644,
2021-12-02 03:00:00,126.38002752726607,
2021-12-02 18:30:00,126.38002752726607,
2021-12-02 20:00:00,181.21572091474627,
2021-12-02 23:00:00,227.51321443566485,
2021-12-02 23:59:59,222.21456314490933,c
2021-12-03 00:00:00,191.93622390629025,
2021-12-03 01:00:00,191.04196701761248,
2021-12-03 02:30:00,148.3117728481302,
2021-12-03 03:00:00,128.60331022562423,
2021-12-03 18:30:00,128.60331022562423,
2021-12-03 20:00:00,128.60331022562423,
2021-12-03 23:00:00,128.60331022562423,
2021-12-03 23:59:59,142.54799705595542,w
2021-12-06 00:00:00,-4.522303002813715,
2021-12-06 01:00:00,-67.69280683705438,
2021-12-06 02:30:00,-117.23900425296233,
2021-12-06 03:00:00,-120.29181788640562,
2021-12-06 18:30:00,-120.29181788640562,
2021-12-06 20:00:00,-182.9695868910312,
2021-12-06 23:00:00,-191.2248809833054,
2021-12-06 23:59:59,-263.8881425189029,c
2021-12-07 00:00:00,-287.37868513093235,
2021-12-07 01:00:00,-319.277513255769,
2021-12-07 02:30:00,-299.64906021694514,
2021-12-07 03:00:00,-292.1776620457804,
2021-12-07 18:30:00,-292.1776620457804,
2021-12-07 20:00:00,-264.97300215080395,
2021-12-07 23:00:00,-334.2432007729785,
2021-12-07 23:59:59,-375.82322853558253,c
2021-12-08 00:00:00,-298.7656086900279,
2021-12-08 01:00:00,-268.4946598326387,
2021-12-08 02:30:00,-274.00316382855635,
2021-12-08 03:00:00,-251.7852998028411,
2021-12-08 18:30:00,-251.7852998028411,
2021-12-08 20:00:00,-219.84173433511387,
2021-12-08 23:00:00,-234.11370340643043,
2021-12-08 23:59:59,-213.26932818878413,c
2021-12-09 00:00:00,-246.41744966861916,
2021-12-09 01:00:00,-198.54298931688027,
2021-12-09 02:30:00,-107.26052797115153,
2021-12-09 03:00:00,-88.86140970716588,
2021-12-09 18:30:00,-88.86140970716588,
2021-12-09 20:00:00,-109.12712450293657,
2021-12-09 23:00:00,-100.34560435569074,
2021-12-09 23:59:59,-88.48211199750403,c
2021-12-10 00:00:00,-166.3811356378792,
2021-12-10 01:00:00,-182.92713455198827,
2021-12-10 02:30:00,-148.74639579806717,
2021-12-10 03:00:00,-154.2775705480708,
