date,MDIV_2022_Q2,meta
2022-06-03 15:00:00,140.65106887143284,
2022-06-03 15:30:30,140.65106887143284,
2022-06-03 23:59:59,143.58598057486142,w
2022-06-06 00:00:00,151.38452497205003,
2022-06-06 10:00:00,146.8288179430947,
2022-06-06 10:30:00,152.39788237658237,
2022-06-06 12:00:00,143.33547361487982,
2022-06-06 13:30:00,147.97324324192812,
2022-06-06 15:00:00,144.33884121147506,
2022-06-06 15:30:30,144.33884121147506,
2022-06-06 23:59:59,142.94554010370075,c
2022-06-07 00:00:00,132.09065564142077,
2022-06-07 10:00:00,133.31360629408871,
2022-06-07 10:30:00,147.1148333520421,
2022-06-07 12:00:00,153.53439571117303,
2022-06-07 13:30:00,148.2632326714733,
2022-06-07 15:00:00,144.11415213671967,
2022-06-07 15:30:30,144.11415213671967,u
