date,AS_FTSE_EM_SC_2022_Q3,meta
2022-08-09 02:30:00,-186.56401333929477,
2022-08-09 03:00:00,-176.83338317532912,
2022-08-09 18:30:00,-176.83338317532912,
2022-08-09 20:00:00,-176.83338317532912,
2022-08-09 23:00:00,-170.2940641355127,
2022-08-09 23:59:59,-189.9664178480922,c
2022-08-10 00:00:00,-185.58529518825048,
2022-08-10 01:00:00,-181.22029028313057,
2022-08-10 02:30:00,-183.10643541774903,
2022-08-10 03:00:00,-177.52653473661474,
2022-08-10 18:30:00,-177.52653473661474,
2022-08-10 20:00:00,-177.52653473661474,
2022-08-10 23:00:00,-165.95224332513533,
2022-08-10 23:59:59,-171.92427972913833,c
2022-08-11 00:00:00,-182.74020193585739,
2022-08-11 01:00:00,-180.7682641408402,
2022-08-11 02:30:00,-186.1383114659052,
2022-08-11 03:00:00,-182.3540907003504,
2022-08-11 18:30:00,-182.3540907003504,
2022-08-11 20:00:00,-182.3540907003504,
2022-08-11 23:00:00,-163.48036370650266,
2022-08-11 23:59:59,-193.44554379719364,c
2022-08-12 00:00:00,-193.79745466291467,
2022-08-12 01:00:00,-181.81162315997972,
2022-08-12 02:30:00,-200.7489569364095,
2022-08-12 03:00:00,-204.27725240400173,
2022-08-12 18:30:00,-204.27725240400173,
2022-08-12 20:00:00,-204.27725240400173,
2022-08-12 23:00:00,-204.27725240400173,
2022-08-12 23:59:59,-193.26916791501958,w
2022-08-15 00:00:00,-119.25822873799916,
2022-08-15 01:00:00,-117.049038043412,
2022-08-15 02:30:00,-116.21541559903517,
2022-08-15 03:00:00,-114.89926114782872,
2022-08-15 18:30:00,-114.89926114782872,
2022-08-15 20:00:00,-114.89926114782872,
2022-08-15 23:00:00,-148.75119619248562,
2022-08-15 23:59:59,-144.2229408202743,c
2022-08-16 00:00:00,-145.4950914038228,
2022-08-16 01:00:00,-133.4563214803053,
2022-08-16 02:30:00,-157.5311851197182,
2022-08-16 03:00:00,-167.06630325577476,
2022-08-16 18:30:00,-167.06630325577476,
2022-08-16 20:00:00,-167.06630325577476,
2022-08-16 23:00:00,-141.50318287861717,
2022-08-16 23:59:59,-121.99939392302417,c
2022-08-17 00:00:00,-112.82724324888522,
2022-08-17 01:00:00,-101.93748033170345,
2022-08-17 02:30:00,-134.8290820505374,
2022-08-17 03:00:00,-138.28936090884633,
2022-08-17 18:30:00,-138.28936090884633,
2022-08-17 20:00:00,-138.28936090884633,
2022-08-17 23:00:00,-90.8457399916947,
2022-08-17 23:59:59,-51.45914646511284,c
2022-08-18 00:00:00,-42.30509360741661,
2022-08-18 01:00:00,-33.97869212094662,
2022-08-18 02:30:00,-28.289518216181307,
2022-08-18 03:00:00,-21.99399467071123,
2022-08-18 18:30:00,-21.99399467071123,
2022-08-18 20:00:00,-21.99399467071123,
2022-08-18 23:00:00,-14.899443814345261,
2022-08-18 23:59:59,-1.4659378831326535,c
2022-08-19 00:00:00,-3.4291600831296023,
2022-08-19 01:00:00,1.4322896363257769,
2022-08-19 02:30:00,-6.883010372667002,
2022-08-19 03:00:00,-10.918042476251856,
2022-08-19 18:30:00,-10.918042476251856,
2022-08-19 20:00:00,-10.918042476251856,
2022-08-19 23:00:00,-10.918042476251856,
2022-08-19 23:59:59,0.0,a
2022-08-22 00:00:00,143.37618287954882,
2022-08-22 01:00:00,168.8095254451012,
2022-08-22 02:30:00,181.99948252986317,
2022-08-22 03:00:00,180.3014307081038,
2022-08-22 18:30:00,180.3014307081038,
2022-08-22 20:00:00,180.3014307081038,
2022-08-22 23:00:00,210.86567172051042,
