date,AS_MSCI_EM_REST_AD_2022_Q3,meta
2022-07-28 18:30:00,-241.97435055575394,
2022-07-28 20:00:00,-241.97435055575394,
2022-07-28 23:00:00,-247.74873202283564,
2022-07-28 23:59:59,-270.90694352819264,c
2022-07-29 00:00:00,-276.25825313439395,
2022-07-29 01:00:00,-258.7088342066846,
2022-07-29 02:30:00,-258.7088342066846,
2022-07-29 03:00:00,-258.7088342066846,
2022-07-29 18:30:00,-258.7088342066846,
2022-07-29 20:00:00,-258.7088342066846,
2022-07-29 23:00:00,-258.7088342066846,
2022-07-29 23:59:59,-291.5267605678817,w
2022-08-01 00:00:00,-319.7118422956917,
2022-08-01 01:00:00,-312.53781289677613,
2022-08-01 02:30:00,-312.53781289677613,
2022-08-01 03:00:00,-312.53781289677613,
2022-08-01 18:30:00,-312.53781289677613,
2022-08-01 20:00:00,-312.53781289677613,
2022-08-01 23:00:00,-304.13503677091666,
2022-08-01 23:59:59,-296.55800480040693,c
2022-08-02 00:00:00,-295.0987317662321,
2022-08-02 01:00:00,-269.8479503270173,
2022-08-02 02:30:00,-269.8479503270173,
2022-08-02 03:00:00,-269.8479503270173,
2022-08-02 18:30:00,-269.8479503270173,
2022-08-02 20:00:00,-269.8479503270173,
2022-08-02 23:00:00,-244.02304947556328,
2022-08-02 23:59:59,-246.90124604868217,c
2022-08-03 00:00:00,-250.3478910417978,
2022-08-03 01:00:00,-232.31881534908806,
2022-08-03 02:30:00,-232.31881534908806,
2022-08-03 03:00:00,-232.31881534908806,
2022-08-03 18:30:00,-232.31881534908806,
2022-08-03 20:00:00,-232.31881534908806,
2022-08-03 23:00:00,-220.58325990654075,
2022-08-03 23:59:59,-197.73434133251297,c
2022-08-04 00:00:00,-201.27619151503532,
2022-08-04 01:00:00,-219.3175610489221,
2022-08-04 02:30:00,-219.3175610489221,
2022-08-04 03:00:00,-219.3175610489221,
2022-08-04 18:30:00,-219.3175610489221,
2022-08-04 20:00:00,-219.3175610489221,
2022-08-04 23:00:00,-216.90904233855608,
2022-08-04 23:59:59,-196.4842867449245,c
2022-08-05 00:00:00,-193.01926081868862,
2022-08-05 01:00:00,-191.63253819483714,
2022-08-05 02:30:00,-191.63253819483714,
