date,EU_FTSE_DM_SC_2022_Q2,meta
2022-05-18 11:00:00,-271.5676040311338,
2022-05-18 23:59:59,-270.7749356158183,c
2022-05-19 00:00:00,-244.3217823293721,
2022-05-19 03:30:00,-222.22124908435572,
2022-05-19 04:00:00,-213.29276190056956,
2022-05-19 06:00:00,-190.81342882779538,
2022-05-19 08:00:00,-152.96877751328915,
2022-05-19 10:30:00,-109.85689798825229,
2022-05-19 11:00:00,-86.79332625457738,
2022-05-19 23:59:59,-79.90571366418231,c
2022-05-20 00:00:00,-65.30734461976817,
2022-05-20 03:30:00,-62.51280288889731,
2022-05-20 04:00:00,-61.463044328356034,
2022-05-20 06:00:00,-37.225016373509305,
2022-05-20 08:00:00,-51.43934476620174,
2022-05-20 10:30:00,-12.16826600688995,
2022-05-20 11:00:00,-21.35390756650142,
2022-05-20 23:59:59,0.0,a
2022-05-23 00:00:00,-7.0247886482887765,
2022-05-23 03:30:00,2.743720156725999,
2022-05-23 04:00:00,-34.224338258936086,
2022-05-23 06:00:00,-62.05852902681215,
2022-05-23 08:00:00,-83.23181306819893,
2022-05-23 10:30:00,-132.31678532194314,
2022-05-23 11:00:00,-155.5927566699933,
2022-05-23 23:59:59,-154.7997186756214,c
2022-05-24 00:00:00,-139.16448163028346,
2022-05-24 03:30:00,-134.03054938459692,
2022-05-24 04:00:00,-134.7898035811163,
2022-05-24 06:00:00,-164.8041834778393,
2022-05-24 08:00:00,-202.7165861739406,
2022-05-24 10:30:00,-243.558233496332,
2022-05-24 11:00:00,-220.0645580783324,
2022-05-24 23:59:59,-219.4532027593049,c
2022-05-25 00:00:00,-214.3596614075294,
2022-05-25 03:30:00,-300.3061304410694,
2022-05-25 04:00:00,-289.35527292754625,
2022-05-25 06:00:00,-314.4380450249388,
2022-05-25 08:00:00,-292.9003362232453,
2022-05-25 10:30:00,-301.77208720845533,
2022-05-25 11:00:00,-316.89699143258224,
2022-05-25 23:59:59,-311.6123130780169,c
2022-05-26 00:00:00,-294.54687898476993,
2022-05-26 03:30:00,-304.559428932374,
2022-05-26 04:00:00,-300.20428260723986,
2022-05-26 06:00:00,-297.24972100316995,
2022-05-26 08:00:00,-292.1381343486137,
2022-05-26 10:30:00,-351.53231616174764,
2022-05-26 11:00:00,-330.2655050586153,
2022-05-26 23:59:59,-330.2435072247598,c
2022-05-27 00:00:00,-295.1600781322344,
2022-05-27 03:30:00,-284.01100808336173,
2022-05-27 04:00:00,-268.2060045703744,
2022-05-27 06:00:00,-299.2445482618565,
2022-05-27 08:00:00,-304.3547631765367,
2022-05-27 10:30:00,-298.3126895310951,
2022-05-27 11:00:00,-306.0360915881338,
2022-05-27 23:59:59,-305.7942678654392,w
2022-05-30 00:00:00,-300.3834036863567,
2022-05-30 03:30:00,-271.2451431749772,
2022-05-30 04:00:00,-241.90177969632228,
2022-05-30 06:00:00,-263.2049392605509,
2022-05-30 08:00:00,-282.6138355255896,
2022-05-30 10:30:00,-274.08385903501164,
2022-05-30 11:00:00,-256.03631560800204,
2022-05-30 23:59:59,-245.89126459670067,c
2022-05-31 00:00:00,-216.11726359032323,
2022-05-31 03:30:00,-268.979953707097,
2022-05-31 04:00:00,-247.37349338343736,
2022-05-31 06:00:00,-269.86303059728345,
2022-05-31 08:00:00,-237.8199405935437,
2022-05-31 10:30:00,-237.541726151463,
2022-05-31 11:00:00,-236.97254119222563,
2022-05-31 23:59:59,-206.1647948699214,c
2022-06-01 00:00:00,-224.01807049146728,
2022-06-01 03:30:00,-245.78161411861626,
2022-06-01 04:00:00,-264.3542331675983,
2022-06-01 06:00:00,-248.39286744471198,
2022-06-01 08:00:00,-221.2520753485638,
2022-06-01 10:30:00,-228.80055727250854,
2022-06-01 11:00:00,-222.7003309798889,
2022-06-01 23:59:59,-238.0153888955143,c
2022-06-02 00:00:00,-247.98923970231485,
2022-06-02 03:30:00,-256.5475973180842,
2022-06-02 04:00:00,-252.0605645773284,
2022-06-02 06:00:00,-262.59086753944666,
2022-06-02 08:00:00,-260.03129228945704,
2022-06-02 10:30:00,-256.5790884786411,
2022-06-02 11:00:00,-239.90333635672604,
2022-06-02 23:59:59,-230.39243328399024,c
2022-06-03 00:00:00,-237.01257372904533,
2022-06-03 03:30:00,-227.5268957203492,
2022-06-03 04:00:00,-242.91229459901032,
2022-06-03 06:00:00,-253.3650471417565,
2022-06-03 08:00:00,-256.3774262190692,
2022-06-03 10:30:00,-281.1849875979242,
2022-06-03 11:00:00,-269.58294675992295,
2022-06-03 23:59:59,-288.14053608294,w
2022-06-06 00:00:00,-288.0284859317353,
2022-06-06 03:30:00,-242.48770572969207,
2022-06-06 04:00:00,-245.061775009306,
2022-06-06 06:00:00,-250.89204510670984,
2022-06-06 08:00:00,-232.83074698478268,
2022-06-06 10:30:00,-242.20907018498932,
2022-06-06 11:00:00,-246.89037779624974,
2022-06-06 23:59:59,-237.576151600513,c
2022-06-07 00:00:00,-234.59278135435912,
2022-06-07 03:30:00,-201.79019083004405,
2022-06-07 04:00:00,-196.3899138741252,
2022-06-07 06:00:00,-176.70734961254337,
2022-06-07 08:00:00,-193.54162065120758,
2022-06-07 10:30:00,-124.55951863222191,
2022-06-07 11:00:00,-141.2050379722247,
2022-06-07 23:59:59,-141.3395121507373,c
2022-06-08 00:00:00,-128.55366599950452,
2022-06-08 03:30:00,-97.52639402992375,
2022-06-08 04:00:00,-116.7052121629687,
2022-06-08 06:00:00,-84.16986191760333,
2022-06-08 08:00:00,-57.83450734396263,
2022-06-08 10:30:00,-74.43611582567809,
2022-06-08 11:00:00,-64.74536345423033,
2022-06-08 23:59:59,-27.66142116821692,c
2022-06-09 00:00:00,0.5070486191607131,
2022-06-09 03:30:00,-43.63050482068584,
2022-06-09 04:00:00,-50.92601702359133,
2022-06-09 06:00:00,-18.48296160699698,
2022-06-09 08:00:00,-58.91345377306476,
