date,GUNR_2021_Q1,meta
2021-03-12 15:00:00,6.468372263325364,
2021-03-12 15:30:30,6.468372263325364,
2021-03-12 23:59:59,0.0,a
2021-03-15 00:00:00,14.678483438510739,
2021-03-15 10:00:00,54.89885240169542,
2021-03-15 10:30:00,58.055087207621455,
2021-03-15 12:00:00,89.43627988104981,
2021-03-15 13:30:00,93.02075052624286,
2021-03-15 15:00:00,71.10275217960088,
2021-03-15 15:30:30,71.10275217960088,
2021-03-15 23:59:59,68.58359042245502,c
2021-03-16 00:00:00,87.11018919456956,
2021-03-16 10:00:00,119.43924887187586,
2021-03-16 10:30:00,110.7013033346957,
2021-03-16 12:00:00,120.1256884889126,
2021-03-16 13:30:00,113.5573349294441,
2021-03-16 15:00:00,101.11723016134601,
2021-03-16 15:30:30,101.11723016134601,
