date,SIL_2021_Q2,meta
2021-05-13 15:30:30,-55.550250830830635,u
2021-05-13 23:59:59,-79.87555487064085,c
2021-05-14 00:00:00,-35.0155178924435,
2021-05-14 10:00:00,-39.39326134173655,
2021-05-14 10:30:00,-39.90193631641566,
2021-05-14 12:00:00,-13.257743115511147,
2021-05-14 13:30:00,-23.178457493526906,
2021-05-14 15:00:00,-16.94191763338985,
2021-05-14 15:30:30,-16.94191763338985,
2021-05-14 23:59:59,-11.48771169324526,w
