date,AS_URA_2022_Q1,meta
2022-01-25 02:30:00,26.07608912504338,
2022-01-25 03:00:00,18.68063271279607,
2022-01-25 18:30:00,18.68063271279607,
2022-01-25 20:00:00,32.49245403063469,
2022-01-25 23:00:00,56.2146178089356,
2022-01-25 23:59:59,69.58306922933616,c
2022-01-26 00:00:00,75.21692313025596,
2022-01-26 01:00:00,44.85154309762356,
2022-01-26 02:30:00,26.04283605357159,
2022-01-26 03:00:00,24.519202757552193,
2022-01-26 18:30:00,-24.71784489306947,
2022-01-26 20:00:00,64.39958513505735,
2022-01-26 23:00:00,76.63801212832686,
2022-01-26 23:59:59,46.9715526773457,c
2022-01-27 00:00:00,22.679176798762455,
2022-01-27 01:00:00,28.618106686039937,
2022-01-27 02:30:00,5.132989501926659,
2022-01-27 03:00:00,4.360576936624966,
2022-01-27 18:30:00,70.08312110826591,
2022-01-27 20:00:00,-25.26093095637998,
2022-01-27 23:00:00,149.92186652354712,
2022-01-27 23:59:59,151.47155389773707,c
0,151.47155389773707,
0,151.47155389773707,
0,151.47155389773707,
0,151.47155389773707,
0,151.47155389773707,
0,151.47155389773707,
0,151.47155389773707,
0,151.47155389773707,
2022-01-28 00:00:00,163.5519826783834,
2022-01-28 01:00:00,179.47223254086293,
2022-01-28 02:30:00,153.59512295219247,
2022-01-28 03:00:00,150.8079923696032,
2022-01-28 18:30:00,150.8079923696032,
2022-01-28 20:00:00,150.8079923696032,
2022-01-28 23:00:00,150.8079923696032,
2022-01-28 23:59:59,160.4117355731746,w
2022-01-31 00:00:00,156.97669700959568,
2022-01-31 01:00:00,160.71123130940987,
2022-01-31 02:30:00,160.71123130940987,
2022-01-31 03:00:00,160.71123130940987,
2022-01-31 18:30:00,194.98155423769913,
2022-01-31 20:00:00,236.0224293109145,
2022-01-31 23:00:00,234.78547765773237,
2022-01-31 23:59:59,257.2743945699249,c
2022-02-01 00:00:00,210.66476376695982,
2022-02-01 01:00:00,208.95370811281327,
2022-02-01 02:30:00,208.95370811281327,
2022-02-01 03:00:00,208.95370811281327,
2022-02-01 18:30:00,180.36021472925358,
2022-02-01 20:00:00,194.4096849576381,
2022-02-01 23:00:00,215.06608863759266,
2022-02-01 23:59:59,198.74310083424325,c
2022-02-02 00:00:00,160.1040210975043,
2022-02-02 01:00:00,157.56620167624806,
2022-02-02 02:30:00,157.56620167624806,
2022-02-02 03:00:00,157.56620167624806,
2022-02-02 18:30:00,287.58388280082954,
2022-02-02 20:00:00,296.119715127023,
2022-02-02 23:00:00,334.8978668450495,
2022-02-02 23:59:59,343.76888659534643,c
2022-02-03 00:00:00,369.195271483331,
2022-02-03 01:00:00,358.37050598956694,
2022-02-03 02:30:00,358.37050598956694,
2022-02-03 03:00:00,358.37050598956694,
2022-02-03 18:30:00,267.7180936432228,
2022-02-03 20:00:00,205.76304405653218,
2022-02-03 23:00:00,419.21966040426514,
