date,SDOG_2021_Q4,meta
2021-12-28 23:59:59,-142.98065709645917,c
2021-12-29 00:00:00,-147.30683598020974,
2021-12-29 10:00:00,-141.0504629669529,
2021-12-29 10:30:00,-141.53431779430335,
2021-12-29 12:00:00,-141.13568534090567,
2021-12-29 13:30:00,-147.72025553076784,
2021-12-29 15:00:00,-141.34246205095272,
2021-12-29 15:30:30,-141.34246205095272,
2021-12-29 23:59:59,-143.58326571851788,c
2021-12-30 00:00:00,-141.96030160180558,
2021-12-30 10:00:00,-131.8120433570235,
2021-12-30 10:30:00,-127.66849941247469,
2021-12-30 12:00:00,-117.49658635913536,
2021-12-30 13:30:00,-122.42407704523353,
2021-12-30 15:00:00,-117.0381621524638,
2021-12-30 15:30:30,-117.0381621524638,
2021-12-30 23:59:59,-117.87763907321667,c
2021-12-31 00:00:00,-108.31121508589692,
2021-12-31 10:00:00,-115.22763759507686,
2021-12-31 10:30:00,-111.12030231339506,
2021-12-31 12:00:00,-116.77406575549188,
2021-12-31 13:30:00,-112.12825333341223,
2021-12-31 15:00:00,-110.36632813760096,
2021-12-31 15:30:30,-110.36632813760096,
2021-12-31 23:59:59,-115.95723381679844,w
