date,AS_FTSE_DM_AD_2023_Q1,meta
2023-02-07 00:00:00,28.255810561423857,
2023-02-07 01:00:00,28.96478679546408,
2023-02-07 02:30:00,28.96478679546408,
2023-02-07 03:00:00,28.96478679546408,
2023-02-07 18:30:00,28.050416588384905,
2023-02-07 20:00:00,64.10387391407471,
2023-02-07 23:00:00,38.600741105708835,
2023-02-07 23:59:59,41.161056382363086,c
2023-02-08 00:00:00,74.00577522319458,
2023-02-08 01:00:00,85.27297427562144,
2023-02-08 02:30:00,85.27297427562144,
2023-02-08 03:00:00,85.27297427562144,
2023-02-08 18:30:00,83.08476650354237,
2023-02-08 20:00:00,51.066092583613624,
2023-02-08 23:00:00,32.79697509747348,
2023-02-08 23:59:59,-17.033384417883696,c
2023-02-09 00:00:00,-2.1436916963128425,
2023-02-09 01:00:00,14.962935637329224,
2023-02-09 02:30:00,14.962935637329224,
2023-02-09 03:00:00,14.962935637329224,
2023-02-09 18:30:00,-2.0383720515404065,
2023-02-09 20:00:00,58.36622509420991,
2023-02-09 23:00:00,43.350197917972395,
2023-02-09 23:59:59,50.092034849888165,c
2023-02-10 00:00:00,40.878360684708326,
2023-02-10 01:00:00,44.361363581910666,
2023-02-10 02:30:00,44.361363581910666,
2023-02-10 03:00:00,44.361363581910666,
2023-02-10 18:30:00,44.361363581910666,
2023-02-10 20:00:00,44.361363581910666,
2023-02-10 23:00:00,44.361363581910666,
2023-02-10 23:59:59,45.312786498360595,w
2023-02-13 00:00:00,35.0388877321472,
2023-02-13 01:00:00,57.99702293928894,
2023-02-13 02:30:00,57.99702293928894,
2023-02-13 03:00:00,57.99702293928894,
2023-02-13 18:30:00,56.9861504733808,
2023-02-13 20:00:00,59.1323128511076,
2023-02-13 23:00:00,63.87025954728159,
2023-02-13 23:59:59,59.96952618042931,c
2023-02-14 00:00:00,39.50194461166876,
2023-02-14 01:00:00,24.55067434093587,
2023-02-14 02:30:00,24.55067434093587,
2023-02-14 03:00:00,24.55067434093587,
2023-02-14 18:30:00,26.743635486304044,
2023-02-14 20:00:00,1.8605108828227088,
2023-02-14 23:00:00,32.358380668010284,
2023-02-14 23:59:59,39.49984594565751,c
2023-02-15 00:00:00,40.487192128689685,
2023-02-15 01:00:00,36.51219090577328,
2023-02-15 02:30:00,36.51219090577328,
2023-02-15 03:00:00,36.51219090577328,
2023-02-15 18:30:00,37.259854109958496,
2023-02-15 20:00:00,47.78368118635376,
2023-02-15 23:00:00,16.296825280163716,
2023-02-15 23:59:59,22.64615529868297,c
2023-02-16 00:00:00,17.410491140837877,
