date,SPHQ_HEDGED_2020_Q4,meta
2020-12-23 10:30:00,-23.28981957776756,
2020-12-23 12:00:00,-27.816321970904824,
2020-12-23 13:30:00,-27.95131750104582,
2020-12-23 15:00:00,-28.74142678685496,
2020-12-23 15:30:30,-28.74142678685496,
2020-12-23 23:59:59,-29.523910493757967,c
2020-12-24 00:00:00,-32.818101698421685,
2020-12-24 10:00:00,-28.87908745860824,
2020-12-24 10:30:00,-32.09565474945498,
2020-12-24 12:00:00,-29.90686907488805,
2020-12-24 13:30:00,-29.90686907488805,
2020-12-24 15:00:00,-29.90686907488805,
2020-12-24 15:30:30,-29.90686907488805,
2020-12-24 23:59:59,-29.595319257070628,c
2020-12-25 00:00:00,-29.595319257070628,
2020-12-25 10:00:00,-29.595319257070628,
2020-12-25 10:30:00,-29.595319257070628,
2020-12-25 12:00:00,-29.595319257070628,
2020-12-25 13:30:00,-29.595319257070628,
2020-12-25 15:00:00,-29.595319257070628,
2020-12-25 15:30:30,-29.595319257070628,
2020-12-25 23:59:59,-29.595319257070628,w
2020-12-28 00:00:00,-32.611412618388385,
2020-12-28 10:00:00,-41.47267157611486,
2020-12-28 10:30:00,-45.07139599643011,
2020-12-28 12:00:00,-50.13671715537623,
2020-12-28 13:30:00,-45.42352679990569,
2020-12-28 15:00:00,-46.146933006389645,
2020-12-28 15:30:30,-46.146933006389645,
2020-12-28 23:59:59,-44.68609265358282,c
2020-12-29 00:00:00,-41.01634416863686,
2020-12-29 10:00:00,-45.83526742278298,
2020-12-29 10:30:00,-49.830478312145544,
2020-12-29 12:00:00,-54.93596091844529,
2020-12-29 13:30:00,-54.554408269421515,
2020-12-29 15:00:00,-54.30483420926794,
2020-12-29 15:30:30,-54.30483420926794,
2020-12-29 23:59:59,-48.91774420274152,c
2020-12-30 00:00:00,-48.69443584749661,
2020-12-30 10:00:00,-50.77578813942466,
2020-12-30 10:30:00,-45.74670344006114,
2020-12-30 12:00:00,-43.41004815746436,
2020-12-30 13:30:00,-37.48950924681316,
2020-12-30 15:00:00,-35.714230242857866,
2020-12-30 15:30:30,-35.714230242857866,
2020-12-30 23:59:59,-36.11173372724289,c
2020-12-31 00:00:00,-32.98041504431609,
2020-12-31 10:00:00,-36.060986156181855,
2020-12-31 10:30:00,-32.79958735464555,
2020-12-31 12:00:00,-34.96877475204417,
2020-12-31 13:30:00,-35.45999920756583,
2020-12-31 15:00:00,-39.94802987610905,
2020-12-31 15:30:30,-39.94802987610905,
2020-12-31 23:59:59,-38.57249808927719,c
2021-01-01 00:00:00,-38.57249808927719,
2021-01-01 10:00:00,-38.57249808927719,
2021-01-01 10:30:00,-38.57249808927719,
2021-01-01 12:00:00,-38.57249808927719,
2021-01-01 13:30:00,-38.57249808927719,
2021-01-01 15:00:00,-38.57249808927719,
2021-01-01 15:30:30,-38.57249808927719,
2021-01-01 23:59:59,-38.57249808927719,w
