date,EU_MSCI_MINVOL_2022_Q4,meta
2022-12-02 04:00:00,37.34766400295947,
2022-12-02 06:00:00,35.71960616178015,
2022-12-02 08:00:00,41.98030935458977,
2022-12-02 10:30:00,53.05582138331398,
2022-12-02 11:00:00,53.11147455139676,
2022-12-02 23:59:59,53.41756939247427,w
2022-12-05 00:00:00,56.28241909138535,
2022-12-05 03:30:00,65.90968307578956,
2022-12-05 04:00:00,76.99034305601802,
2022-12-05 06:00:00,86.23636991324966,
2022-12-05 08:00:00,82.03913599941833,
2022-12-05 10:30:00,86.3510128920544,
2022-12-05 11:00:00,88.50701611146107,
2022-12-05 23:59:59,91.35948167205939,c
2022-12-06 00:00:00,102.66744002721092,
2022-12-06 03:30:00,110.32073775600861,
2022-12-06 04:00:00,112.84507962965445,
2022-12-06 06:00:00,125.39213120649454,
2022-12-06 08:00:00,122.83692893364697,
2022-12-06 10:30:00,127.02133973792515,
2022-12-06 11:00:00,128.31094211734296,
2022-12-06 23:59:59,129.9864703706188,c
2022-12-07 00:00:00,142.70965712467012,
2022-12-07 03:30:00,159.33147663175887,
2022-12-07 04:00:00,170.4354428590425,
2022-12-07 06:00:00,151.5627801235572,
2022-12-07 08:00:00,149.1572788532287,
2022-12-07 10:30:00,148.44569000005322,
2022-12-07 11:00:00,150.94756805098882,
2022-12-07 23:59:59,143.82524415762532,c
2022-12-08 00:00:00,148.34674180206548,
2022-12-08 03:30:00,156.8282055088415,
2022-12-08 04:00:00,159.516247048896,
2022-12-08 06:00:00,159.21966771417516,
2022-12-08 08:00:00,159.2038228864903,
2022-12-08 10:30:00,163.26696388477723,
2022-12-08 11:00:00,159.59490044328166,
2022-12-08 23:59:59,161.6987526161372,c
2022-12-09 00:00:00,160.39578024595494,
2022-12-09 03:30:00,152.32134053741572,
2022-12-09 04:00:00,147.40411457323,
2022-12-09 06:00:00,147.27911306829455,
2022-12-09 08:00:00,137.44585136652103,
2022-12-09 10:30:00,145.0778689448166,
2022-12-09 11:00:00,144.89270306203358,
2022-12-09 23:59:59,147.8029696059508,w
2022-12-12 00:00:00,151.4625253837318,
2022-12-12 03:30:00,153.15668456268293,
2022-12-12 04:00:00,147.5793438004912,
2022-12-12 06:00:00,156.19978507447743,
2022-12-12 08:00:00,158.69542070937814,
2022-12-12 10:30:00,156.17897430007048,
2022-12-12 11:00:00,148.09164959127204,
2022-12-12 23:59:59,149.5502201490184,c
2022-12-13 00:00:00,148.3108633383253,
2022-12-13 03:30:00,142.8992932877388,
2022-12-13 04:00:00,147.03817193982434,
2022-12-13 06:00:00,134.70154987418687,
2022-12-13 08:00:00,140.93364561662082,
2022-12-13 10:30:00,122.55485150470196,
2022-12-13 11:00:00,131.59657343921305,
2022-12-13 23:59:59,125.27583243304177,c
2022-12-14 00:00:00,127.45519532003564,
2022-12-14 03:30:00,137.36692589903828,
2022-12-14 04:00:00,118.51755316449598,
2022-12-14 06:00:00,130.27695221740595,
2022-12-14 08:00:00,135.67446181989715,
2022-12-14 10:30:00,129.85531772635613,
2022-12-14 11:00:00,129.48712982021857,
2022-12-14 23:59:59,130.81333887737952,c
2022-12-15 00:00:00,132.43759686825751,
2022-12-15 03:30:00,147.81829700706714,
2022-12-15 04:00:00,147.15854088859624,
2022-12-15 06:00:00,150.40515392273983,
2022-12-15 08:00:00,148.24114069638506,
2022-12-15 10:30:00,146.83114399531607,
2022-12-15 11:00:00,151.23813385607684,
2022-12-15 23:59:59,146.10589748503259,c
2022-12-16 00:00:00,146.97326035760517,
2022-12-16 03:30:00,168.41148812226888,
2022-12-16 04:00:00,173.31245786271347,
2022-12-16 06:00:00,167.66333925115146,
2022-12-16 08:00:00,163.14903299220424,
2022-12-16 10:30:00,163.48686599802383,
2022-12-16 11:00:00,158.9173968331446,
2022-12-16 23:59:59,168.363517302993,w
2022-12-19 00:00:00,173.27925069247792,
2022-12-19 03:30:00,170.79853119335206,
2022-12-19 04:00:00,171.08314444585474,
2022-12-19 06:00:00,173.43806853535466,
2022-12-19 08:00:00,175.57696532631203,
2022-12-19 10:30:00,184.53504217442432,
2022-12-19 11:00:00,182.85328362153837,
2022-12-19 23:59:59,182.6646103536664,c
2022-12-20 00:00:00,190.2250758422067,
2022-12-20 03:30:00,186.39407979221042,
2022-12-20 04:00:00,187.50481489192404,
2022-12-20 06:00:00,185.45890728244206,
2022-12-20 08:00:00,180.8827328289964,
2022-12-20 10:30:00,189.17589658823653,
2022-12-20 11:00:00,189.48669223535367,
2022-12-20 23:59:59,188.79026598748322,c
2022-12-21 00:00:00,195.23139029956198,
2022-12-21 03:30:00,186.79837765249388,
2022-12-21 04:00:00,185.46799878247367,
2022-12-21 06:00:00,196.23296412842015,
2022-12-21 08:00:00,202.63168934174192,
2022-12-21 10:30:00,202.26212457713558,
2022-12-21 11:00:00,210.17455319829466,
2022-12-21 23:59:59,209.3945055211149,c
