date,AS_JETS_2021_Q4,meta
2021-12-10 23:00:00,580.4010432438954,
2021-12-10 23:59:59,580.2163326297282,e
2021-12-13 00:00:00,470.2216265856896,
2021-12-13 01:00:00,440.465257387626,
2021-12-13 02:30:00,453.81765554616595,
2021-12-13 03:00:00,460.40465787914536,
2021-12-13 18:30:00,460.40465787914536,
2021-12-13 20:00:00,622.5626859539948,
2021-12-13 23:00:00,581.7022921189428,
2021-12-13 23:59:59,651.8575668753765,c
2021-12-14 00:00:00,604.0774288896,
2021-12-14 01:00:00,619.1533084396569,
2021-12-14 02:30:00,632.2420345030791,
2021-12-14 03:00:00,632.4139402244655,
2021-12-14 18:30:00,632.4139402244655,
2021-12-14 20:00:00,898.1751122019059,
2021-12-14 23:00:00,757.7093533252369,
2021-12-14 23:59:59,736.8400153990592,c
2021-12-15 00:00:00,786.5465658493276,
2021-12-15 01:00:00,831.8471785446236,
2021-12-15 02:30:00,852.2526262436222,
2021-12-15 03:00:00,858.8375217550506,
2021-12-15 18:30:00,858.8375217550506,
2021-12-15 20:00:00,704.1812316800588,
2021-12-15 23:00:00,739.1361532747037,
2021-12-15 23:59:59,740.4947839411002,c
2021-12-16 00:00:00,795.5548554889438,
2021-12-16 01:00:00,750.8351315788541,
2021-12-16 02:30:00,743.7937902844837,
2021-12-16 03:00:00,724.0118387017433,
2021-12-16 18:30:00,724.0118387017433,
2021-12-16 20:00:00,598.5104920451872,
2021-12-16 23:00:00,516.4036203897335,
2021-12-16 23:59:59,484.70066856548056,c
2021-12-17 00:00:00,487.88693289999765,
2021-12-17 01:00:00,521.3530929293775,
2021-12-17 02:30:00,527.7657473824115,
2021-12-17 03:00:00,541.0061734730502,
2021-12-17 18:30:00,541.0061734730502,
2021-12-17 20:00:00,541.0061734730502,
2021-12-17 23:00:00,541.0061734730502,
2021-12-17 23:59:59,536.6226492381343,w
2021-12-20 00:00:00,411.26235776508247,
2021-12-20 01:00:00,335.7457315186084,
2021-12-20 02:30:00,355.42205912464897,
2021-12-20 03:00:00,355.2707166649443,
2021-12-20 18:30:00,355.2707166649443,
2021-12-20 20:00:00,397.31918735122963,
2021-12-20 23:00:00,354.9580732054933,
2021-12-20 23:59:59,368.76937584257576,c
2021-12-21 00:00:00,425.7500144605051,
2021-12-21 01:00:00,473.47808993414174,
2021-12-21 02:30:00,473.7592325502533,
2021-12-21 03:00:00,486.89178195713475,
2021-12-21 18:30:00,486.89178195713475,
2021-12-21 20:00:00,416.14308374995744,
2021-12-21 23:00:00,477.0700506351177,
2021-12-21 23:59:59,491.206218452985,c
2021-12-22 00:00:00,467.52533257683126,
2021-12-22 01:00:00,305.08940288816984,
2021-12-22 02:30:00,318.4840480173625,
2021-12-22 03:00:00,345.26818233948234,
2021-12-22 18:30:00,345.26818233948234,
2021-12-22 20:00:00,369.5516538111515,
2021-12-22 23:00:00,332.68840355360544,
2021-12-22 23:59:59,330.19742538896116,c
2021-12-23 00:00:00,273.1630217891816,
2021-12-23 01:00:00,304.9430362403468,
2021-12-23 02:30:00,337.7055949662017,
2021-12-23 03:00:00,337.63931635299286,
2021-12-23 18:30:00,337.63931635299286,
2021-12-23 20:00:00,409.73225776027084,
2021-12-23 23:00:00,338.3285706462707,
2021-12-23 23:59:59,362.05020096079625,c
2021-12-24 00:00:00,357.2374593194677,
2021-12-24 01:00:00,330.729775752709,
2021-12-24 02:30:00,330.729775752709,
2021-12-24 03:00:00,330.729775752709,
2021-12-24 18:30:00,330.729775752709,
2021-12-24 20:00:00,330.729775752709,
2021-12-24 23:00:00,330.729775752709,
2021-12-24 23:59:59,328.26681862500436,w
