date,EU_MDAX_2022_Q3,meta
2022-09-22 03:30:00,345.22448012063865,
2022-09-22 04:00:00,355.00938644705957,
2022-09-22 06:00:00,446.22693599756803,
2022-09-22 08:00:00,422.09406051523456,
2022-09-22 10:30:00,472.7541275886033,
2022-09-22 11:00:00,469.2060371087623,
2022-09-22 23:59:59,478.0739636289736,c
2022-09-23 00:00:00,467.9601120161601,
2022-09-23 03:30:00,442.2640405713173,
2022-09-23 04:00:00,412.83835127875227,
2022-09-23 06:00:00,428.5854728988552,
2022-09-23 08:00:00,409.8282352320857,
2022-09-23 10:30:00,405.02872649574283,
2022-09-23 11:00:00,380.49258730019665,
2022-09-23 23:59:59,427.71735234022526,w
2022-09-26 00:00:00,442.25065663835585,
2022-09-26 03:30:00,429.4257023740329,
2022-09-26 04:00:00,440.7897439453245,
2022-09-26 06:00:00,442.0847929720221,
2022-09-26 08:00:00,452.182416842415,
2022-09-26 10:30:00,408.3821001917622,
2022-09-26 11:00:00,387.5732524351033,
2022-09-26 23:59:59,383.24361727304085,c
2022-09-27 00:00:00,398.1910508715032,
2022-09-27 03:30:00,347.5227840900343,
2022-09-27 04:00:00,362.57420855889677,
2022-09-27 06:00:00,354.2840860389422,
2022-09-27 08:00:00,387.76222294135005,
2022-09-27 10:30:00,376.0454158070024,
2022-09-27 11:00:00,358.3540024692493,
2022-09-27 23:59:59,388.21783518467873,c
2022-09-28 00:00:00,421.6223877133252,
2022-09-28 03:30:00,406.9467360030985,
2022-09-28 04:00:00,384.39044212017325,
2022-09-28 06:00:00,366.519357747095,
2022-09-28 08:00:00,311.96964489728384,
2022-09-28 10:30:00,316.5853739158538,
2022-09-28 11:00:00,308.43835803396973,
2022-09-28 23:59:59,280.76863750655,c
2022-09-29 00:00:00,268.81684067883316,
2022-09-29 03:30:00,206.96041979917254,
2022-09-29 04:00:00,198.01002936993928,
2022-09-29 06:00:00,266.9117867609898,
2022-09-29 08:00:00,232.49000501714704,
2022-09-29 10:30:00,107.58252403303322,
2022-09-29 11:00:00,125.72873635378164,
2022-09-29 23:59:59,103.14349128896743,c
2022-09-30 00:00:00,112.3426872706234,
2022-09-30 03:30:00,110.4809668272585,
2022-09-30 04:00:00,132.45370672291688,
2022-09-30 06:00:00,119.71696373821555,
2022-09-30 08:00:00,95.61807772760199,
2022-09-30 10:30:00,115.96787714949869,
2022-09-30 11:00:00,108.77675842310441,
2022-09-30 23:59:59,108.14598001941863,w
2022-10-03 00:00:00,160.1857206805007,
2022-10-03 03:30:00,108.06778485825771,
2022-10-03 04:00:00,91.18695633243192,
2022-10-03 06:00:00,98.52501620852172,
2022-10-03 08:00:00,144.50493222123941,
2022-10-03 10:30:00,177.55198897712899,
2022-10-03 11:00:00,163.2571385809872,
2022-10-03 23:59:59,169.66542798091427,c
2022-10-04 00:00:00,172.10595548338983,
2022-10-04 03:30:00,131.99576177741528,
2022-10-04 04:00:00,169.1074567548544,
2022-10-04 06:00:00,272.92021780820437,
2022-10-04 08:00:00,269.0765293088616,
2022-10-04 10:30:00,316.49024530069323,
2022-10-04 11:00:00,299.3130516446654,
2022-10-04 23:59:59,296.86801012325145,c
2022-10-05 00:00:00,290.79881192553444,
2022-10-05 03:30:00,284.74169048248723,
2022-10-05 04:00:00,320.40184379442417,
2022-10-05 06:00:00,320.7983380282203,
2022-10-05 08:00:00,306.75140795676316,
2022-10-05 10:30:00,295.55377473411704,
2022-10-05 11:00:00,324.35993918379995,
2022-10-05 23:59:59,357.6529885052437,c
2022-10-06 00:00:00,377.6122706443425,
2022-10-06 03:30:00,398.6955552293184,
2022-10-06 04:00:00,388.377248113783,
2022-10-06 06:00:00,338.0862576284005,
2022-10-06 08:00:00,340.195412908319,
2022-10-06 10:30:00,382.5861175678838,
2022-10-06 11:00:00,384.0659483066238,
2022-10-06 23:59:59,395.50106467614296,c
2022-10-07 00:00:00,424.7768844860402,
2022-10-07 03:30:00,465.1604654759062,
2022-10-07 04:00:00,449.0309020468203,
2022-10-07 06:00:00,431.8615103861366,
2022-10-07 08:00:00,444.9585343126537,
2022-10-07 10:30:00,402.84187926825507,
2022-10-07 11:00:00,416.98246782498154,
2022-10-07 23:59:59,446.3712872311371,w
2022-10-10 00:00:00,439.1116976905764,
2022-10-10 03:30:00,445.14372047903134,
2022-10-10 04:00:00,427.64236327270874,
2022-10-10 06:00:00,424.14828042002364,
2022-10-10 08:00:00,463.8373860349002,
2022-10-10 10:30:00,465.94291066845244,
2022-10-10 11:00:00,462.1473418917062,
2022-10-10 23:59:59,446.6278348282567,c
2022-10-11 00:00:00,424.39916711146634,
2022-10-11 03:30:00,427.33721233493907,
2022-10-11 04:00:00,511.03794128084746,
2022-10-11 06:00:00,541.7727828210468,
2022-10-11 08:00:00,547.5442658436405,
2022-10-11 10:30:00,562.0753511636535,
2022-10-11 11:00:00,552.5481525531695,
2022-10-11 23:59:59,552.356339911139,c
2022-10-12 00:00:00,565.3401836446269,
2022-10-12 03:30:00,553.0818250547895,
2022-10-12 04:00:00,547.5070831508119,
2022-10-12 06:00:00,546.8244634361236,
2022-10-12 08:00:00,563.5848920363055,
2022-10-12 10:30:00,580.0068712518923,
2022-10-12 11:00:00,602.7143213247,
2022-10-12 23:59:59,576.9099092697838,c
2022-10-13 00:00:00,584.2062187083616,
2022-10-13 03:30:00,617.8216656349482,
2022-10-13 04:00:00,621.4053029874235,
2022-10-13 06:00:00,633.5558668369154,
2022-10-13 08:00:00,581.043794083937,
2022-10-13 10:30:00,647.682432257895,
2022-10-13 11:00:00,650.7686147932454,
2022-10-13 23:59:59,652.2903917836356,c
2022-10-14 00:00:00,607.3553351239912,
2022-10-14 03:30:00,651.7641804581549,
2022-10-14 04:00:00,659.8099139684655,
2022-10-14 06:00:00,634.6522128846327,
2022-10-14 08:00:00,613.2600035046471,
2022-10-14 10:30:00,636.0285209966883,
2022-10-14 11:00:00,642.7234462426254,
2022-10-14 23:59:59,647.5453218674047,w
