date,MSCI_FACT_USMV_HEDGED_2020_Q4,meta
2020-11-04 15:00:00,214.74600446269227,
2020-11-04 15:30:30,214.74600446269227,
2020-11-04 23:59:59,225.44885081701867,c
2020-11-05 00:00:00,239.48749596855419,
2020-11-05 10:00:00,231.57201783825323,
2020-11-05 10:30:00,223.10831664537343,
2020-11-05 12:00:00,237.8169242515109,
2020-11-05 13:30:00,232.39059467982014,
2020-11-05 15:00:00,233.71642914005847,
2020-11-05 15:30:30,233.71642914005847,
2020-11-05 23:59:59,238.78393323456194,c
2020-11-06 00:00:00,207.9161724789839,
2020-11-06 10:00:00,163.87132258551097,
2020-11-06 10:30:00,167.45353806213862,
2020-11-06 12:00:00,197.03638359346274,
2020-11-06 13:30:00,208.14778779073802,
2020-11-06 15:00:00,207.10061856104244,
2020-11-06 15:30:30,207.10061856104244,
2020-11-06 23:59:59,205.26258202632775,w
2020-11-09 00:00:00,35.150938577421186,
2020-11-09 10:00:00,-27.60858763908749,
2020-11-09 10:30:00,16.888435082411576,
2020-11-09 12:00:00,63.72721530607646,
2020-11-09 13:30:00,33.039715591083535,
2020-11-09 15:00:00,32.980110591009435,
2020-11-09 15:30:30,32.980110591009435,x
2020-11-09 23:59:59,26.933461632104724,c
2020-11-10 00:00:00,12.025939135567796,
2020-11-10 10:00:00,-17.37075859654007,
2020-11-10 10:30:00,-5.280748280055519,
2020-11-10 12:00:00,-0.014094437668660476,
2020-11-10 13:30:00,-6.18416303662454,
2020-11-10 15:00:00,-23.6545871456089,
2020-11-10 15:30:30,-23.6545871456089,
2020-11-10 23:59:59,-31.55905258579375,c
2020-11-11 00:00:00,-4.759090127598341,
2020-11-11 10:00:00,-4.6224217581628295,
2020-11-11 10:30:00,-8.459913791441807,
2020-11-11 12:00:00,-13.918083328763572,
2020-11-11 13:30:00,-11.308413447384027,
2020-11-11 15:00:00,-1.0038470968112279,
2020-11-11 15:30:30,-1.0038470968112279,
2020-11-11 23:59:59,0.8979589557123404,c
2020-11-12 00:00:00,9.035671980972637,
2020-11-12 10:00:00,17.39032707342605,
2020-11-12 10:30:00,13.465170849843844,
2020-11-12 12:00:00,15.881484715063436,
2020-11-12 13:30:00,8.265046190052885,
2020-11-12 15:00:00,16.52719060552303,
2020-11-12 15:30:30,16.52719060552303,
2020-11-12 23:59:59,5.609837934750857,c
2020-11-13 00:00:00,3.815764902287384,
2020-11-13 10:00:00,-1.9114678674421555,
2020-11-13 10:30:00,25.153695216041058,
2020-11-13 12:00:00,32.56236685609397,
2020-11-13 13:30:00,39.76318701060481,
2020-11-13 15:00:00,39.60323368131566,
2020-11-13 15:30:30,39.60323368131566,
2020-11-13 23:59:59,33.04585380069102,w
