date,AS_FTSE_AS_EM_AW_STAYS_2021_Q4,meta
2021-11-08 23:59:59,-280.66248594484796,c
2021-11-09 00:00:00,-287.4120822068994,
2021-11-09 01:00:00,-294.4463105528739,
2021-11-09 02:30:00,-284.87548787583773,
2021-11-09 03:00:00,-264.5743492629317,
2021-11-09 18:30:00,-264.5743492629317,
2021-11-09 20:00:00,-264.5743492629317,
2021-11-09 23:00:00,-262.6350738912138,
2021-11-09 23:59:59,-240.85449448856843,c
2021-11-10 00:00:00,-271.91703174251234,
2021-11-10 01:00:00,-231.93113261743383,
2021-11-10 02:30:00,-142.49324151562405,
2021-11-10 03:00:00,-128.76863762939047,
2021-11-10 18:30:00,-128.76863762939047,
2021-11-10 20:00:00,-128.76863762939047,
2021-11-10 23:00:00,-84.31971459221222,
2021-11-10 23:59:59,-77.58307338722943,c
2021-11-11 00:00:00,-99.20977812235878,
2021-11-11 01:00:00,-67.53144558066651,
2021-11-11 02:30:00,-56.6488638850642,
2021-11-11 03:00:00,-52.28691983469389,
2021-11-11 18:30:00,-52.28691983469389,
2021-11-11 20:00:00,-52.28691983469389,
2021-11-11 23:00:00,-42.44965173403443,
2021-11-11 23:59:59,-53.05612819136604,c
2021-11-12 00:00:00,-8.716193894204935,
2021-11-12 01:00:00,15.83886905479767,
2021-11-12 02:30:00,15.37551706578779,
2021-11-12 03:00:00,19.25146671998391,
2021-11-12 18:30:00,19.25146671998391,
2021-11-12 20:00:00,19.25146671998391,
2021-11-12 23:00:00,19.25146671998391,
2021-11-12 23:59:59,19.549681564725688,w
2021-11-15 00:00:00,31.96186271446595,
2021-11-15 01:00:00,49.51649372471866,
2021-11-15 02:30:00,50.75371215914038,
2021-11-15 03:00:00,39.45670432658699,
2021-11-15 18:30:00,39.45670432658699,
2021-11-15 20:00:00,39.45670432658699,
2021-11-15 23:00:00,90.93444983131212,
2021-11-15 23:59:59,94.93380568040402,c
2021-11-16 00:00:00,81.74999644182708,
2021-11-16 01:00:00,64.86282293555314,
2021-11-16 02:30:00,70.53542174060476,
2021-11-16 03:00:00,80.73799839812045,
2021-11-16 18:30:00,80.73799839812045,
2021-11-16 20:00:00,80.73799839812045,
2021-11-16 23:00:00,31.089201986115313,
2021-11-16 23:59:59,23.916591057926325,c
2021-11-17 00:00:00,-1.3939201270695776,
2021-11-17 01:00:00,-53.81783399807682,
2021-11-17 02:30:00,-67.59370312138572,
2021-11-17 03:00:00,-64.73470306541321,
2021-11-17 18:30:00,-64.73470306541321,
2021-11-17 20:00:00,-64.73470306541321,
2021-11-17 23:00:00,-82.03131882419984,
2021-11-17 23:59:59,-81.17832405171202,c
2021-11-18 00:00:00,-87.62601065239505,
2021-11-18 01:00:00,-97.49763094645596,
2021-11-18 02:30:00,-107.19006652954613,
2021-11-18 03:00:00,-112.6195909109947,
2021-11-18 18:30:00,-112.6195909109947,
2021-11-18 20:00:00,-112.6195909109947,
2021-11-18 23:00:00,-82.03675112812152,
2021-11-18 23:59:59,-64.36757328019621,c
2021-11-19 00:00:00,-53.60424598475129,
2021-11-19 01:00:00,-42.29500407430805,
2021-11-19 02:30:00,-16.40818838709538,
2021-11-19 03:00:00,-4.438565351484613,
2021-11-19 18:30:00,-4.438565351484613,
2021-11-19 20:00:00,-4.438565351484613,
2021-11-19 23:00:00,-4.438565351484613,
2021-11-19 23:59:59,0.0,a
2021-11-22 00:00:00,-17.043363497715745,
2021-11-22 01:00:00,5.291553263296919,
2021-11-22 02:30:00,-15.07662116812071,
2021-11-22 03:00:00,-14.694469240668695,
2021-11-22 18:30:00,-14.694469240668695,
2021-11-22 20:00:00,-14.694469240668695,
2021-11-22 23:00:00,23.197295546350688,
2021-11-22 23:59:59,11.175373954902625,c
2021-11-23 00:00:00,10.000540519795777,
2021-11-23 01:00:00,8.496774890437337,
2021-11-23 02:30:00,15.639879395064781,
2021-11-23 03:00:00,15.506338632462757,
2021-11-23 18:30:00,15.506338632462757,
2021-11-23 20:00:00,15.506338632462757,
2021-11-23 23:00:00,-10.585378073025822,
2021-11-23 23:59:59,2.999440350009081,c
2021-11-24 00:00:00,13.519034652894788,
2021-11-24 01:00:00,3.534876209510003,
2021-11-24 02:30:00,5.213564217100611,
2021-11-24 03:00:00,1.880412368162979,
2021-11-24 18:30:00,1.880412368162979,
2021-11-24 20:00:00,1.880412368162979,
2021-11-24 23:00:00,36.84425885839437,
2021-11-24 23:59:59,31.5078223637488,c
2021-11-25 00:00:00,26.216525409844053,
2021-11-25 01:00:00,17.9386485116961,
2021-11-25 02:30:00,23.89083471315371,
2021-11-25 03:00:00,27.54445796769687,
2021-11-25 18:30:00,27.54445796769687,
2021-11-25 20:00:00,27.54445796769687,
2021-11-25 23:00:00,17.49958888368201,
2021-11-25 23:59:59,14.038488934300858,c
2021-11-26 00:00:00,-3.5433179109918456,
2021-11-26 01:00:00,-9.581656274393481,
2021-11-26 02:30:00,-32.43886227357052,
2021-11-26 03:00:00,-28.37729846697721,
2021-11-26 18:30:00,-28.37729846697721,
2021-11-26 20:00:00,-28.37729846697721,
2021-11-26 23:00:00,-28.37729846697721,
2021-11-26 23:59:59,-32.506556965958225,w
2021-11-29 00:00:00,-50.03220130782938,
2021-11-29 01:00:00,-41.58228808678268,
2021-11-29 02:30:00,-34.08773418817782,
2021-11-29 03:00:00,-33.851204379020146,
2021-11-29 18:30:00,-33.851204379020146,
2021-11-29 20:00:00,-33.851204379020146,
2021-11-29 23:00:00,-41.60205502747476,
2021-11-29 23:59:59,-47.01463519744175,c
2021-11-30 00:00:00,-56.60232024856623,
2021-11-30 01:00:00,-76.36555484852215,
2021-11-30 02:30:00,-92.68823433039961,
2021-11-30 03:00:00,-104.36210109166132,
2021-11-30 18:30:00,-104.36210109166132,
2021-11-30 20:00:00,-104.36210109166132,
2021-11-30 23:00:00,-66.95961819185322,
2021-11-30 23:59:59,-72.26499870203861,c
2021-12-01 00:00:00,-58.85169101568772,
2021-12-01 01:00:00,-82.89862739130012,
2021-12-01 02:30:00,-98.23668411412655,
2021-12-01 03:00:00,-98.33227007067035,
2021-12-01 18:30:00,-98.33227007067035,
2021-12-01 20:00:00,-98.33227007067035,
2021-12-01 23:00:00,-37.367385350720724,
2021-12-01 23:59:59,-54.76094583491067,c
2021-12-02 00:00:00,-36.17685676577685,
2021-12-02 01:00:00,-50.247597458729615,
2021-12-02 02:30:00,-50.50154460290105,
2021-12-02 03:00:00,-36.600333731618775,
2021-12-02 18:30:00,-36.600333731618775,
2021-12-02 20:00:00,-36.600333731618775,
2021-12-02 23:00:00,1.8037780570807627,
2021-12-02 23:59:59,0.15521312963437595,c
2021-12-03 00:00:00,-11.746327073673456,
2021-12-03 01:00:00,-0.4004331538349106,
2021-12-03 02:30:00,2.9639115200375272,
2021-12-03 03:00:00,3.0124448225110427,
2021-12-03 18:30:00,3.0124448225110427,
2021-12-03 20:00:00,3.0124448225110427,
2021-12-03 23:00:00,3.0124448225110427,
2021-12-03 23:59:59,4.723647144520328,w
2021-12-06 00:00:00,-22.86082593100491,
2021-12-06 01:00:00,-38.51576788488592,
2021-12-06 02:30:00,-38.10724736261227,
2021-12-06 03:00:00,-43.641714594790756,
2021-12-06 18:30:00,-43.641714594790756,
2021-12-06 20:00:00,-43.641714594790756,
2021-12-06 23:00:00,-19.037024457316875,
2021-12-06 23:59:59,-38.62645475642694,c
2021-12-07 00:00:00,-11.177775055272377,
2021-12-07 01:00:00,-24.1366500649342,
2021-12-07 02:30:00,-13.263077305763545,
2021-12-07 03:00:00,-13.751264875394554,
2021-12-07 18:30:00,-13.751264875394554,
2021-12-07 20:00:00,-13.751264875394554,
2021-12-07 23:00:00,-53.12467822503868,
2021-12-07 23:59:59,-77.9047813920588,c
2021-12-08 00:00:00,-75.06073166146643,
2021-12-08 01:00:00,-118.78247176235709,
2021-12-08 02:30:00,-114.31738138053561,
