date,PAVE_2023_Q1,meta
2023-02-01 23:59:59,-432.9895065869235,c
2023-02-02 00:00:00,-439.52910833269954,
2023-02-02 10:00:00,-420.3160797876741,
2023-02-02 10:30:00,-378.87656532861376,
2023-02-02 12:00:00,-386.50415726041945,
2023-02-02 13:30:00,-372.9297639023274,
2023-02-02 15:00:00,-358.48594264022313,
2023-02-02 15:30:30,-358.48594264022313,
2023-02-02 23:59:59,-393.55890707094414,c
2023-02-03 00:00:00,-401.2678136344442,
2023-02-03 10:00:00,-453.78619159084565,
2023-02-03 10:30:00,-474.4118061043109,
2023-02-03 12:00:00,-408.6759117531766,
2023-02-03 13:30:00,-403.4846694585766,
2023-02-03 15:00:00,-411.99800426777455,
2023-02-03 15:30:30,-411.99800426777455,
2023-02-03 23:59:59,-398.48125403148623,w
2023-02-06 00:00:00,-409.19357704059655,
2023-02-06 10:00:00,-371.34438084533497,
2023-02-06 10:30:00,-353.2900598518228,
2023-02-06 12:00:00,-352.5443934131538,
2023-02-06 13:30:00,-360.2793431222075,
2023-02-06 15:00:00,-356.31023199121137,
2023-02-06 15:30:30,-356.31023199121137,
2023-02-06 23:59:59,-361.094644188065,c
2023-02-07 00:00:00,-372.0590765332323,
2023-02-07 10:00:00,-366.19024561012117,
2023-02-07 10:30:00,-321.2732373777079,
2023-02-07 12:00:00,-330.8233556382187,
2023-02-07 13:30:00,-323.76525129262893,
2023-02-07 15:00:00,-310.4726009120516,
2023-02-07 15:30:30,-310.4726009120516,
2023-02-07 23:59:59,-307.91985411334554,c
2023-02-08 00:00:00,-293.3074440526462,
2023-02-08 10:00:00,-293.01220360605566,
2023-02-08 10:30:00,-315.34167089484845,
2023-02-08 12:00:00,-315.1090217701283,
2023-02-08 13:30:00,-327.43848350013565,
2023-02-08 15:00:00,-328.1019626128584,
2023-02-08 15:30:30,-328.1019626128584,
2023-02-08 23:59:59,-316.33204299685593,c
2023-02-09 00:00:00,-331.82089648575686,
2023-02-09 10:00:00,-346.46581559911743,
2023-02-09 10:30:00,-347.13713515427264,
2023-02-09 12:00:00,-334.2438270928566,
2023-02-09 13:30:00,-331.751987771885,
2023-02-09 15:00:00,-314.7081816231284,
2023-02-09 15:30:30,-314.7081816231284,
2023-02-09 23:59:59,-314.8256640328947,c
2023-02-10 00:00:00,-313.0580333490027,
2023-02-10 10:00:00,-332.15990526780195,
2023-02-10 10:30:00,-336.7113517951414,
2023-02-10 12:00:00,-340.1700239631353,
2023-02-10 13:30:00,-339.93715765626683,
2023-02-10 15:00:00,-326.3948646684414,
2023-02-10 15:30:30,-326.3948646684414,
2023-02-10 23:59:59,-325.5195316899786,w
2023-02-13 00:00:00,-326.63036662588974,
2023-02-13 10:00:00,-317.25478724565573,
2023-02-13 10:30:00,-319.81361514249187,
2023-02-13 12:00:00,-311.34194953607516,
2023-02-13 13:30:00,-319.1146191619405,
2023-02-13 15:00:00,-344.5300011657812,
2023-02-13 15:30:30,-344.5300011657812,
2023-02-13 23:59:59,-341.06087916546767,c
2023-02-14 00:00:00,-342.5344560345456,
2023-02-14 10:00:00,-333.4827763684034,
2023-02-14 10:30:00,-373.37810066893127,
2023-02-14 12:00:00,-383.47718315686245,
2023-02-14 13:30:00,-398.97216988222567,
2023-02-14 15:00:00,-389.93869238372577,
2023-02-14 15:30:30,-389.93869238372577,
2023-02-14 23:59:59,-388.66787675366754,c
