date,AS_MSCI_AS_DM_SC_2022_Q1,meta
2022-02-07 01:00:00,-231.83409641436447,
2022-02-07 02:30:00,-229.5511116309035,
2022-02-07 03:00:00,-209.0897922517588,
2022-02-07 18:30:00,-211.49771592557317,
2022-02-07 20:00:00,-192.9593525621167,
2022-02-07 23:00:00,-266.56545637905765,
2022-02-07 23:59:59,-277.8015507987775,c
2022-02-08 00:00:00,-274.40296576066703,
2022-02-08 01:00:00,-284.6366182403299,
2022-02-08 02:30:00,-264.43775448243105,
2022-02-08 03:00:00,-277.51766967258936,
2022-02-08 18:30:00,-290.07450411301215,
2022-02-08 20:00:00,-302.9824868658643,
2022-02-08 23:00:00,-126.59549523325677,
2022-02-08 23:59:59,-113.77184431132537,c
2022-02-09 00:00:00,-93.2305823168208,
2022-02-09 01:00:00,-88.654935451651,
2022-02-09 02:30:00,-88.55760702513999,
2022-02-09 03:00:00,-88.57617471280082,
2022-02-09 18:30:00,-76.20238435262127,
2022-02-09 20:00:00,-77.34389075049603,
2022-02-09 23:00:00,-10.713844748632255,
2022-02-09 23:59:59,0.0,a
2022-02-10 00:00:00,11.234066007159527,
2022-02-10 01:00:00,27.279181260960286,
2022-02-10 02:30:00,27.595611557188022,
2022-02-10 03:00:00,42.840661921104584,
2022-02-10 18:30:00,26.136030275672965,
2022-02-10 20:00:00,19.50815167545352,
2022-02-10 23:00:00,44.03665616969829,
2022-02-10 23:59:59,40.125687944343554,c
2022-02-11 00:00:00,-4.286352961278681,
2022-02-11 01:00:00,-17.302163496253343,
2022-02-11 02:30:00,-9.413815775804323,
2022-02-11 03:00:00,-11.517557485365614,
2022-02-11 18:30:00,-11.517557485365614,
2022-02-11 20:00:00,-11.517557485365614,
2022-02-11 23:00:00,-11.517557485365614,
2022-02-11 23:59:59,0.9823166078376744,w
2022-02-14 00:00:00,-81.78744187554275,
2022-02-14 01:00:00,-59.85370768022949,
2022-02-14 02:30:00,-69.99626634819015,
2022-02-14 03:00:00,-77.69802114294907,
2022-02-14 18:30:00,-85.62304194845001,
2022-02-14 20:00:00,-121.78936313410486,
2022-02-14 23:00:00,-64.18130290534828,
2022-02-14 23:59:59,-80.56289016658775,c
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
0,-80.56289016658775,
2022-02-15 00:00:00,-79.8580576484228,
2022-02-15 01:00:00,-121.46751352845149,
2022-02-15 02:30:00,-113.58070846697228,
2022-02-15 03:00:00,-121.5838675214809,
2022-02-15 18:30:00,-122.45806895131409,
2022-02-15 20:00:00,-89.31723693592085,
2022-02-15 23:00:00,-28.368441986349353,
2022-02-15 23:59:59,-20.307042333412937,c
2022-02-16 00:00:00,-18.65315633507271,
2022-02-16 01:00:00,-32.56733672484006,
2022-02-16 02:30:00,-21.583900739221463,
2022-02-16 03:00:00,-29.062389756947596,
2022-02-16 18:30:00,-28.80967389536636,
2022-02-16 20:00:00,-27.937123040023835,
2022-02-16 23:00:00,-26.46079701063354,
2022-02-16 23:59:59,-11.348900517427865,c
2022-02-17 00:00:00,-25.18471673552085,
2022-02-17 01:00:00,-31.425250982990292,
2022-02-17 02:30:00,-31.457142266634037,
2022-02-17 03:00:00,-25.986041916297836,
2022-02-17 18:30:00,-22.564904192518043,
2022-02-17 20:00:00,-43.42617332304053,
2022-02-17 23:00:00,7.060045939943848,
2022-02-17 23:59:59,22.766886122944925,c
2022-02-18 00:00:00,10.52735686656979,
2022-02-18 01:00:00,2.1514406991309443,
2022-02-18 02:30:00,-5.133780488608863,
2022-02-18 03:00:00,-5.122256341469438,
2022-02-18 18:30:00,-5.122256341469438,
2022-02-18 20:00:00,-5.122256341469438,
2022-02-18 23:00:00,-5.122256341469438,
2022-02-18 23:59:59,-7.021290871041856,w
2022-02-21 00:00:00,93.82923253075387,
2022-02-21 01:00:00,66.57280352120324,
2022-02-21 02:30:00,76.75386731326216,
2022-02-21 03:00:00,81.86738557884655,
2022-02-21 18:30:00,44.9278568951504,
2022-02-21 20:00:00,67.22830379878906,
2022-02-21 23:00:00,-25.575249667799653,
2022-02-21 23:59:59,-43.64858446558719,c
2022-02-22 00:00:00,-74.0918107087873,
2022-02-22 01:00:00,-64.02846016587046,
2022-02-22 02:30:00,-59.42264989661999,
2022-02-22 03:00:00,-61.272597603237955,
2022-02-22 18:30:00,-26.436784898048245,
2022-02-22 20:00:00,-1.628993364645794,
2022-02-22 23:00:00,26.554039769815063,
2022-02-22 23:59:59,20.684580977699625,c
2022-02-23 00:00:00,16.94283409226955,
2022-02-23 01:00:00,24.679458606315166,
2022-02-23 02:30:00,24.653457710043767,
2022-02-23 03:00:00,24.918045759754023,
2022-02-23 18:30:00,26.169470526951045,
2022-02-23 20:00:00,48.67537146395716,
2022-02-23 23:00:00,-70.99605314727432,
2022-02-23 23:59:59,-76.37381707039276,c
2022-02-24 00:00:00,-104.67980570749205,
2022-02-24 01:00:00,-89.0888661121835,
2022-02-24 02:30:00,-89.26832655842827,
2022-02-24 03:00:00,-84.19901849209782,
2022-02-24 18:30:00,-65.02579976299785,
2022-02-24 20:00:00,-53.542239448484,
2022-02-24 23:00:00,0.5579582528880564,
2022-02-24 23:59:59,8.890924003989312,c
2022-02-25 00:00:00,36.89019293716956,
2022-02-25 01:00:00,70.19385380387848,
2022-02-25 02:30:00,69.77171971174266,
2022-02-25 03:00:00,67.34249073965748,
2022-02-25 18:30:00,67.34249073965748,
2022-02-25 20:00:00,67.34249073965748,
2022-02-25 23:00:00,67.34249073965748,
2022-02-25 23:59:59,51.54937772703306,w
2022-02-28 00:00:00,80.6390671448653,
2022-02-28 01:00:00,63.304597631536126,
2022-02-28 02:30:00,75.29822481052452,
2022-02-28 03:00:00,88.68832151071547,
2022-02-28 18:30:00,106.6921353645912,
2022-02-28 20:00:00,104.0049739188371,
2022-02-28 23:00:00,31.712345527775142,
2022-02-28 23:59:59,38.5965163417477,e
2022-03-01 00:00:00,15.465495470409223,
2022-03-01 01:00:00,28.12959283064356,
2022-03-01 02:30:00,8.279956826421767,
2022-03-01 03:00:00,-9.464778122066491,
2022-03-01 18:30:00,-0.6644230773690651,
2022-03-01 20:00:00,-35.26688821372318,
2022-03-01 23:00:00,-28.54274965789591,
2022-03-01 23:59:59,-26.235215743430672,c
2022-03-02 00:00:00,-12.540002433045629,
2022-03-02 01:00:00,-13.041732955915904,
2022-03-02 02:30:00,7.160141069459314,
2022-03-02 03:00:00,9.490106512406783,
2022-03-02 18:30:00,-6.217734628913604,
2022-03-02 20:00:00,-13.401395633083666,
2022-03-02 23:00:00,-0.22244866517849005,
2022-03-02 23:59:59,9.963616907063624,c
2022-03-03 00:00:00,9.094571860013275,
2022-03-03 01:00:00,8.21462369254732,
2022-03-03 02:30:00,-14.499803299857376,
2022-03-03 03:00:00,-4.579454957871349,
2022-03-03 18:30:00,-16.588847331615398,
2022-03-03 20:00:00,-35.54200145962932,
2022-03-03 23:00:00,-25.5217324785026,
2022-03-03 23:59:59,3.881386110254425,c
2022-03-04 00:00:00,10.619824827836965,
2022-03-04 01:00:00,12.239165699771547,
2022-03-04 02:30:00,-5.666171198201482,
2022-03-04 03:00:00,16.925378836339405,
2022-03-04 18:30:00,16.925378836339405,
