date,Q_ILLIQ_HEDGED_2021_Q4,meta
2022-01-03 00:00:00,-32.77170490652995,
2022-01-03 10:00:00,-61.176393156250455,
2022-01-03 10:30:00,-53.602981968110996,
2022-01-03 12:00:00,-61.80626562232443,
2022-01-03 13:30:00,-68.1869165878889,
2022-01-03 15:00:00,-60.69803370820604,
2022-01-03 15:30:30,-60.69803370820604,
2022-01-03 23:59:59,-52.32911233710819,c
2022-01-04 00:00:00,-62.37475079176447,
2022-01-04 10:00:00,-89.7014816224738,
2022-01-04 10:30:00,-101.67355322963068,
2022-01-04 12:00:00,-105.80255705533415,
2022-01-04 13:30:00,-108.89671295326535,
2022-01-04 15:00:00,-110.66165201508583,
2022-01-04 15:30:30,-110.66165201508583,
2022-01-04 23:59:59,-111.12222020395716,c
2022-01-05 00:00:00,-118.44249553949884,
2022-01-05 10:00:00,-136.51240868652187,
2022-01-05 10:30:00,-142.05891403843424,
2022-01-05 12:00:00,-151.4606455909603,
2022-01-05 13:30:00,-159.46389981906054,
2022-01-05 15:00:00,-173.28720101289608,
2022-01-05 15:30:30,-173.28720101289608,
2022-01-05 23:59:59,-172.78299529810272,c
2022-01-06 00:00:00,-179.202218370009,
2022-01-06 10:00:00,-203.98188730923428,
2022-01-06 10:30:00,-195.95036989634605,
2022-01-06 12:00:00,-205.51855006497036,
2022-01-06 13:30:00,-215.13092852545944,
2022-01-06 15:00:00,-208.33699649063757,
2022-01-06 15:30:30,-208.33699649063757,
2022-01-06 23:59:59,-213.3508302320484,c
2022-01-07 00:00:00,-214.85182140790593,
2022-01-07 10:00:00,-212.8114674983991,
2022-01-07 10:30:00,-229.11455935501596,
2022-01-07 12:00:00,-231.02154936521083,
2022-01-07 13:30:00,-234.18188056691736,
2022-01-07 15:00:00,-233.93260630813023,
2022-01-07 15:30:30,-233.93260630813023,
2022-01-07 23:59:59,-234.76347581549615,w
2022-01-10 00:00:00,-249.3060542752583,
2022-01-10 10:00:00,-275.91692797181304,
2022-01-10 10:30:00,-267.27699183318526,
2022-01-10 12:00:00,-265.9785910798635,
2022-01-10 13:30:00,-259.163643495128,
2022-01-10 15:00:00,-256.72976841095533,
2022-01-10 15:30:30,-256.72976841095533,
