date,EU_SDIV_2022_Q1,meta
2022-03-09 06:00:00,67.41924029803181,
2022-03-09 08:00:00,88.49403313422476,
2022-03-09 10:30:00,122.57873989617883,
2022-03-09 11:00:00,113.28893031370967,
2022-03-09 23:59:59,154.8216068560663,c
2022-03-10 00:00:00,175.77267771388995,
2022-03-10 03:30:00,182.7961791504673,
2022-03-10 04:00:00,169.7045187939633,
2022-03-10 06:00:00,141.6856905690854,
2022-03-10 08:00:00,133.01438768934315,
2022-03-10 10:30:00,132.36546293928848,
2022-03-10 11:00:00,125.67737810464803,
2022-03-10 23:59:59,71.6288976546665,c
2022-03-11 00:00:00,53.854769775530826,
2022-03-11 03:30:00,84.16755026890064,
2022-03-11 04:00:00,84.84937854289262,
2022-03-11 06:00:00,89.01147859295679,
2022-03-11 08:00:00,46.70722006962478,
2022-03-11 10:30:00,63.657718859997885,
2022-03-11 11:00:00,75.45425198621876,
2022-03-11 23:59:59,51.273953915964285,w
2022-03-14 00:00:00,73.16547956816476,
2022-03-14 03:30:00,73.16547956816476,
2022-03-14 04:00:00,72.94857760229684,
2022-03-14 06:00:00,60.558498784890276,
2022-03-14 08:00:00,32.99587688389363,
2022-03-14 10:30:00,10.52714788473395,
2022-03-14 11:00:00,4.4008568358657385,
2022-03-14 23:59:59,39.86822168845731,c
2022-03-15 00:00:00,34.35880144313239,
2022-03-15 03:30:00,34.35880144313239,
2022-03-15 04:00:00,27.600026116688582,
2022-03-15 06:00:00,-72.82232143666909,
2022-03-15 08:00:00,7.121582501528678,
2022-03-15 10:30:00,0.02542240948628205,
2022-03-15 11:00:00,-14.060709289143745,
2022-03-15 23:59:59,-150.77885625124725,c
2022-03-16 00:00:00,-80.73511272467738,
2022-03-16 03:30:00,-80.73511272467738,
2022-03-16 04:00:00,-80.73511272467738,
2022-03-16 06:00:00,-90.72260492695455,
2022-03-16 08:00:00,-72.68251643990908,
2022-03-16 10:30:00,-29.035877448053725,
2022-03-16 11:00:00,-12.91661258995299,
2022-03-16 23:59:59,-37.73798647781496,c
2022-03-17 00:00:00,-22.01750889501909,
2022-03-17 03:30:00,-22.01750889501909,
2022-03-17 04:00:00,-22.01750889501909,
2022-03-17 06:00:00,-39.743422588247995,
2022-03-17 08:00:00,-47.98602843003249,
2022-03-17 10:30:00,-34.40334134495947,
2022-03-17 11:00:00,-50.63763739477662,
