date,XMLV_2022_Q2,meta
2022-05-06 15:00:00,-16.863793653431625,
2022-05-06 15:30:30,-16.863793653431625,
2022-05-06 23:59:59,-0.8834091130361088,w
2022-05-09 00:00:00,8.15098380613236,
2022-05-09 10:00:00,14.558857338166781,
2022-05-09 10:30:00,11.202496648028358,
2022-05-09 12:00:00,18.176880275109518,
2022-05-09 13:30:00,12.804892790585164,
2022-05-09 15:00:00,17.206670887807164,
2022-05-09 15:30:30,17.206670887807164,
2022-05-09 23:59:59,6.212684449109439,c
2022-05-10 00:00:00,10.85584424089555,
2022-05-10 10:00:00,14.96358082333046,
2022-05-10 10:30:00,4.370464678747219,
2022-05-10 12:00:00,-23.786970259179284,
2022-05-10 13:30:00,-19.859967154048054,
2022-05-10 15:00:00,-11.654294446707802,
2022-05-10 15:30:30,-11.654294446707802,u
