date,EU_MSCI_DM_SC_2022_Q2,meta
2022-04-21 10:30:00,246.8934742556031,
2022-04-21 11:00:00,244.45387237911137,
2022-04-21 23:59:59,247.1012415433936,c
2022-04-22 00:00:00,253.58674197412665,
2022-04-22 03:30:00,244.3727073081966,
2022-04-22 04:00:00,255.31564134626905,
2022-04-22 06:00:00,263.2583644544187,
2022-04-22 08:00:00,254.3127952840063,
2022-04-22 10:30:00,248.6215030925104,
2022-04-22 11:00:00,254.21434861150323,
2022-04-22 23:59:59,257.1830681505625,w
2022-04-25 00:00:00,259.4698599188723,
2022-04-25 03:30:00,255.43251505652609,
2022-04-25 04:00:00,240.49561137149828,
2022-04-25 06:00:00,203.2548952114118,
2022-04-25 08:00:00,205.86258857973448,
2022-04-25 10:30:00,213.2548051513411,
2022-04-25 11:00:00,217.45439431030678,
2022-04-25 23:59:59,224.64317704113824,c
2022-04-26 00:00:00,212.50888695440415,
2022-04-26 03:30:00,200.7115590342049,
2022-04-26 04:00:00,197.99001486661757,
2022-04-26 06:00:00,196.91431861439446,
2022-04-26 08:00:00,196.25775539536417,
2022-04-26 10:30:00,189.9800816404351,
2022-04-26 11:00:00,190.24463394768765,
2022-04-26 23:59:59,194.2697263900538,c
2022-04-27 00:00:00,212.60067403325144,
2022-04-27 03:30:00,205.13842857250555,
2022-04-27 04:00:00,210.34611110798193,
2022-04-27 06:00:00,185.5469721638416,
2022-04-27 08:00:00,203.3172353811943,
2022-04-27 10:30:00,200.08327419959107,
2022-04-27 11:00:00,193.63501337505528,
2022-04-27 23:59:59,178.55708595560793,c
2022-04-28 00:00:00,176.91722848988317,
2022-04-28 03:30:00,176.2881965449815,
2022-04-28 04:00:00,165.77429619247744,
2022-04-28 06:00:00,161.8217372667036,
2022-04-28 08:00:00,175.644626770679,
2022-04-28 10:30:00,191.44262371024178,
2022-04-28 11:00:00,193.36738817273158,
2022-04-28 23:59:59,177.03547448316948,c
2022-04-29 00:00:00,168.98519129228598,
2022-04-29 03:30:00,186.5415149676804,
2022-04-29 04:00:00,179.27730332678976,
2022-04-29 06:00:00,185.28592842316212,
2022-04-29 08:00:00,185.50336618775853,
2022-04-29 10:30:00,169.29039349035762,
2022-04-29 11:00:00,178.092439138057,
2022-04-29 23:59:59,176.0188152109094,w
2022-05-02 00:00:00,187.69792469171662,
2022-05-02 03:30:00,195.89013740964774,
2022-05-02 04:00:00,169.3905667616181,
2022-05-02 06:00:00,179.18743114838497,
2022-05-02 08:00:00,164.52069329821046,
2022-05-02 10:30:00,172.6296678074021,
2022-05-02 11:00:00,170.35802211928953,
2022-05-02 23:59:59,166.62602868778222,c
2022-05-03 00:00:00,161.16937321813836,
2022-05-03 03:30:00,157.24565094121394,
2022-05-03 04:00:00,150.7032841367207,
2022-05-03 06:00:00,160.33764650645108,
2022-05-03 08:00:00,161.05686265468609,
2022-05-03 10:30:00,149.3406128191573,
2022-05-03 11:00:00,144.12454329601985,
2022-05-03 23:59:59,135.8743238766931,c
2022-05-04 00:00:00,129.5764823017486,
2022-05-04 03:30:00,115.28099757299864,
