date,AS_MSCI_DM_STAY_2023_Q1,meta
2023-02-01 03:00:00,14.613049481066355,
2023-02-01 18:30:00,14.139073993297984,
2023-02-01 20:00:00,21.213802596985374,
2023-02-01 23:00:00,52.23919152786277,
2023-02-01 23:59:59,52.6031414809529,c
2023-02-02 00:00:00,43.54346154512302,
2023-02-02 01:00:00,45.907101722299785,
2023-02-02 02:30:00,46.261298944822556,
2023-02-02 03:00:00,43.12980284846071,
2023-02-02 18:30:00,41.555545736928934,
2023-02-02 20:00:00,37.39475986060813,
2023-02-02 23:00:00,48.879409457979364,
2023-02-02 23:59:59,49.079319689583826,c
2023-02-03 00:00:00,52.59771521599271,
2023-02-03 01:00:00,55.38334957582447,
2023-02-03 02:30:00,50.582946094971135,
2023-02-03 03:00:00,47.97539320501255,
2023-02-03 18:30:00,47.97539320501255,
2023-02-03 20:00:00,47.97539320501255,
2023-02-03 23:00:00,47.97539320501255,
2023-02-03 23:59:59,48.070314787215125,w
2023-02-06 00:00:00,40.23832575676056,
2023-02-06 01:00:00,41.32463943956873,
2023-02-06 02:30:00,40.83279905757615,
2023-02-06 03:00:00,39.56136025626881,
2023-02-06 18:30:00,38.781110858562556,
2023-02-06 20:00:00,30.330894641986674,
2023-02-06 23:00:00,33.29727415380171,
2023-02-06 23:59:59,31.208331487543205,c
2023-02-07 00:00:00,33.17196633741037,
2023-02-07 01:00:00,37.171360761909796,
2023-02-07 02:30:00,35.93924871046988,
2023-02-07 03:00:00,35.95347159339917,
2023-02-07 18:30:00,32.80089484688335,
2023-02-07 20:00:00,35.61798245378236,
2023-02-07 23:00:00,22.847459675282494,
2023-02-07 23:59:59,19.248832275249015,c
2023-02-08 00:00:00,10.949848268100482,
2023-02-08 01:00:00,15.710607343857646,
2023-02-08 02:30:00,18.014564147453598,
2023-02-08 03:00:00,16.06326234414462,
2023-02-08 18:30:00,15.044363846594479,
2023-02-08 20:00:00,12.123170639810382,
2023-02-08 23:00:00,-21.371513512234174,
2023-02-08 23:59:59,-19.493588199111855,c
2023-02-09 00:00:00,-5.49078641649794,
2023-02-09 01:00:00,-8.317330100197069,
2023-02-09 02:30:00,-18.21687273285545,
2023-02-09 03:00:00,-18.76983143298787,
2023-02-09 18:30:00,-14.229612253561186,
2023-02-09 20:00:00,-7.255835252360384,
2023-02-09 23:00:00,2.6915547784293494,
2023-02-09 23:59:59,0.0,a
2023-02-10 00:00:00,7.961483374154113,
2023-02-10 01:00:00,2.74058019996869,
2023-02-10 02:30:00,5.736189734866798,
2023-02-10 03:00:00,7.120028125005433,
2023-02-10 18:30:00,7.120028125005433,
2023-02-10 20:00:00,7.120028125005433,
2023-02-10 23:00:00,7.120028125005433,
2023-02-10 23:59:59,7.929441365630964,w
2023-02-13 00:00:00,30.626499686517263,
2023-02-13 01:00:00,23.430460182410457,
2023-02-13 02:30:00,18.227121035547725,
2023-02-13 03:00:00,18.61581828948772,
2023-02-13 18:30:00,16.58485673182986,
2023-02-13 20:00:00,21.657898703326055,
2023-02-13 23:00:00,11.194656065661889,
2023-02-13 23:59:59,9.976924003272302,c
2023-02-14 00:00:00,9.321934772297027,
2023-02-14 01:00:00,18.863032590707576,
2023-02-14 02:30:00,24.916578289410836,
2023-02-14 03:00:00,21.7785616987278,
2023-02-14 18:30:00,19.242460147021347,
2023-02-14 20:00:00,19.656157292896182,
2023-02-14 23:00:00,43.9350232598282,
2023-02-14 23:59:59,42.17228869645885,c
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
0,42.17228869645885,
2023-02-15 00:00:00,49.699878458481294,
2023-02-15 01:00:00,47.57351759702158,
2023-02-15 02:30:00,55.93286510967539,
2023-02-15 03:00:00,54.01787574718003,
2023-02-15 18:30:00,50.77019056866118,
2023-02-15 20:00:00,52.18006025183661,
2023-02-15 23:00:00,33.03449017528999,
2023-02-15 23:59:59,34.42134120820651,c
2023-02-16 00:00:00,28.558990861870143,
2023-02-16 01:00:00,32.11909855603426,
2023-02-16 02:30:00,43.51954770466966,
2023-02-16 03:00:00,44.08510702129638,
2023-02-16 18:30:00,45.02054068133043,
2023-02-16 20:00:00,46.35175197522733,
2023-02-16 23:00:00,65.10930811320463,
2023-02-16 23:59:59,63.039884300570975,c
2023-02-17 00:00:00,73.33369740139153,
2023-02-17 01:00:00,74.2403307799666,
2023-02-17 02:30:00,76.78852583785533,
2023-02-17 03:00:00,76.72173564541993,
2023-02-17 18:30:00,76.72173564541993,
2023-02-17 20:00:00,76.72173564541993,
2023-02-17 23:00:00,76.72173564541993,
2023-02-17 23:59:59,78.65968905185264,w
2023-02-20 00:00:00,74.79307471021764,
2023-02-20 01:00:00,79.71694952738244,
2023-02-20 02:30:00,84.4730673886163,
2023-02-20 03:00:00,83.03302510248386,
2023-02-20 18:30:00,78.01092551627323,
2023-02-20 20:00:00,76.36413776134543,
2023-02-20 23:00:00,83.18235417720314,
2023-02-20 23:59:59,83.51472530614569,c
2023-02-21 00:00:00,81.45916600697717,
2023-02-21 01:00:00,84.49150591417776,
2023-02-21 02:30:00,87.83226768925613,
2023-02-21 03:00:00,82.85617386697265,
2023-02-21 18:30:00,79.15779622188415,
2023-02-21 20:00:00,79.34463198719595,
2023-02-21 23:00:00,71.31637603702916,
2023-02-21 23:59:59,71.90622361343924,c
2023-02-22 00:00:00,63.73084102739506,
2023-02-22 01:00:00,66.42747167288519,
2023-02-22 02:30:00,69.87378132778247,
2023-02-22 03:00:00,75.99040793937547,
2023-02-22 18:30:00,78.77512276467633,
2023-02-22 20:00:00,82.27248821419096,
2023-02-22 23:00:00,86.19769242296991,
2023-02-22 23:59:59,86.96560180311644,c
2023-02-23 00:00:00,93.53245920848792,
2023-02-23 01:00:00,97.41997374851746,
2023-02-23 02:30:00,92.92956646954667,
2023-02-23 03:00:00,101.5201463597972,
2023-02-23 18:30:00,99.24109268403538,
2023-02-23 20:00:00,94.75602845695721,
2023-02-23 23:00:00,89.85360652346549,
2023-02-23 23:59:59,93.76514659630072,c
2023-02-24 00:00:00,84.67835182365934,
2023-02-24 01:00:00,77.22063352348164,
2023-02-24 02:30:00,72.69087496779139,
2023-02-24 03:00:00,76.7098980892315,
2023-02-24 18:30:00,76.7098980892315,
2023-02-24 20:00:00,76.7098980892315,
2023-02-24 23:00:00,76.7098980892315,
2023-02-24 23:59:59,76.30852686656624,w
