date,PHO_PIO_2020_Q4,meta
2020-11-27 15:00:00,181.72956089253012,
2020-11-27 15:30:30,181.72956089253012,
2020-11-27 23:59:59,168.35687249147395,w
2020-11-30 00:00:00,159.1235467159513,
2020-11-30 10:00:00,160.8124486922743,
2020-11-30 10:30:00,184.49211589105244,
2020-11-30 12:00:00,227.59146624086225,
2020-11-30 13:30:00,224.61906020908327,
2020-11-30 15:00:00,213.9487286421181,
2020-11-30 15:30:30,213.9487286421181,x
2020-11-30 23:59:59,239.8211497172142,c
2020-12-01 00:00:00,179.35357541657186,
2020-12-01 10:00:00,165.4647255788541,
2020-12-01 10:30:00,157.28225927378662,
2020-12-01 12:00:00,150.24767310481957,
2020-12-01 13:30:00,156.53699447446434,
2020-12-01 15:00:00,125.39094832977617,
2020-12-01 15:30:30,125.39094832977617,
