date,GDXJ_2021_Q2,meta
2021-07-08 12:00:00,109.38856125230453,
2021-07-08 13:30:00,111.19452088481387,
2021-07-08 15:00:00,112.21864316597387,
2021-07-08 15:30:30,112.21864316597387,
2021-07-08 23:59:59,120.10016423347378,c
2021-07-09 00:00:00,100.19119921375483,
2021-07-09 10:00:00,115.01618453633387,
2021-07-09 10:30:00,124.5356213149366,
2021-07-09 12:00:00,81.61789337765643,
2021-07-09 13:30:00,73.09162801315946,
2021-07-09 15:00:00,66.60511975831577,
2021-07-09 15:30:30,66.60511975831577,
2021-07-09 23:59:59,75.34779635421847,w
