date,CAD_ETFS_2022_Q1,meta
2022-03-11 15:00:00,-17.726560919649273,
2022-03-11 15:30:30,-17.726560919649273,
2022-03-11 23:59:59,0.0,a
2022-03-14 00:00:00,64.8813789182168,
2022-03-14 10:00:00,149.58383437784732,
2022-03-14 10:30:00,145.17275057135157,
2022-03-14 12:00:00,171.07018437180386,
2022-03-14 13:30:00,149.21750362793182,
2022-03-14 15:00:00,177.38464444389865,
2022-03-14 15:30:30,177.38464444389865,
2022-03-14 23:59:59,145.22576967572968,c
2022-03-15 00:00:00,300.3391773937569,
2022-03-15 10:00:00,323.20528258854574,
2022-03-15 10:30:00,327.895728180014,
2022-03-15 12:00:00,270.3842485735004,
2022-03-15 13:30:00,230.24845995470378,
2022-03-15 15:00:00,224.8816085014373,
2022-03-15 15:30:30,224.8816085014373,
