date,INTEL_SECT_2021_Q3,meta
2021-08-26 10:30:00,145.47212786219154,
2021-08-26 12:00:00,149.14616900826087,
2021-08-26 13:30:00,162.06543762003966,
2021-08-26 15:00:00,151.9862065819134,
2021-08-26 15:30:30,151.9862065819134,
2021-08-26 23:59:59,154.55392351500575,c
0,154.55392351500575,
0,154.55392351500575,
0,154.55392351500575,
0,154.55392351500575,
0,154.55392351500575,
0,154.55392351500575,
0,154.55392351500575,
0,154.55392351500575,
2021-08-27 00:00:00,154.1303712542379,
2021-08-27 10:00:00,143.28773618368274,
2021-08-27 10:30:00,149.6306593025816,
2021-08-27 12:00:00,141.1378364677509,
2021-08-27 13:30:00,143.06660743469806,
2021-08-27 15:00:00,141.41282102369365,
2021-08-27 15:30:30,141.41282102369365,
2021-08-27 23:59:59,130.78781067569184,w
2021-08-30 00:00:00,130.05513079854785,
2021-08-30 10:00:00,136.18834194263277,
2021-08-30 10:30:00,131.1574193071059,
2021-08-30 12:00:00,130.0569500813329,
2021-08-30 13:30:00,125.37678418337113,
2021-08-30 15:00:00,122.11974847541072,
2021-08-30 15:30:30,122.11974847541072,
2021-08-30 23:59:59,99.11180959873776,c
2021-08-31 00:00:00,84.65060103284286,
2021-08-31 10:00:00,107.43818712037208,
2021-08-31 10:30:00,88.82616033689601,
2021-08-31 12:00:00,112.45445746376919,
2021-08-31 13:30:00,115.73651316891217,
2021-08-31 15:00:00,99.51861848796689,
2021-08-31 15:30:30,99.51861848796689,
2021-08-31 23:59:59,99.44359662361924,e
2021-09-01 00:00:00,79.69047010846276,
2021-09-01 10:00:00,42.20731068390678,
2021-09-01 10:30:00,40.75799780719912,
2021-09-01 12:00:00,38.14121779442457,
2021-09-01 13:30:00,47.99704345642106,
2021-09-01 15:00:00,45.77422026606365,
2021-09-01 15:30:30,45.77422026606365,
