date,AMLP_2021_Q2,meta
2021-07-02 00:00:00,47.41208679406009,
2021-07-02 10:00:00,78.20706337329398,
2021-07-02 10:30:00,80.87397123055689,
2021-07-02 12:00:00,93.3587403628087,
2021-07-02 13:30:00,84.18532804870551,
2021-07-02 15:00:00,85.34152881778232,
2021-07-02 15:30:30,85.34152881778232,
2021-07-02 23:59:59,99.36856562635467,w
2021-07-05 00:00:00,99.36856562635467,
2021-07-05 10:00:00,99.36856562635467,
2021-07-05 10:30:00,99.36856562635467,
2021-07-05 12:00:00,99.36856562635467,
2021-07-05 13:30:00,99.36856562635467,
2021-07-05 15:00:00,99.36856562635467,
2021-07-05 15:30:30,99.36856562635467,
2021-07-05 23:59:59,99.36856562635467,c
2021-07-06 00:00:00,103.93507085718193,
2021-07-06 10:00:00,153.39142291072721,
2021-07-06 10:30:00,148.3380181202458,
2021-07-06 12:00:00,154.4322070707326,
2021-07-06 13:30:00,167.0227037515724,
2021-07-06 15:00:00,156.21008288220833,
2021-07-06 15:30:30,156.21008288220833,
2021-07-06 23:59:59,148.61743499582394,c
2021-07-07 00:00:00,149.5430855240229,
2021-07-07 10:00:00,141.4924107851923,
2021-07-07 10:30:00,182.31971327828205,
2021-07-07 12:00:00,172.5033672095285,
2021-07-07 13:30:00,152.60456630528847,
2021-07-07 15:00:00,151.73526958275465,
2021-07-07 15:30:30,151.73526958275465,
2021-07-07 23:59:59,147.68804976241427,c
2021-07-08 00:00:00,204.532622093908,
2021-07-08 10:00:00,193.19052091982053,
2021-07-08 10:30:00,170.9435863527401,
2021-07-08 12:00:00,164.35214790608575,
2021-07-08 13:30:00,185.84348782503912,
2021-07-08 15:00:00,184.61239627494865,
2021-07-08 15:30:30,184.61239627494865,
2021-07-08 23:59:59,172.2586399544905,c
2021-07-09 00:00:00,176.15509873670794,
2021-07-09 10:00:00,158.99290833927807,
2021-07-09 10:30:00,145.1820965269826,
2021-07-09 12:00:00,145.09331750981255,
2021-07-09 13:30:00,113.37792306167785,
2021-07-09 15:00:00,136.74849337150886,
2021-07-09 15:30:30,136.74849337150886,
2021-07-09 23:59:59,132.4822349022968,w
