date,AS_MSCI_FACTOR_2022_Q4,meta
2022-11-04 20:00:00,139.9973102452509,
2022-11-04 23:00:00,139.9973102452509,
2022-11-04 23:59:59,141.88996435678382,w
2022-11-07 00:00:00,59.170429471378384,
2022-11-07 01:00:00,67.74273878401823,
2022-11-07 02:30:00,61.37597599071273,
2022-11-07 03:00:00,69.91167425124036,
2022-11-07 18:30:00,85.9200458629748,
2022-11-07 20:00:00,67.1680682917513,
2022-11-07 23:00:00,42.43537925435271,
2022-11-07 23:59:59,45.06131815851609,c
2022-11-08 00:00:00,35.90497061580868,
2022-11-08 01:00:00,50.062869654623455,
2022-11-08 02:30:00,46.37462326130617,
2022-11-08 03:00:00,44.24845218640894,
2022-11-08 18:30:00,44.36126052301529,
2022-11-08 20:00:00,73.24858984580419,
2022-11-08 23:00:00,47.293112753163996,
