date,EU_MSCI_EM_STAY_2021_Q4,meta
2021-11-17 10:30:00,16.054938821987434,
2021-11-17 11:00:00,15.797315612618718,
2021-11-17 23:59:59,17.89507994795514,c
2021-11-18 00:00:00,22.75797263753236,
2021-11-18 03:30:00,31.104569056696505,
2021-11-18 04:00:00,39.8713033767483,
2021-11-18 06:00:00,46.583466511013114,
2021-11-18 08:00:00,55.782145974000116,
2021-11-18 10:30:00,54.255925190745415,
2021-11-18 11:00:00,54.21383793379351,
2021-11-18 23:59:59,44.6204165213681,c
2021-11-19 00:00:00,43.33519935042494,
2021-11-19 03:30:00,47.004124217394406,
2021-11-19 04:00:00,52.83663688494721,
2021-11-19 06:00:00,75.63013427397874,
2021-11-19 08:00:00,86.80139148069958,
2021-11-19 10:30:00,77.9586788576836,
2021-11-19 11:00:00,77.81086589179245,
2021-11-19 23:59:59,67.76054566958044,w
2021-11-22 00:00:00,95.58787235969976,
2021-11-22 03:30:00,100.05113631426872,
2021-11-22 04:00:00,113.07275557555516,
2021-11-22 06:00:00,115.93560171966624,
2021-11-22 08:00:00,133.4745419723639,
2021-11-22 10:30:00,138.48175874458445,
2021-11-22 11:00:00,141.10266063172395,
2021-11-22 23:59:59,133.51177293460347,c
2021-11-23 00:00:00,139.92514453686618,
2021-11-23 03:30:00,133.9218518682818,
2021-11-23 04:00:00,147.06683554452678,
2021-11-23 06:00:00,140.30347356436727,
2021-11-23 08:00:00,132.80824090635537,
2021-11-23 10:30:00,115.14000713946643,
2021-11-23 11:00:00,115.75486317807497,
2021-11-23 23:59:59,117.36961104776333,c
2021-11-24 00:00:00,104.62748025371747,
2021-11-24 03:30:00,104.92780915039219,
2021-11-24 04:00:00,100.45620306785975,
2021-11-24 06:00:00,116.25327320205457,
2021-11-24 08:00:00,116.99335303718237,
2021-11-24 10:30:00,125.85213482699595,
2021-11-24 11:00:00,125.6178435281538,
2021-11-24 23:59:59,119.74607491628575,c
2021-11-25 00:00:00,118.1133941647193,
2021-11-25 03:30:00,102.6825065259635,
2021-11-25 04:00:00,102.0193307337197,
2021-11-25 06:00:00,112.8003970208253,
2021-11-25 08:00:00,129.3772980747463,
2021-11-25 10:30:00,128.71725255396535,
2021-11-25 11:00:00,127.80802102109885,
2021-11-25 23:59:59,129.18055445199417,c
2021-11-26 00:00:00,158.04210510053093,
2021-11-26 03:30:00,179.4086455269786,
2021-11-26 04:00:00,170.97688651889592,
2021-11-26 06:00:00,170.73727029293843,
2021-11-26 08:00:00,169.98639673091884,
2021-11-26 10:30:00,187.96784726225627,
2021-11-26 11:00:00,187.83897045027476,
2021-11-26 23:59:59,185.66414299936883,w
2021-11-29 00:00:00,206.51765866235388,
2021-11-29 03:30:00,212.9930645085322,
2021-11-29 04:00:00,210.80566834307268,
2021-11-29 06:00:00,207.81045799970974,
2021-11-29 08:00:00,207.90718342263602,
2021-11-29 10:30:00,211.39789823432733,
