date,AS_NAREIT_2022_Q1,meta
2022-03-17 23:59:59,-12.61509666144002,c
2022-03-18 00:00:00,-12.600808992268867,
2022-03-18 01:00:00,-12.06305316001044,
2022-03-18 02:30:00,-31.906837078399803,
2022-03-18 03:00:00,-26.717411406026258,
2022-03-18 18:30:00,-26.717411406026258,
2022-03-18 20:00:00,-26.717411406026258,
2022-03-18 23:00:00,-26.717411406026258,
2022-03-18 23:59:59,-28.347711058240293,e
2022-03-21 00:00:00,-31.205032079066314,
2022-03-21 01:00:00,-28.65112337182336,
2022-03-21 02:30:00,-39.15256555879296,
2022-03-21 03:00:00,-40.92341791373883,
2022-03-21 18:30:00,-40.48823607660188,
2022-03-21 20:00:00,-31.505292646077123,
2022-03-21 23:00:00,-3.608501163724668,
2022-03-21 23:59:59,-0.7222732987288509,c
2022-03-22 00:00:00,-6.149084298655453,
2022-03-22 01:00:00,-2.795495764374209,
2022-03-22 02:30:00,-11.433226299598573,
2022-03-22 03:00:00,-13.852254364413056,
2022-03-22 18:30:00,-18.612808293270064,
2022-03-22 20:00:00,-29.055645517938046,
2022-03-22 23:00:00,-1.1788911100024961,
2022-03-22 23:59:59,9.818015658537206,c
2022-03-23 00:00:00,8.370531284233948,
2022-03-23 01:00:00,7.784789903932051,
2022-03-23 02:30:00,1.6042828550230297,
2022-03-23 03:00:00,3.0109355288127517,
2022-03-23 18:30:00,13.105896880472983,
2022-03-23 20:00:00,17.524206470312492,
2022-03-23 23:00:00,5.826101562266103,
2022-03-23 23:59:59,-0.46130668360956406,c
2022-03-24 00:00:00,-10.946888895414759,
2022-03-24 01:00:00,-9.207816442491094,
2022-03-24 02:30:00,-38.183328877608346,
2022-03-24 03:00:00,-41.27145768909713,
2022-03-24 18:30:00,-47.451526801546606,
2022-03-24 20:00:00,-47.380714554074075,
2022-03-24 23:00:00,-96.6406765441443,
2022-03-24 23:59:59,-87.9588528491795,c
2022-03-25 00:00:00,-81.41402154593243,
2022-03-25 01:00:00,-78.02434484807463,
2022-03-25 02:30:00,-72.3011038057225,
2022-03-25 03:00:00,-73.43343786507921,
2022-03-25 18:30:00,-73.43343786507921,
2022-03-25 20:00:00,-73.43343786507921,
2022-03-25 23:00:00,-73.43343786507921,
2022-03-25 23:59:59,-70.49529714201071,w
