date,CRSP_AD_HEDGED_2021_Q4,meta
2021-12-02 00:00:00,52.418999365003984,
2021-12-02 10:00:00,15.326093469040828,
2021-12-02 10:30:00,20.700578542334014,
2021-12-02 12:00:00,13.426080369102479,
2021-12-02 13:30:00,22.87786255269357,
2021-12-02 15:00:00,26.889733644878504,
2021-12-02 15:30:30,26.889733644878504,
2021-12-02 23:59:59,51.298411867520585,c
2021-12-03 00:00:00,53.28843240653053,
2021-12-03 10:00:00,35.287015607044836,
2021-12-03 10:30:00,17.663118110641975,
2021-12-03 12:00:00,-3.5597323702774446,
2021-12-03 13:30:00,-1.16243370440867,
2021-12-03 15:00:00,2.3170210477278914,
2021-12-03 15:30:30,2.3170210477278914,s
2021-12-03 23:59:59,0.0,a
2021-12-06 00:00:00,6.101229475255636,
2021-12-06 10:00:00,118.6456615139128,
2021-12-06 10:30:00,122.22276393435969,
2021-12-06 12:00:00,153.08652889134567,
2021-12-06 13:30:00,175.1315629714922,
2021-12-06 15:00:00,188.63679210581222,
2021-12-06 15:30:30,188.63679210581222,
2021-12-06 23:59:59,175.45144104272185,c
2021-12-07 00:00:00,179.08334435767114,
2021-12-07 10:00:00,199.6819495222946,
2021-12-07 10:30:00,191.9476327617475,
2021-12-07 12:00:00,199.6352216049433,
2021-12-07 13:30:00,205.10807359852237,
2021-12-07 15:00:00,186.9344330041951,
2021-12-07 15:30:30,186.9344330041951,
2021-12-07 23:59:59,184.40000139746337,c
2021-12-08 00:00:00,194.5928643822552,
2021-12-08 10:00:00,205.46030357887486,
2021-12-08 10:30:00,213.27739672138784,
2021-12-08 12:00:00,226.75914048992053,
2021-12-08 13:30:00,214.5139360810748,
2021-12-08 15:00:00,219.33049951052726,
2021-12-08 15:30:30,219.33049951052726,
2021-12-08 23:59:59,211.61991867615149,c
2021-12-09 00:00:00,208.82445858415934,
2021-12-09 10:00:00,252.8302863685908,
2021-12-09 10:30:00,245.81881234440237,
2021-12-09 12:00:00,267.43284563435776,
2021-12-09 13:30:00,234.28014361889404,
2021-12-09 15:00:00,201.9629642179815,
