date,SP46_AD_2022_Q3,meta
2022-09-06 15:00:00,279.148678005447,
2022-09-06 15:30:30,279.148678005447,
2022-09-06 23:59:59,268.50543858827723,c
2022-09-07 00:00:00,273.1218243017015,
2022-09-07 10:00:00,266.87680238067014,
2022-09-07 10:30:00,266.1211933284899,
2022-09-07 12:00:00,310.7839913745911,
2022-09-07 13:30:00,351.65972029972636,
2022-09-07 15:00:00,362.1365705037838,
2022-09-07 15:30:30,362.1365705037838,
2022-09-07 23:59:59,330.1674476982248,c
2022-09-08 00:00:00,349.88230293523475,
2022-09-08 10:00:00,375.0182364371308,
2022-09-08 10:30:00,375.0315543164179,
2022-09-08 12:00:00,381.62970186021903,
2022-09-08 13:30:00,386.5930081633337,
2022-09-08 15:00:00,384.71133923389925,
2022-09-08 15:30:30,384.71133923389925,
2022-09-08 23:59:59,390.5886942438856,c
2022-09-09 00:00:00,390.8639337719728,
2022-09-09 10:00:00,419.76645552545824,
2022-09-09 10:30:00,418.11727618506893,
2022-09-09 12:00:00,385.7451814411629,
2022-09-09 13:30:00,415.80646535588767,
2022-09-09 15:00:00,414.69438526712065,
2022-09-09 15:30:30,414.69438526712065,
2022-09-09 23:59:59,410.2621181847803,w
2022-09-12 00:00:00,389.12568358596445,
2022-09-12 10:00:00,444.50456683386074,
2022-09-12 10:30:00,419.64479995602824,
2022-09-12 12:00:00,383.1742498727076,
2022-09-12 13:30:00,395.5522820310284,
2022-09-12 15:00:00,401.2397933196821,
2022-09-12 15:30:30,401.2397933196821,
2022-09-12 23:59:59,408.79316416905795,c
2022-09-13 00:00:00,310.1945309871485,
2022-09-13 10:00:00,328.91562869411746,
2022-09-13 10:30:00,328.3078219954541,
2022-09-13 12:00:00,305.03593422237964,
2022-09-13 13:30:00,309.5856193875625,
2022-09-13 15:00:00,314.62221524285087,
2022-09-13 15:30:30,314.62221524285087,
2022-09-13 23:59:59,320.62090441375176,c
2022-09-14 00:00:00,322.067164238068,
2022-09-14 10:00:00,316.10370953195843,
2022-09-14 10:30:00,323.1178929853072,
2022-09-14 12:00:00,309.81533616736533,
2022-09-14 13:30:00,316.85052096375193,
2022-09-14 15:00:00,317.93283649326986,
2022-09-14 15:30:30,317.93283649326986,
2022-09-14 23:59:59,357.62254868855416,c
2022-09-15 00:00:00,321.3145974079948,
2022-09-15 10:00:00,448.91791240261136,
2022-09-15 10:30:00,373.3876366632967,
2022-09-15 12:00:00,295.7691751382108,
2022-09-15 13:30:00,289.42057570849465,
2022-09-15 15:00:00,202.6160550204454,
2022-09-15 15:30:30,202.6160550204454,
2022-09-15 23:59:59,161.15584104393747,c
2022-09-16 00:00:00,114.62557701671085,
2022-09-16 10:00:00,47.03727224822683,
2022-09-16 10:30:00,40.51481328550199,
2022-09-16 12:00:00,72.1801027534209,
2022-09-16 13:30:00,74.6453640868881,
2022-09-16 15:00:00,32.628931187924536,
2022-09-16 15:30:30,32.628931187924536,
2022-09-16 23:59:59,49.14494066967859,e
2022-09-19 00:00:00,26.18333039313484,
2022-09-19 10:00:00,95.57918571410391,
2022-09-19 10:30:00,65.00866283519917,
2022-09-19 12:00:00,72.57127305076801,
2022-09-19 13:30:00,63.19878713716389,
2022-09-19 15:00:00,36.429494715212286,
2022-09-19 15:30:30,36.429494715212286,
2022-09-19 23:59:59,57.383390543019004,c
2022-09-20 00:00:00,34.84602528776509,
2022-09-20 10:00:00,56.59996234422147,
2022-09-20 10:30:00,62.393057936808646,
2022-09-20 12:00:00,57.47961728249652,
2022-09-20 13:30:00,37.58292143679614,
2022-09-20 15:00:00,50.33984461016735,
2022-09-20 15:30:30,50.33984461016735,
2022-09-20 23:59:59,66.88320421148728,c
2022-09-21 00:00:00,85.01440705682808,
2022-09-21 10:00:00,45.8383732764521,
2022-09-21 10:30:00,40.886489025815536,
