date,SPHB_2022_Q2,meta
2022-05-30 00:00:00,-187.86718720547634,
2022-05-30 10:00:00,-187.86718720547634,
2022-05-30 10:30:00,-187.86718720547634,
2022-05-30 12:00:00,-187.86718720547634,
2022-05-30 13:30:00,-187.86718720547634,
2022-05-30 15:00:00,-187.86718720547634,
2022-05-30 15:30:30,-187.86718720547634,
2022-05-30 23:59:59,-187.86718720547634,c
2022-05-31 00:00:00,-229.88588857515856,
2022-05-31 10:00:00,-217.8018808379651,
2022-05-31 10:30:00,-208.12514961146704,
2022-05-31 12:00:00,-184.81937938133203,
2022-05-31 13:30:00,-184.53408152449535,
2022-05-31 15:00:00,-135.10337474580405,
2022-05-31 15:30:30,-135.10337474580405,m
2022-05-31 23:59:59,-136.3658606943943,c
2022-06-01 00:00:00,-121.93048803880062,
2022-06-01 10:00:00,-138.90909480399307,
2022-06-01 10:30:00,-150.86028703602346,
2022-06-01 12:00:00,-155.64218382363487,
2022-06-01 13:30:00,-176.70577963682493,
2022-06-01 15:00:00,-163.68402213198544,
2022-06-01 15:30:30,-163.68402213198544,
2022-06-01 23:59:59,-167.58492984426204,c
2022-06-02 00:00:00,-154.80381171909335,
2022-06-02 10:00:00,-139.89105450779402,
2022-06-02 10:30:00,-142.3367463188814,
2022-06-02 12:00:00,-145.32233767740365,
2022-06-02 13:30:00,-102.3841019201152,
2022-06-02 15:00:00,-77.87423176025167,
2022-06-02 15:30:30,-77.87423176025167,
2022-06-02 23:59:59,-89.084799348741,c
2022-06-03 00:00:00,-129.88171090664247,
2022-06-03 10:00:00,-140.80203066143608,
2022-06-03 10:30:00,-149.68162764150185,
2022-06-03 12:00:00,-149.78431736146487,
2022-06-03 13:30:00,-149.77821826500133,
2022-06-03 15:00:00,-165.57746171467875,
2022-06-03 15:30:30,-165.57746171467875,
2022-06-03 23:59:59,-167.27878240385112,w
