date,AS_MSCI_DM_SC_2022_Q2,meta
2022-05-09 20:00:00,6.414278536762026,
2022-05-09 23:00:00,17.359526967734382,
2022-05-09 23:59:59,2.954806818690713,c
2022-05-10 00:00:00,-30.14237009279509,
2022-05-10 01:00:00,-38.4261691569601,
2022-05-10 02:30:00,-44.18964777622466,
2022-05-10 03:00:00,-45.24458725562852,
2022-05-10 18:30:00,-47.40642652896088,
2022-05-10 20:00:00,-47.513678923933185,
2022-05-10 23:00:00,-41.32299116615991,
2022-05-10 23:59:59,-26.304822570497322,c
2022-05-11 00:00:00,-30.366714248764538,
2022-05-11 01:00:00,-26.472665720754094,
2022-05-11 02:30:00,-38.783622908761686,
2022-05-11 03:00:00,-40.73426310865784,
2022-05-11 18:30:00,-33.89554594828428,
2022-05-11 20:00:00,-34.081674398300265,
2022-05-11 23:00:00,3.1367444492912,
2022-05-11 23:59:59,8.8190094696389,c
2022-05-12 00:00:00,0.8328853997785473,
2022-05-12 01:00:00,5.944167237243278,
2022-05-12 02:30:00,-5.493388857611535,
2022-05-12 03:00:00,-7.338863215261426,
2022-05-12 18:30:00,-11.520203351552937,
2022-05-12 20:00:00,-11.506888582244756,
2022-05-12 23:00:00,-2.119748276146197,
2022-05-12 23:59:59,0.0,a
2022-05-13 00:00:00,33.02786208301268,
2022-05-13 01:00:00,35.5401710427318,
2022-05-13 02:30:00,37.5579355448009,
2022-05-13 03:00:00,38.768029899803196,
2022-05-13 18:30:00,38.768029899803196,
2022-05-13 20:00:00,38.768029899803196,
2022-05-13 23:00:00,38.768029899803196,
2022-05-13 23:59:59,46.161830714452094,w
2022-05-16 00:00:00,98.45383800864056,
2022-05-16 01:00:00,99.48755882210503,
2022-05-16 02:30:00,98.33621383039326,
2022-05-16 03:00:00,99.81028035573843,
2022-05-16 18:30:00,95.56336500306475,
2022-05-16 20:00:00,95.91094642701216,
2022-05-16 23:00:00,134.0979441983718,
2022-05-16 23:59:59,133.62471995871533,c
2022-05-17 00:00:00,139.35489682727666,
2022-05-17 01:00:00,139.49029979278566,
2022-05-17 02:30:00,137.29603188284932,
2022-05-17 03:00:00,137.34099503830282,
2022-05-17 18:30:00,139.97354687680865,
2022-05-17 20:00:00,140.2457884316642,
2022-05-17 23:00:00,127.64438434817737,
2022-05-17 23:59:59,125.88628922411624,c
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
0,125.88628922411624,
2022-05-18 00:00:00,138.4751574718009,
2022-05-18 01:00:00,141.56536307641545,
2022-05-18 02:30:00,132.76465205973534,
2022-05-18 03:00:00,129.19805546022064,
2022-05-18 18:30:00,132.19142692845594,
2022-05-18 20:00:00,132.26957481067836,
2022-05-18 23:00:00,157.4321537452172,
2022-05-18 23:59:59,165.7479092583137,c
2022-05-19 00:00:00,148.86589432007452,
2022-05-19 01:00:00,153.78354171848662,
2022-05-19 02:30:00,134.74441051030487,
2022-05-19 03:00:00,135.43348262866346,
2022-05-19 18:30:00,136.54552972276622,
2022-05-19 20:00:00,135.98896276181415,
2022-05-19 23:00:00,166.69984681974643,
2022-05-19 23:59:59,185.5225805161689,c
2022-05-20 00:00:00,204.11142820165264,
2022-05-20 01:00:00,201.84046094726136,
2022-05-20 02:30:00,188.2980593130436,
2022-05-20 03:00:00,186.73927253001102,
2022-05-20 18:30:00,186.73927253001102,
2022-05-20 20:00:00,186.73927253001102,
2022-05-20 23:00:00,186.73927253001102,
2022-05-20 23:59:59,185.5008917099076,w
2022-05-23 00:00:00,197.7281413440736,
2022-05-23 01:00:00,192.9405348952164,
2022-05-23 02:30:00,174.77195001051234,
2022-05-23 03:00:00,175.12654634878675,
2022-05-23 18:30:00,174.92559327474441,
2022-05-23 20:00:00,174.8043783486131,
2022-05-23 23:00:00,200.0653097973326,
2022-05-23 23:59:59,200.47150396636027,c
2022-05-24 00:00:00,210.65107651626158,
2022-05-24 01:00:00,206.8536270395208,
2022-05-24 02:30:00,188.06919017120833,
2022-05-24 03:00:00,181.90813270943,
2022-05-24 18:30:00,181.63461591831856,
2022-05-24 20:00:00,182.11761432929688,
2022-05-24 23:00:00,165.32362686833073,
2022-05-24 23:59:59,144.30779460115912,c
2022-05-25 00:00:00,156.2325421582235,
2022-05-25 01:00:00,153.735804728551,
2022-05-25 02:30:00,162.0480530652203,
2022-05-25 03:00:00,159.1683083893589,
2022-05-25 18:30:00,151.56086638175702,
2022-05-25 20:00:00,151.19310864748047,
2022-05-25 23:00:00,164.52970426692343,
2022-05-25 23:59:59,169.52590885746315,c
2022-05-26 00:00:00,176.72559716704393,
2022-05-26 01:00:00,171.95950905467453,
2022-05-26 02:30:00,176.83536380747591,
2022-05-26 03:00:00,178.54740274444987,
2022-05-26 18:30:00,180.31034477062087,
2022-05-26 20:00:00,180.74409383018144,
2022-05-26 23:00:00,169.77988570728724,
2022-05-26 23:59:59,158.9879765906262,c
2022-05-27 00:00:00,155.96633994480123,
2022-05-27 01:00:00,143.22766418130277,
2022-05-27 02:30:00,131.5837024834932,
2022-05-27 03:00:00,134.334240409323,
2022-05-27 18:30:00,134.334240409323,
2022-05-27 20:00:00,134.334240409323,
2022-05-27 23:00:00,134.334240409323,
2022-05-27 23:59:59,138.88471795958253,w
2022-05-30 00:00:00,145.19944740201902,
2022-05-30 01:00:00,139.78673060803567,
2022-05-30 02:30:00,130.57059943268177,
2022-05-30 03:00:00,130.03442689131327,
2022-05-30 18:30:00,127.13183284922798,
2022-05-30 20:00:00,126.92572626083245,
2022-05-30 23:00:00,180.60187120247326,
2022-05-30 23:59:59,195.96734815428545,c
2022-05-31 00:00:00,192.57724686633878,
2022-05-31 01:00:00,182.65881026967395,
2022-05-31 02:30:00,135.84195836538777,
2022-05-31 03:00:00,136.7191460066697,
2022-05-31 18:30:00,131.0395078604255,
2022-05-31 20:00:00,131.47834317645857,
2022-05-31 23:00:00,23.733495868221098,
2022-05-31 23:59:59,9.311465987790939,e
2022-06-01 00:00:00,2.8203031843094095,
2022-06-01 01:00:00,13.692590831955044,
2022-06-01 02:30:00,-5.69928173692233,
2022-06-01 03:00:00,-5.465668968847126,
2022-06-01 18:30:00,-7.255958822065168,
2022-06-01 20:00:00,-7.268461249251686,
2022-06-01 23:00:00,-19.185363568773823,
2022-06-01 23:59:59,-23.61282926048898,c
2022-06-02 00:00:00,-18.64566344807986,
2022-06-02 01:00:00,-14.992978820035887,
2022-06-02 02:30:00,-26.128895589526564,
2022-06-02 03:00:00,-26.881524217665742,
2022-06-02 18:30:00,-26.881524217665742,
2022-06-02 20:00:00,-26.881524217665742,
2022-06-02 23:00:00,-26.881524217665742,
2022-06-02 23:59:59,-27.19943662554931,c
2022-06-03 00:00:00,-27.19943662554931,
2022-06-03 01:00:00,-27.19943662554931,
2022-06-03 02:30:00,-27.19943662554931,
2022-06-03 03:00:00,-27.19943662554931,
2022-06-03 18:30:00,-27.19943662554931,
2022-06-03 20:00:00,-27.19943662554931,
2022-06-03 23:00:00,-27.19943662554931,
2022-06-03 23:59:59,-27.19943662554931,w
2022-06-06 00:00:00,-51.47312745482236,
2022-06-06 01:00:00,-53.49447224220967,
2022-06-06 02:30:00,-55.49963460136473,
2022-06-06 03:00:00,-54.13382604493211,
2022-06-06 18:30:00,-52.122672427317184,
2022-06-06 20:00:00,-52.0998597442275,
2022-06-06 23:00:00,-49.31870377596431,
2022-06-06 23:59:59,-61.6754507193466,c
2022-06-07 00:00:00,-62.789828179060464,
2022-06-07 01:00:00,-68.14919376465912,
2022-06-07 02:30:00,-70.31454711001095,
2022-06-07 03:00:00,-69.30831518831417,
2022-06-07 18:30:00,-68.52556695220983,
2022-06-07 20:00:00,-68.27699372459153,
2022-06-07 23:00:00,-107.96933650063693,
2022-06-07 23:59:59,-108.28356990029863,c
2022-06-08 00:00:00,-104.93721328696995,
2022-06-08 01:00:00,-106.52135967204356,
2022-06-08 02:30:00,-103.25337175596917,
2022-06-08 03:00:00,-104.6783656759219,
2022-06-08 18:30:00,-105.75492615211192,
2022-06-08 20:00:00,-105.99782067807496,
2022-06-08 23:00:00,-128.18409977157592,
2022-06-08 23:59:59,-138.63945192937456,c
2022-06-09 00:00:00,-136.12952164075887,
2022-06-09 01:00:00,-135.8768797599588,
2022-06-09 02:30:00,-135.99770423023654,
2022-06-09 03:00:00,-134.45013825810088,
2022-06-09 18:30:00,-137.21440481022012,
2022-06-09 20:00:00,-137.61090447147012,
2022-06-09 23:00:00,-161.61165277638986,
2022-06-09 23:59:59,-147.5012871856827,c
2022-06-10 00:00:00,-147.9556348051907,
2022-06-10 01:00:00,-135.93216000286327,
2022-06-10 02:30:00,-179.31046146733036,
2022-06-10 03:00:00,-178.59801625043372,
2022-06-10 18:30:00,-178.59801625043372,
2022-06-10 20:00:00,-178.59801625043372,
2022-06-10 23:00:00,-178.59801625043372,
2022-06-10 23:59:59,-169.17334363660223,w
2022-06-13 00:00:00,-173.29102028258228,
2022-06-13 01:00:00,-170.75793804141722,
2022-06-13 02:30:00,-177.33758454762233,
2022-06-13 03:00:00,-177.33206039220158,
2022-06-13 18:30:00,-178.06953897002006,
2022-06-13 20:00:00,-178.37613551089703,
2022-06-13 23:00:00,-174.01033950549675,
