date,MOAT_HEDGED_2022_Q2,meta
2022-06-23 15:00:00,-26.06869062507559,
2022-06-23 15:30:30,-26.06869062507559,
2022-06-23 23:59:59,-22.664044782235237,c
2022-06-24 00:00:00,-16.48860411430769,
2022-06-24 10:00:00,9.469977579196382,
2022-06-24 10:30:00,21.321553235831175,
2022-06-24 12:00:00,19.740907930822345,
2022-06-24 13:30:00,18.728544483781604,
2022-06-24 15:00:00,11.958571196812727,
2022-06-24 15:30:30,11.958571196812727,
2022-06-24 23:59:59,20.78673354486699,w
2022-06-27 00:00:00,19.474513422972393,
2022-06-27 10:00:00,-20.054100747754944,
2022-06-27 10:30:00,-20.68201685764558,
2022-06-27 12:00:00,-19.65031723789508,
2022-06-27 13:30:00,-22.975364626653345,
2022-06-27 15:00:00,-28.45525582206386,
2022-06-27 15:30:30,-28.45525582206386,
2022-06-27 23:59:59,-30.107209243112607,c
2022-06-28 00:00:00,-57.02993101164117,
2022-06-28 10:00:00,-55.87328639478369,
2022-06-28 10:30:00,-53.219143286674694,
2022-06-28 12:00:00,-63.047330896700316,
2022-06-28 13:30:00,-49.82633134654998,
2022-06-28 15:00:00,-59.31937832001307,
2022-06-28 15:30:30,-59.31937832001307,
2022-06-28 23:59:59,-73.98136037111436,c
2022-06-29 00:00:00,-74.97841745574686,
2022-06-29 10:00:00,-78.79971426009041,
2022-06-29 10:30:00,-68.17263145857873,
2022-06-29 12:00:00,-70.17810130980962,
2022-06-29 13:30:00,-78.74569247184803,
2022-06-29 15:00:00,-80.73201316906471,
2022-06-29 15:30:30,-80.73201316906471,
2022-06-29 23:59:59,-68.47752208896276,c
2022-06-30 00:00:00,-71.90244220809177,
2022-06-30 10:00:00,-101.27124545835403,
2022-06-30 10:30:00,-94.8535308324897,
2022-06-30 12:00:00,-73.83213396972451,
2022-06-30 13:30:00,-75.0984045442903,
2022-06-30 15:00:00,-62.0321903492474,
2022-06-30 15:30:30,-62.0321903492474,
2022-06-30 23:59:59,-73.77061133404356,c
2022-07-01 00:00:00,-71.75957718779352,
2022-07-01 10:00:00,-44.193516699121744,
2022-07-01 10:30:00,-52.204913307463414,
2022-07-01 12:00:00,-26.65207668762656,
2022-07-01 13:30:00,-33.8270197269087,
2022-07-01 15:00:00,-39.185133905755606,
2022-07-01 15:30:30,-39.185133905755606,
2022-07-01 23:59:59,-40.251641180938975,w
2022-07-04 00:00:00,-40.251641180938975,
2022-07-04 10:00:00,-40.251641180938975,
2022-07-04 10:30:00,-40.251641180938975,
2022-07-04 12:00:00,-40.251641180938975,
2022-07-04 13:30:00,-40.251641180938975,
2022-07-04 15:00:00,-40.251641180938975,
2022-07-04 15:30:30,-40.251641180938975,
2022-07-04 23:59:59,-40.251641180938975,c
2022-07-05 00:00:00,-57.27233976788972,
2022-07-05 10:00:00,-22.4221595913815,
2022-07-05 10:30:00,-15.695597455560005,
2022-07-05 12:00:00,13.634697386290043,
2022-07-05 13:30:00,35.23260964055709,
2022-07-05 15:00:00,27.831704003818174,
2022-07-05 15:30:30,27.831704003818174,
2022-07-05 23:59:59,29.462902094019853,c
2022-07-06 00:00:00,38.24255835514731,
2022-07-06 10:00:00,49.71648211851493,
2022-07-06 10:30:00,35.60926766225077,
2022-07-06 12:00:00,55.9808951511701,
2022-07-06 13:30:00,60.92093518798549,
2022-07-06 15:00:00,58.852434385117135,
2022-07-06 15:30:30,58.852434385117135,
2022-07-06 23:59:59,64.30397382486535,c
2022-07-07 00:00:00,84.61649190221198,
2022-07-07 10:00:00,65.70404721153278,
2022-07-07 10:30:00,62.19762388025356,
2022-07-07 12:00:00,61.312250601313224,
2022-07-07 13:30:00,52.449506888396115,
2022-07-07 15:00:00,60.35611529919083,
2022-07-07 15:30:30,60.35611529919083,
2022-07-07 23:59:59,65.54125307212638,c
2022-07-08 00:00:00,51.13634710196328,
2022-07-08 10:00:00,32.69944888369781,
2022-07-08 10:30:00,36.592760186659916,
2022-07-08 12:00:00,48.77961504855358,
2022-07-08 13:30:00,47.508972884101695,
2022-07-08 15:00:00,59.27295196541746,
2022-07-08 15:30:30,59.27295196541746,
2022-07-08 23:59:59,62.49015166979211,w
