date,CAD_BBCA_2022_Q3,meta
2022-09-22 15:00:00,-121.43158998040334,
2022-09-22 15:30:30,-121.43158998040334,
2022-09-22 23:59:59,-106.92337783347983,c
2022-09-23 00:00:00,-109.30824408353055,
2022-09-23 10:00:00,-117.14869522312972,
2022-09-23 10:30:00,-114.07827992216357,
2022-09-23 12:00:00,-97.92683021324106,
2022-09-23 13:30:00,-97.39255970123662,
2022-09-23 15:00:00,-105.07255985383856,
2022-09-23 15:30:30,-105.07255985383856,
2022-09-23 23:59:59,-91.36857824724495,w
2022-09-26 00:00:00,-94.85560254953808,
2022-09-26 10:00:00,-118.9302966340365,
2022-09-26 10:30:00,-128.4765432407804,
2022-09-26 12:00:00,-133.14843360322644,
2022-09-26 13:30:00,-153.68503624082587,
2022-09-26 15:00:00,-165.82035778044659,
2022-09-26 15:30:30,-165.82035778044659,
2022-09-26 23:59:59,-158.82202612329007,c
2022-09-27 00:00:00,-164.99510093711916,
2022-09-27 10:00:00,-196.5293293033847,
2022-09-27 10:30:00,-202.82450423978634,
2022-09-27 12:00:00,-210.10436187861222,
2022-09-27 13:30:00,-229.23236169942084,
2022-09-27 15:00:00,-235.89134803936219,
2022-09-27 15:30:30,-235.89134803936219,
2022-09-27 23:59:59,-251.00900789551787,c
2022-09-28 00:00:00,-238.3522348008355,
2022-09-28 10:00:00,-241.89493652274757,
2022-09-28 10:30:00,-215.30182223816274,
2022-09-28 12:00:00,-183.67787343202215,
2022-09-28 13:30:00,-179.98372425068007,
2022-09-28 15:00:00,-171.53101646506065,
2022-09-28 15:30:30,-171.53101646506065,
2022-09-28 23:59:59,-164.65645016700782,c
2022-09-29 00:00:00,-164.65645016700782,
2022-09-29 10:00:00,-173.99789898177704,
2022-09-29 10:30:00,-180.6631534917622,
2022-09-29 12:00:00,-135.90772721147664,
2022-09-29 13:30:00,-154.60602454404477,
2022-09-29 15:00:00,-130.37110984513575,
2022-09-29 15:30:30,-130.37110984513575,
2022-09-29 23:59:59,-125.74071256559017,c
2022-09-30 00:00:00,-130.19928079332163,
2022-09-30 10:00:00,-144.89900082051255,
2022-09-30 10:30:00,-130.5922562626619,
2022-09-30 12:00:00,-130.10658340873465,
2022-09-30 13:30:00,-120.05203880863982,
2022-09-30 15:00:00,-132.31189961466364,
2022-09-30 15:30:30,-132.31189961466364,
2022-09-30 23:59:59,-117.90235837821282,w
