date,DW_2021_Q4,meta
2022-01-04 10:00:00,192.4950732118624,
2022-01-04 10:30:00,233.1378837855503,
2022-01-04 12:00:00,256.905508664023,
2022-01-04 13:30:00,271.56806813365955,
2022-01-04 15:00:00,273.1860822836643,
2022-01-04 15:30:30,273.1860822836643,
2022-01-04 23:59:59,243.79866718275986,c
2022-01-05 00:00:00,260.03696026698043,
2022-01-05 10:00:00,243.39975340427208,
2022-01-05 10:30:00,264.7133056135324,
2022-01-05 12:00:00,286.5577429133453,
2022-01-05 13:30:00,294.42095746609436,
2022-01-05 15:00:00,316.6937392182459,
2022-01-05 15:30:30,316.6937392182459,
2022-01-05 23:59:59,312.4837769692377,c
2022-01-06 00:00:00,318.4752414948504,
2022-01-06 10:00:00,334.5049568122006,
2022-01-06 10:30:00,322.9696821076118,
2022-01-06 12:00:00,283.1130690384807,
2022-01-06 13:30:00,306.49328147348234,
2022-01-06 15:00:00,305.43694820231786,
2022-01-06 15:30:30,305.43694820231786,
2022-01-06 23:59:59,315.2304687154599,c
2022-01-07 00:00:00,309.19608960550823,
2022-01-07 10:00:00,263.3301675242364,
2022-01-07 10:30:00,292.6571579313864,
2022-01-07 12:00:00,284.5358541773333,
2022-01-07 13:30:00,294.4686520189008,
2022-01-07 15:00:00,301.6134570666725,
2022-01-07 15:30:30,301.6134570666725,
2022-01-07 23:59:59,295.44334071185335,w
2022-01-10 00:00:00,311.1304739196974,
2022-01-10 10:00:00,337.9719166499429,
2022-01-10 10:30:00,329.7452949910993,
2022-01-10 12:00:00,308.8906698428276,
2022-01-10 13:30:00,315.87868480564936,
2022-01-10 15:00:00,301.9764192541331,
2022-01-10 15:30:30,301.9764192541331,
2022-01-10 23:59:59,280.92140289278836,c
2022-01-11 00:00:00,283.62757319301056,
2022-01-11 10:00:00,225.7323074817176,
2022-01-11 10:30:00,230.88455428234198,
2022-01-11 12:00:00,229.76895301526088,
2022-01-11 13:30:00,243.60770511897408,
2022-01-11 15:00:00,246.59292238791159,
2022-01-11 15:30:30,246.59292238791159,
2022-01-11 23:59:59,254.6991141895282,c
2022-01-12 00:00:00,246.00098139763924,
2022-01-12 10:00:00,258.1096874996104,
2022-01-12 10:30:00,283.688111367857,
2022-01-12 12:00:00,300.41792970411126,
2022-01-12 13:30:00,284.41966553387954,
2022-01-12 15:00:00,295.2097363192253,
2022-01-12 15:30:30,295.2097363192253,
2022-01-12 23:59:59,303.43274715397786,c
2022-01-13 00:00:00,314.41106733682426,
2022-01-13 10:00:00,336.5210597250717,
2022-01-13 10:30:00,361.35447159768614,
2022-01-13 12:00:00,368.19825055241824,
2022-01-13 13:30:00,379.0076047082993,
2022-01-13 15:00:00,378.18051991360596,
2022-01-13 15:30:30,378.18051991360596,
2022-01-13 23:59:59,397.73444520844316,c
2022-01-14 00:00:00,406.0801935441149,
2022-01-14 10:00:00,400.23782572182597,
2022-01-14 10:30:00,406.5973559376699,
2022-01-14 12:00:00,426.00631632176174,
2022-01-14 13:30:00,427.33968416040545,
2022-01-14 15:00:00,410.7946765792685,
2022-01-14 15:30:30,410.7946765792685,
2022-01-14 23:59:59,400.0418683658302,w
