date,EU_FTSE_DM_STAY_2022_Q4,meta
2022-11-10 08:00:00,9.69351638000424,
2022-11-10 10:30:00,-23.467112168597566,
2022-11-10 11:00:00,-21.624333586223713,
2022-11-10 23:59:59,-15.494277525905773,c
2022-11-11 00:00:00,-20.27909920907274,
2022-11-11 03:30:00,-42.078416602425875,
2022-11-11 04:00:00,-48.68221029437723,
2022-11-11 06:00:00,-66.89874067687936,
2022-11-11 08:00:00,-83.4948265180767,
2022-11-11 10:30:00,-94.65690482694788,
2022-11-11 11:00:00,-100.8701147696097,
2022-11-11 23:59:59,-81.15389798201699,w
2022-11-14 00:00:00,-78.95246522132072,
2022-11-14 03:30:00,-90.04037719491532,
2022-11-14 04:00:00,-94.08217776840559,
2022-11-14 06:00:00,-84.86087085959622,
2022-11-14 08:00:00,-75.13818071091168,
2022-11-14 10:30:00,-74.06510924956967,
2022-11-14 11:00:00,-78.61565328609493,
2022-11-14 23:59:59,-76.54783468023282,c
2022-11-15 00:00:00,-47.38622791135879,
2022-11-15 03:30:00,-55.68845832586112,
2022-11-15 04:00:00,-53.57277788273524,
2022-11-15 06:00:00,-25.822782313649213,
2022-11-15 08:00:00,-25.148338091210064,
2022-11-15 10:30:00,-42.77420616554889,
2022-11-15 11:00:00,-36.46900165050437,
2022-11-15 23:59:59,-44.85795898211927,c
2022-11-16 00:00:00,-50.17953502331335,
2022-11-16 03:30:00,-46.082613741504076,
2022-11-16 04:00:00,-39.2439978294405,
2022-11-16 06:00:00,-27.70556216146946,
2022-11-16 08:00:00,-27.22790235739103,
2022-11-16 10:30:00,-15.146774706665212,
2022-11-16 11:00:00,-13.805826872883017,
2022-11-16 23:59:59,-14.270761635773795,c
2022-11-17 00:00:00,-0.43331600719261587,
2022-11-17 03:30:00,-5.153516869352245,
2022-11-17 04:00:00,-12.674185558143733,
2022-11-17 06:00:00,-10.9911743630567,
2022-11-17 08:00:00,-1.3437054656342013,
2022-11-17 10:30:00,-4.2178090989715145,
2022-11-17 11:00:00,1.0463171096857593,
2022-11-17 23:59:59,1.0294667185431194,c
2022-11-18 00:00:00,-12.70564846852335,
2022-11-18 03:30:00,-14.90233234259614,
2022-11-18 04:00:00,-12.208298706970595,
2022-11-18 06:00:00,-7.351362022939213,
2022-11-18 08:00:00,-11.412007600217407,
2022-11-18 10:30:00,-0.16459780536590074,
2022-11-18 11:00:00,1.5592230456992127,
2022-11-18 23:59:59,0.0,a
2022-11-21 00:00:00,2.047166943054407,
2022-11-21 03:30:00,20.218455748679105,
2022-11-21 04:00:00,34.00199196687629,
2022-11-21 06:00:00,43.82663471839956,
2022-11-21 08:00:00,40.96256931683868,
2022-11-21 10:30:00,73.652516998849,
2022-11-21 11:00:00,72.50551643388826,
2022-11-21 23:59:59,71.99997828548106,c
2022-11-22 00:00:00,59.21936804108603,
2022-11-22 03:30:00,48.712803469029694,
2022-11-22 04:00:00,44.529716851060215,
2022-11-22 06:00:00,40.770577069534255,
2022-11-22 08:00:00,35.543768934513906,
2022-11-22 10:30:00,36.748060079035554,
2022-11-22 11:00:00,35.192085219759434,
2022-11-22 23:59:59,36.21534858808076,c
2022-11-23 00:00:00,29.196927504043202,
2022-11-23 03:30:00,31.482860315151044,
2022-11-23 04:00:00,34.61060832662184,
2022-11-23 06:00:00,47.32152235836992,
2022-11-23 08:00:00,47.20992061527315,
2022-11-23 10:30:00,52.6961219362494,
2022-11-23 11:00:00,48.2433093118687,
2022-11-23 23:59:59,53.51449891319194,c
2022-11-24 00:00:00,44.06861791318167,
2022-11-24 03:30:00,41.319197309615475,
2022-11-24 04:00:00,39.720735657888184,
2022-11-24 06:00:00,48.77031250679502,
2022-11-24 08:00:00,44.90883075196197,
