date,XIND_2022_Q2,meta
2022-06-10 15:00:00,-9.91825744922727,
2022-06-10 15:30:30,-9.91825744922727,
2022-06-10 23:59:59,0.0,a
2022-06-13 00:00:00,-46.316727857014314,
2022-06-13 10:00:00,-98.94246779742949,
2022-06-13 10:30:00,-121.56972939373281,
2022-06-13 12:00:00,-112.63984529632688,
2022-06-13 13:30:00,-114.33598179068002,
2022-06-13 15:00:00,-118.48812839287919,
2022-06-13 15:30:30,-118.48812839287919,
2022-06-13 23:59:59,-105.33123826048191,c
2022-06-14 00:00:00,-89.4371283070096,
2022-06-14 10:00:00,-134.77231493626098,
2022-06-14 10:30:00,-142.4028292026844,
2022-06-14 12:00:00,-90.45290080520459,
2022-06-14 13:30:00,-98.11143207212075,
2022-06-14 15:00:00,-108.91866812974226,
2022-06-14 15:30:30,-108.91866812974226,
2022-06-14 23:59:59,-104.49191285986052,c
2022-06-15 00:00:00,-96.03694645703419,
2022-06-15 10:00:00,-88.22389353013259,
2022-06-15 10:30:00,-85.29603516733056,
2022-06-15 12:00:00,-39.52951558106406,
2022-06-15 13:30:00,-59.79673501772939,
2022-06-15 15:00:00,-59.291833483885256,
2022-06-15 15:30:30,-59.291833483885256,
2022-06-15 23:59:59,-41.86369124130965,c
2022-06-16 00:00:00,-88.49056910277051,
2022-06-16 10:00:00,-48.93951292291803,
2022-06-16 10:30:00,-44.47169419576534,
2022-06-16 12:00:00,-16.67258551708119,
2022-06-16 13:30:00,-10.05778642128206,
2022-06-16 15:00:00,-32.76892667747376,
2022-06-16 15:30:30,-32.76892667747376,
2022-06-16 23:59:59,-34.769404720045145,c
2022-06-17 00:00:00,-9.050574493777617,
2022-06-17 10:00:00,3.259167966728228,
2022-06-17 10:30:00,-58.19255864110619,
2022-06-17 12:00:00,-37.29598151094558,
2022-06-17 13:30:00,-42.52521833362101,
2022-06-17 15:00:00,-49.7838984505521,
2022-06-17 15:30:30,-49.7838984505521,
2022-06-17 23:59:59,-143.07826444431288,e
2022-06-20 00:00:00,-143.07826444431288,
2022-06-20 10:00:00,-143.07826444431288,
2022-06-20 10:30:00,-143.07826444431288,
2022-06-20 12:00:00,-143.07826444431288,
2022-06-20 13:30:00,-143.07826444431288,
2022-06-20 15:00:00,-143.07826444431288,
2022-06-20 15:30:30,-143.07826444431288,
2022-06-20 23:59:59,-143.07826444431288,c
2022-06-21 00:00:00,-121.64800048527587,
2022-06-21 10:00:00,-65.66184414930657,
2022-06-21 10:30:00,-90.90711357584183,
2022-06-21 12:00:00,-111.69719977033981,
2022-06-21 13:30:00,-112.81490457778256,
2022-06-21 15:00:00,-147.9556292383013,
2022-06-21 15:30:30,-147.9556292383013,
2022-06-21 23:59:59,-151.45364032672552,c
2022-06-22 00:00:00,-170.49805394571354,
2022-06-22 10:00:00,-149.73247889344196,
2022-06-22 10:30:00,-164.47720399129813,
2022-06-22 12:00:00,-181.3871710796956,
2022-06-22 13:30:00,-181.8194548819691,
2022-06-22 15:00:00,-193.4751630016081,
2022-06-22 15:30:30,-193.4751630016081,
2022-06-22 23:59:59,-217.30754180287488,c
2022-06-23 00:00:00,-238.83828549461305,
2022-06-23 10:00:00,-249.3570181889703,
2022-06-23 10:30:00,-248.68205804972666,
2022-06-23 12:00:00,-274.423068064014,
2022-06-23 13:30:00,-282.4134726104576,
2022-06-23 15:00:00,-292.9845319066668,
2022-06-23 15:30:30,-292.9845319066668,
2022-06-23 23:59:59,-295.8072314174402,c
2022-06-24 00:00:00,-265.28452420328256,
2022-06-24 10:00:00,-258.5133570385472,
2022-06-24 10:30:00,-265.64026447770016,
2022-06-24 12:00:00,-278.19502711540173,
2022-06-24 13:30:00,-221.46464349852425,
2022-06-24 15:00:00,-196.64035378028146,
2022-06-24 15:30:30,-196.64035378028146,
2022-06-24 23:59:59,-242.57129033643932,w
2022-06-27 00:00:00,-206.8934138344236,
2022-06-27 10:00:00,-181.22758626727398,
2022-06-27 10:30:00,-218.7673877209416,
2022-06-27 12:00:00,-212.65578464333902,
2022-06-27 13:30:00,-213.29139686120055,
2022-06-27 15:00:00,-217.1065479217956,
2022-06-27 15:30:30,-217.1065479217956,
2022-06-27 23:59:59,-213.29087554247064,c
2022-06-28 00:00:00,-207.15955594339647,
2022-06-28 10:00:00,-238.40537443810422,
2022-06-28 10:30:00,-249.93410095933714,
2022-06-28 12:00:00,-284.9092709777991,
2022-06-28 13:30:00,-298.68186673198704,
2022-06-28 15:00:00,-299.1862715867159,
2022-06-28 15:30:30,-299.1862715867159,
2022-06-28 23:59:59,-295.6838440511976,c
2022-06-29 00:00:00,-293.7941279056696,
2022-06-29 10:00:00,-342.64130610615473,
2022-06-29 10:30:00,-352.83756804578195,
2022-06-29 12:00:00,-369.52434688561743,
2022-06-29 13:30:00,-370.2528032002568,
2022-06-29 15:00:00,-366.5819576000656,
2022-06-29 15:30:30,-366.5819576000656,
2022-06-29 23:59:59,-365.55792092803006,c
2022-06-30 00:00:00,-386.3713019093907,
2022-06-30 10:00:00,-387.65438513437255,
2022-06-30 10:30:00,-402.47815485404635,
2022-06-30 12:00:00,-377.4907532554977,
2022-06-30 13:30:00,-392.1148824405708,
2022-06-30 15:00:00,-402.2126246974037,
2022-06-30 15:30:30,-402.2126246974037,
2022-06-30 23:59:59,-401.40623452043803,c
2022-07-01 00:00:00,-430.52381178965084,
2022-07-01 10:00:00,-422.83461166602416,
2022-07-01 10:30:00,-422.03098942776063,
2022-07-01 12:00:00,-414.53745830912095,
2022-07-01 13:30:00,-421.2648871167624,
2022-07-01 15:00:00,-401.6304633572796,
2022-07-01 15:30:30,-401.6304633572796,
2022-07-01 23:59:59,-400.79408695900287,w
