date,MSCI_US_SC_AD_HEDGED_2022_Q2,meta
2022-05-19 13:30:00,-46.345929360335504,
2022-05-19 15:00:00,-76.54711144584599,
2022-05-19 15:30:30,-76.54711144584599,
2022-05-19 23:59:59,-30.35794822396565,c
2022-05-20 00:00:00,-84.14883360572048,
2022-05-20 10:00:00,-55.59584161032353,
2022-05-20 10:30:00,-28.55606777596722,
2022-05-20 12:00:00,37.16594248508727,
2022-05-20 13:30:00,83.87018673349621,
2022-05-20 15:00:00,42.589712625576794,
2022-05-20 15:30:30,42.589712625576794,
2022-05-20 23:59:59,-29.1419995470701,w
2022-05-23 00:00:00,-69.05358369146052,
2022-05-23 10:00:00,-19.459048688749135,
2022-05-23 10:30:00,-22.179249312326647,
2022-05-23 12:00:00,-39.13370556837981,
2022-05-23 13:30:00,-23.16331451410406,
2022-05-23 15:00:00,-36.06606975710838,
2022-05-23 15:30:30,-36.06606975710838,
2022-05-23 23:59:59,-40.74531107356643,c
2022-05-24 00:00:00,12.850224880648511,
2022-05-24 10:00:00,54.47606684612765,
2022-05-24 10:30:00,97.29417063298251,
2022-05-24 12:00:00,89.81646094986809,
2022-05-24 13:30:00,88.51685568265066,
2022-05-24 15:00:00,99.18639890395707,
2022-05-24 15:30:30,99.18639890395707,
2022-05-24 23:59:59,56.6362847151554,c
2022-05-25 00:00:00,55.19623091535004,
2022-05-25 10:00:00,30.07914409050136,
2022-05-25 10:30:00,-6.395358089908768,
2022-05-25 12:00:00,36.611333693780125,
2022-05-25 13:30:00,35.13387641615964,
2022-05-25 15:00:00,-5.1513572573785495,
2022-05-25 15:30:30,-5.1513572573785495,
2022-05-25 23:59:59,-1.5348402549657294,c
2022-05-26 00:00:00,-3.353155796750343,
2022-05-26 10:00:00,-52.00964360408261,
2022-05-26 10:30:00,-39.525623855599406,
2022-05-26 12:00:00,-83.71175682270223,
2022-05-26 13:30:00,-94.28483479526722,
2022-05-26 15:00:00,-111.17656307866991,
2022-05-26 15:30:30,-111.17656307866991,
2022-05-26 23:59:59,-100.26007880714451,c
2022-05-27 00:00:00,-137.6779753326391,
2022-05-27 10:00:00,-143.75971198035722,
2022-05-27 10:30:00,-160.95527929239188,
2022-05-27 12:00:00,-188.51874924757567,
2022-05-27 13:30:00,-200.53206752036522,
2022-05-27 15:00:00,-212.76763489641826,
2022-05-27 15:30:30,-212.76763489641826,
2022-05-27 23:59:59,-235.67395057580325,w
2022-05-30 00:00:00,-235.67395057580325,
2022-05-30 10:00:00,-235.67395057580325,
2022-05-30 10:30:00,-235.67395057580325,
2022-05-30 12:00:00,-235.67395057580325,
2022-05-30 13:30:00,-235.67395057580325,
2022-05-30 15:00:00,-235.67395057580325,
2022-05-30 15:30:30,-235.67395057580325,
2022-05-30 23:59:59,-235.67395057580325,c
2022-05-31 00:00:00,-218.00684956419445,
2022-05-31 10:00:00,-212.96887809827012,
2022-05-31 10:30:00,-215.6955692066872,
2022-05-31 12:00:00,-247.72754328725432,
2022-05-31 13:30:00,-217.37055013594272,
2022-05-31 15:00:00,-182.56205509439997,
2022-05-31 15:30:30,-182.56205509439997,
2022-05-31 23:59:59,-186.38609283304095,e
2022-06-01 00:00:00,-221.65876996549696,
2022-06-01 10:00:00,-233.6803280229633,
2022-06-01 10:30:00,-168.23733534108305,
2022-06-01 12:00:00,-115.1275722494347,
2022-06-01 13:30:00,-143.69899009057963,
2022-06-01 15:00:00,-169.4514916597268,
2022-06-01 15:30:30,-169.4514916597268,
2022-06-01 23:59:59,-144.56987380489318,c
2022-06-02 00:00:00,-143.467778393363,
2022-06-02 10:00:00,-150.93604339450167,
2022-06-02 10:30:00,-152.01724404400238,
2022-06-02 12:00:00,-176.07544115029395,
2022-06-02 13:30:00,-209.38282708234965,
2022-06-02 15:00:00,-192.4537262037561,
2022-06-02 15:30:30,-192.4537262037561,
2022-06-02 23:59:59,-216.5875591567933,c
2022-06-03 00:00:00,-162.20121803813345,
2022-06-03 10:00:00,-176.14464228631186,
2022-06-03 10:30:00,-164.27796443164152,
2022-06-03 12:00:00,-112.7177071383212,
2022-06-03 13:30:00,-147.99605244652685,
2022-06-03 15:00:00,-145.13187217199675,
2022-06-03 15:30:30,-145.13187217199675,
2022-06-03 23:59:59,-138.90311181568404,w
2022-06-06 00:00:00,-183.4543229101937,
2022-06-06 10:00:00,-132.33561575507838,
2022-06-06 10:30:00,-144.61886578448093,
2022-06-06 12:00:00,-163.66342993582703,
2022-06-06 13:30:00,-162.1302051589014,
2022-06-06 15:00:00,-164.22561748367343,
2022-06-06 15:30:30,-164.22561748367343,
2022-06-06 23:59:59,-175.55594535543833,c
2022-06-07 00:00:00,-147.41391572543216,
2022-06-07 10:00:00,-173.5782851687104,
2022-06-07 10:30:00,-230.87634609529414,
2022-06-07 12:00:00,-296.102474109141,
2022-06-07 13:30:00,-320.3157621420178,
2022-06-07 15:00:00,-308.5985270143856,
2022-06-07 15:30:30,-308.5985270143856,u
2022-06-07 23:59:59,-329.9251137496003,c
2022-06-08 00:00:00,-316.79814297761277,
2022-06-08 10:00:00,-341.0144323379691,
2022-06-08 10:30:00,-312.11545905801904,
2022-06-08 12:00:00,-321.90075362940024,
2022-06-08 13:30:00,-276.999484987703,
2022-06-08 15:00:00,-271.5349718079806,
2022-06-08 15:30:30,-271.5349718079806,
2022-06-08 23:59:59,-272.0886607676007,c
2022-06-09 00:00:00,-254.66371878726432,
2022-06-09 10:00:00,-266.9216209025499,
2022-06-09 10:30:00,-276.1343057269996,
2022-06-09 12:00:00,-285.4207864533669,
2022-06-09 13:30:00,-280.0245298708478,
2022-06-09 15:00:00,-273.33150829306715,
2022-06-09 15:30:30,-273.33150829306715,
2022-06-09 23:59:59,-247.8014660517024,c
2022-06-10 00:00:00,-162.27148990668547,
2022-06-10 10:00:00,-182.8576901877159,
2022-06-10 10:30:00,-139.7073756542827,
2022-06-10 12:00:00,-131.4298168469404,
2022-06-10 13:30:00,-130.71279283163085,
2022-06-10 15:00:00,-138.27650528190816,
2022-06-10 15:30:30,-138.27650528190816,
2022-06-10 23:59:59,-124.28277124836131,w
2022-06-13 00:00:00,5.130671622427144,
2022-06-13 10:00:00,29.814617410055234,
2022-06-13 10:30:00,48.59176651138978,
2022-06-13 12:00:00,30.566020951404425,
2022-06-13 13:30:00,34.64581468867755,
2022-06-13 15:00:00,35.494965466926715,
2022-06-13 15:30:30,35.494965466926715,
2022-06-13 23:59:59,56.91685090667079,c
2022-06-14 00:00:00,35.06781557004251,
2022-06-14 10:00:00,13.77876937540941,
2022-06-14 10:30:00,70.66464386009329,
2022-06-14 12:00:00,45.789626138657695,
2022-06-14 13:30:00,70.45714326347615,
2022-06-14 15:00:00,92.88355688034062,
2022-06-14 15:30:30,92.88355688034062,
2022-06-14 23:59:59,68.04139054672441,c
2022-06-15 00:00:00,47.907127168903116,
2022-06-15 10:00:00,49.96974557882368,
2022-06-15 10:30:00,35.29851282246227,
2022-06-15 12:00:00,25.178329922787725,
2022-06-15 13:30:00,27.198069698587005,
2022-06-15 15:00:00,15.075187322261627,
2022-06-15 15:30:30,15.075187322261627,
2022-06-15 23:59:59,5.7460446048403355,c
2022-06-16 00:00:00,96.31123991773757,
2022-06-16 10:00:00,172.52155261822645,
2022-06-16 10:30:00,159.08515742646568,
2022-06-16 12:00:00,174.32332867178138,
2022-06-16 13:30:00,174.48465707020932,
2022-06-16 15:00:00,212.14999332844536,
2022-06-16 15:30:30,212.14999332844536,
2022-06-16 23:59:59,193.62498234589202,c
2022-06-17 00:00:00,189.9693249324555,
2022-06-17 10:00:00,144.6644167954655,
2022-06-17 10:30:00,185.03261645860766,
2022-06-17 12:00:00,194.29383359309486,
2022-06-17 13:30:00,170.0960625172488,
2022-06-17 15:00:00,171.5363373060004,
2022-06-17 15:30:30,171.5363373060004,q
2022-06-17 23:59:59,177.1244927967814,w
2022-06-20 00:00:00,177.1244927967814,
2022-06-20 10:00:00,177.1244927967814,
2022-06-20 10:30:00,177.1244927967814,
2022-06-20 12:00:00,177.1244927967814,
2022-06-20 13:30:00,177.1244927967814,
2022-06-20 15:00:00,177.1244927967814,
2022-06-20 15:30:30,177.1244927967814,
2022-06-20 23:59:59,177.1244927967814,c
2022-06-21 00:00:00,111.3044670183167,
2022-06-21 10:00:00,82.7807949767589,
2022-06-21 10:30:00,76.79153437231435,
2022-06-21 12:00:00,85.84980014057919,
2022-06-21 13:30:00,46.54512520659864,
2022-06-21 15:00:00,57.21903382720893,
2022-06-21 15:30:30,57.21903382720893,
2022-06-21 23:59:59,58.346091785355384,c
