date,AS_PT731943_2022_Q2,meta
2022-05-18 00:00:00,-110.81722923753594,
2022-05-18 01:00:00,-112.15495736747397,
2022-05-18 02:30:00,-112.15495736747397,
2022-05-18 03:00:00,-112.15495736747397,
2022-05-18 18:30:00,-112.15495736747397,
2022-05-18 20:00:00,-112.15495736747397,
2022-05-18 23:00:00,-96.96842863447438,
2022-05-18 23:59:59,-98.846269647058,c
2022-05-19 00:00:00,-93.73356478257935,
2022-05-19 01:00:00,-96.65030882212906,
2022-05-19 02:30:00,-96.65030882212906,
2022-05-19 03:00:00,-96.65030882212906,
2022-05-19 18:30:00,-96.65030882212906,
2022-05-19 20:00:00,-96.65030882212906,
2022-05-19 23:00:00,-12.54931434908707,
2022-05-19 23:59:59,0.0,a
2022-05-20 00:00:00,4.410197111705784,
2022-05-20 01:00:00,5.864526984533256,
2022-05-20 02:30:00,5.864526984533256,
2022-05-20 03:00:00,5.864526984533256,
2022-05-20 18:30:00,5.864526984533256,
2022-05-20 20:00:00,5.864526984533256,
2022-05-20 23:00:00,5.864526984533256,
2022-05-20 23:59:59,-28.45977348438268,w
2022-05-23 00:00:00,51.72438835248072,
2022-05-23 01:00:00,45.87744169774694,
2022-05-23 02:30:00,45.87744169774694,
2022-05-23 03:00:00,45.87744169774694,
2022-05-23 18:30:00,45.87744169774694,
2022-05-23 20:00:00,45.87744169774694,
2022-05-23 23:00:00,100.14521225398991,
2022-05-23 23:59:59,102.39852505657554,c
2022-05-24 00:00:00,104.514743041978,
2022-05-24 01:00:00,119.1082989216052,
2022-05-24 02:30:00,119.1082989216052,
2022-05-24 03:00:00,119.1082989216052,
2022-05-24 18:30:00,119.1082989216052,
2022-05-24 20:00:00,119.1082989216052,
2022-05-24 23:00:00,126.64294978054092,
2022-05-24 23:59:59,158.33519162784796,c
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
0,158.33519162784796,
2022-05-25 00:00:00,164.42829557187508,
2022-05-25 01:00:00,200.89193386530476,
2022-05-25 02:30:00,200.89193386530476,
2022-05-25 03:00:00,200.89193386530476,
2022-05-25 18:30:00,200.89193386530476,
2022-05-25 20:00:00,200.89193386530476,
2022-05-25 23:00:00,134.4583849308761,
2022-05-25 23:59:59,146.80359540821672,c
2022-05-26 00:00:00,152.53301705893927,
2022-05-26 01:00:00,142.5228647843876,
2022-05-26 02:30:00,142.5228647843876,
2022-05-26 03:00:00,142.5228647843876,
2022-05-26 18:30:00,142.5228647843876,
2022-05-26 20:00:00,142.5228647843876,
2022-05-26 23:00:00,154.64410502755672,
2022-05-26 23:59:59,167.03579143894405,c
2022-05-27 00:00:00,177.51042124613681,
2022-05-27 01:00:00,187.04585805336552,
2022-05-27 02:30:00,187.04585805336552,
2022-05-27 03:00:00,187.04585805336552,
2022-05-27 18:30:00,187.04585805336552,
2022-05-27 20:00:00,187.04585805336552,
2022-05-27 23:00:00,187.04585805336552,
2022-05-27 23:59:59,161.7250682785906,w
2022-05-30 00:00:00,222.09839606372446,
2022-05-30 01:00:00,217.59363539137692,
2022-05-30 02:30:00,217.59363539137692,
2022-05-30 03:00:00,217.59363539137692,
2022-05-30 18:30:00,217.59363539137692,
2022-05-30 20:00:00,217.59363539137692,
2022-05-30 23:00:00,187.81586272856083,
2022-05-30 23:59:59,178.55743285512133,c
2022-05-31 00:00:00,187.34846091461745,
2022-05-31 01:00:00,206.71030500016394,
2022-05-31 02:30:00,206.71030500016394,
2022-05-31 03:00:00,206.71030500016394,
2022-05-31 18:30:00,206.71030500016394,
2022-05-31 20:00:00,206.71030500016394,
2022-05-31 23:00:00,148.69938157680232,
2022-05-31 23:59:59,146.98285480222157,e
2022-06-01 00:00:00,177.40693728112188,
2022-06-01 01:00:00,188.40992257745398,
2022-06-01 02:30:00,188.40992257745398,
2022-06-01 03:00:00,188.40992257745398,
2022-06-01 18:30:00,188.40992257745398,
2022-06-01 20:00:00,188.40992257745398,
2022-06-01 23:00:00,190.05562361123398,
2022-06-01 23:59:59,197.771608410716,c
2022-06-02 00:00:00,196.2406181899544,
2022-06-02 01:00:00,185.7680471608406,
2022-06-02 02:30:00,185.7680471608406,
2022-06-02 03:00:00,185.7680471608406,
2022-06-02 18:30:00,185.7680471608406,
2022-06-02 20:00:00,185.7680471608406,
2022-06-02 23:00:00,185.7680471608406,
2022-06-02 23:59:59,175.91772452768907,c
2022-06-03 00:00:00,175.91772452768907,
2022-06-03 01:00:00,175.91772452768907,
2022-06-03 02:30:00,175.91772452768907,
2022-06-03 03:00:00,175.91772452768907,
2022-06-03 18:30:00,175.91772452768907,
2022-06-03 20:00:00,175.91772452768907,
2022-06-03 23:00:00,175.91772452768907,
2022-06-03 23:59:59,175.91772452768907,w
2022-06-06 00:00:00,159.1021903761478,
2022-06-06 01:00:00,154.3861170030253,
2022-06-06 02:30:00,154.3861170030253,
2022-06-06 03:00:00,154.3861170030253,
2022-06-06 18:30:00,154.3861170030253,
2022-06-06 20:00:00,154.3861170030253,
2022-06-06 23:00:00,167.26456761240348,
2022-06-06 23:59:59,152.93369837076813,c
2022-06-07 00:00:00,157.02449649294329,
2022-06-07 01:00:00,159.29841557032074,
2022-06-07 02:30:00,159.29841557032074,
2022-06-07 03:00:00,159.29841557032074,
2022-06-07 18:30:00,159.29841557032074,
2022-06-07 20:00:00,159.29841557032074,
2022-06-07 23:00:00,152.6231143350419,
2022-06-07 23:59:59,141.56544753654845,c
2022-06-08 00:00:00,146.43120179830032,
2022-06-08 01:00:00,153.2692267470281,
2022-06-08 02:30:00,153.2692267470281,
2022-06-08 03:00:00,153.2692267470281,
2022-06-08 18:30:00,153.2692267470281,
2022-06-08 20:00:00,153.2692267470281,
2022-06-08 23:00:00,146.04893620389834,
2022-06-08 23:59:59,166.1525172948087,c
2022-06-09 00:00:00,162.2285618786144,
2022-06-09 01:00:00,165.04157505938522,
2022-06-09 02:30:00,165.04157505938522,
2022-06-09 03:00:00,165.04157505938522,
2022-06-09 18:30:00,165.04157505938522,
2022-06-09 20:00:00,165.04157505938522,
2022-06-09 23:00:00,170.32147083718604,
2022-06-09 23:59:59,154.62033658553636,c
2022-06-10 00:00:00,147.00903077313808,
2022-06-10 01:00:00,150.82163760141572,
2022-06-10 02:30:00,150.82163760141572,
2022-06-10 03:00:00,150.82163760141572,
2022-06-10 18:30:00,150.82163760141572,
2022-06-10 20:00:00,150.82163760141572,
2022-06-10 23:00:00,150.82163760141572,
2022-06-10 23:59:59,148.00997508386587,w
2022-06-13 00:00:00,179.17156031473252,
2022-06-13 01:00:00,191.99512703483524,
2022-06-13 02:30:00,191.99512703483524,
2022-06-13 03:00:00,191.99512703483524,
2022-06-13 18:30:00,191.99512703483524,
2022-06-13 20:00:00,191.99512703483524,
2022-06-13 23:00:00,189.81088702586626,
2022-06-13 23:59:59,191.20118375086366,c
2022-06-14 00:00:00,210.36126927041144,
2022-06-14 01:00:00,208.57541124406876,
2022-06-14 02:30:00,208.57541124406876,
2022-06-14 03:00:00,208.57541124406876,
2022-06-14 18:30:00,208.57541124406876,
2022-06-14 20:00:00,208.57541124406876,
2022-06-14 23:00:00,186.23676692908242,
2022-06-14 23:59:59,164.207030377823,c
2022-06-15 00:00:00,174.94559439838181,
2022-06-15 01:00:00,142.47339881588562,
2022-06-15 02:30:00,142.47339881588562,
2022-06-15 03:00:00,142.47339881588562,
2022-06-15 18:30:00,142.47339881588562,
2022-06-15 20:00:00,142.47339881588562,
2022-06-15 23:00:00,127.60813425889006,
2022-06-15 23:59:59,125.5287786367197,c
2022-06-16 00:00:00,133.6459418587662,
2022-06-16 01:00:00,129.60969131686616,
2022-06-16 02:30:00,129.60969131686616,
2022-06-16 03:00:00,129.60969131686616,
2022-06-16 18:30:00,129.60969131686616,
2022-06-16 20:00:00,129.60969131686616,
2022-06-16 23:00:00,168.84167192220502,
2022-06-16 23:59:59,151.32257775408976,c
2022-06-17 00:00:00,152.69909483358262,
2022-06-17 01:00:00,162.34907090799865,
2022-06-17 02:30:00,162.34907090799865,
2022-06-17 03:00:00,162.34907090799865,
2022-06-17 18:30:00,162.34907090799865,
2022-06-17 20:00:00,162.34907090799865,
2022-06-17 23:00:00,162.34907090799865,
2022-06-17 23:59:59,149.85995481366783,w
2022-06-20 00:00:00,158.18598932447614,
2022-06-20 01:00:00,144.75698387031497,
2022-06-20 02:30:00,144.75698387031497,
2022-06-20 03:00:00,144.75698387031497,
2022-06-20 18:30:00,144.75698387031497,
2022-06-20 20:00:00,144.75698387031497,
2022-06-20 23:00:00,148.56879483175197,
2022-06-20 23:59:59,149.76761503625096,c
2022-06-21 00:00:00,147.9768996915135,
2022-06-21 01:00:00,157.2829055337255,
2022-06-21 02:30:00,157.2829055337255,
2022-06-21 03:00:00,157.2829055337255,
2022-06-21 18:30:00,157.2829055337255,
2022-06-21 20:00:00,157.2829055337255,
2022-06-21 23:00:00,157.2829055337255,
2022-06-21 23:59:59,165.9826271303062,c
