date,LIT_2022_Q4,meta
2022-11-07 23:59:59,-309.70185647475006,c
2022-11-08 00:00:00,-394.1795738384566,
2022-11-08 10:00:00,-625.1442630021907,
2022-11-08 10:30:00,-736.3538953771606,
2022-11-08 12:00:00,-556.0537842471618,
2022-11-08 13:30:00,-554.6093127789721,
2022-11-08 15:00:00,-635.7148029112054,
2022-11-08 15:30:30,-635.7148029112054,
2022-11-08 23:59:59,-615.3836685255621,c
2022-11-09 00:00:00,-761.6649155752042,
2022-11-09 10:00:00,-1001.9738090887361,
2022-11-09 10:30:00,-1044.305657111689,
2022-11-09 12:00:00,-1074.5325784837692,
2022-11-09 13:30:00,-1115.2376453948243,
2022-11-09 15:00:00,-1135.428816672276,
2022-11-09 15:30:30,-1135.428816672276,
2022-11-09 23:59:59,-1088.0602209412841,c
2022-11-10 00:00:00,-795.7725449805233,
2022-11-10 10:00:00,-814.1781586023553,
2022-11-10 10:30:00,-842.9267963432275,
2022-11-10 12:00:00,-828.2087261565985,
2022-11-10 13:30:00,-832.7916206703516,
2022-11-10 15:00:00,-907.2304323610753,
2022-11-10 15:30:30,-907.2304323610753,
2022-11-10 23:59:59,-881.3447477156126,c
2022-11-11 00:00:00,-927.7675493987648,
2022-11-11 10:00:00,-931.9744862348754,
2022-11-11 10:30:00,-878.1078045868401,
2022-11-11 12:00:00,-848.5924356836402,
2022-11-11 13:30:00,-786.7110964367497,
2022-11-11 15:00:00,-774.25104511425,
2022-11-11 15:30:30,-774.25104511425,u
2022-11-11 23:59:59,-711.2845776150219,w
2022-11-14 00:00:00,-731.9823151155798,
2022-11-14 10:00:00,-772.0651063208593,
2022-11-14 10:30:00,-805.7362701971686,
2022-11-14 12:00:00,-822.1056361919917,
2022-11-14 13:30:00,-735.9856856539784,
2022-11-14 15:00:00,-728.2571538572172,
2022-11-14 15:30:30,-728.2571538572172,
2022-11-14 23:59:59,-698.0765969388899,c
