date,EU_FTSE_DM_SC_ALL_2021_Q4,meta
2021-11-17 08:00:00,-78.24638444550476,
2021-11-17 10:30:00,-86.05960389715341,
2021-11-17 11:00:00,-88.74929889926747,
2021-11-17 23:59:59,-84.37787194438098,c
2021-11-18 00:00:00,-84.49859049692034,
2021-11-18 03:30:00,-97.94984395223915,
2021-11-18 04:00:00,-102.24779267689806,
2021-11-18 06:00:00,-99.14364619177977,
2021-11-18 08:00:00,-91.12863405934635,
2021-11-18 10:30:00,-87.41664436578887,
2021-11-18 11:00:00,-75.2081757164112,
2021-11-18 23:59:59,-49.37080957925838,c
2021-11-19 00:00:00,-50.333741774509775,
2021-11-19 03:30:00,-48.51375472899443,
2021-11-19 04:00:00,-43.75612011569106,
2021-11-19 06:00:00,-11.32347228612042,
2021-11-19 08:00:00,3.5752057457461177,
2021-11-19 10:30:00,-1.109917015986852,
2021-11-19 11:00:00,3.4370125091593025,
2021-11-19 23:59:59,0.0,a
2021-11-22 00:00:00,1.1369168167833692,
2021-11-22 03:30:00,40.28912745842598,
2021-11-22 04:00:00,45.060893461127925,
2021-11-22 06:00:00,37.3609234663289,
2021-11-22 08:00:00,28.734990784840456,
2021-11-22 10:30:00,25.2190590133266,
2021-11-22 11:00:00,20.428986013860985,
2021-11-22 23:59:59,21.35274284598858,c
2021-11-23 00:00:00,28.038715516935653,
2021-11-23 03:30:00,-6.662801994464928,
2021-11-23 04:00:00,21.512882922112098,
2021-11-23 06:00:00,2.063538280092345,
2021-11-23 08:00:00,5.6854484433874575,
2021-11-23 10:30:00,14.44873613718056,
2021-11-23 11:00:00,11.16863183064855,
2021-11-23 23:59:59,26.09720511302642,c
2021-11-24 00:00:00,12.783755179093845,
2021-11-24 03:30:00,41.530992430075216,
2021-11-24 04:00:00,39.623605522423226,
2021-11-24 06:00:00,47.79666969548652,
2021-11-24 08:00:00,58.00365212467581,
2021-11-24 10:30:00,86.96559751739558,
2021-11-24 11:00:00,85.72424329292036,
2021-11-24 23:59:59,101.10665827672481,c
2021-11-25 00:00:00,94.17746612822339,
