date,AS_HSTECH_2021_Q4,meta
2021-11-19 20:00:00,0.006880377166924134,
2021-11-19 23:00:00,0.006880377166924134,
2021-11-19 23:59:59,0.0,a
2021-11-22 00:00:00,-35.93012804728552,
2021-11-22 01:00:00,-46.342825927189075,
2021-11-22 02:30:00,-86.71232864038932,
2021-11-22 03:00:00,-84.36396731386192,
2021-11-22 18:30:00,-84.36396731386192,
2021-11-22 20:00:00,-84.36396731386192,
2021-11-22 23:00:00,-105.66668381234817,
2021-11-22 23:59:59,-105.68354098232744,c
2021-11-23 00:00:00,-119.34860801375127,
2021-11-23 01:00:00,-121.99212015552861,
2021-11-23 02:30:00,-122.97475687448248,
2021-11-23 03:00:00,-129.31628971585727,
2021-11-23 18:30:00,-129.31628971585727,
2021-11-23 20:00:00,-129.31628971585727,
2021-11-23 23:00:00,-176.9153867095664,
