date,IBB_2021_Q3,meta
2021-09-28 10:00:00,-232.77709571725518,
2021-09-28 10:30:00,-219.2956214468677,
2021-09-28 12:00:00,-237.85370991155878,
2021-09-28 13:30:00,-247.0939955429617,
2021-09-28 15:00:00,-237.63500119513446,
2021-09-28 15:30:30,-237.63500119513446,
2021-09-28 23:59:59,-258.86117342684884,c
2021-09-29 00:00:00,-283.0013454650948,
2021-09-29 10:00:00,-282.2927885997897,
2021-09-29 10:30:00,-290.3213597377735,
2021-09-29 12:00:00,-279.27322326212607,
2021-09-29 13:30:00,-283.93000468065065,
2021-09-29 15:00:00,-275.0453961662961,
2021-09-29 15:30:30,-275.0453961662961,
2021-09-29 23:59:59,-307.0851430111652,c
2021-09-30 00:00:00,-292.2521363870569,
2021-09-30 10:00:00,-214.27490290749574,
2021-09-30 10:30:00,-242.85857305347145,
2021-09-30 12:00:00,-276.5284173286591,
2021-09-30 13:30:00,-274.19145999435705,
2021-09-30 15:00:00,-240.14220481268103,
2021-09-30 15:30:30,-240.14220481268103,
2021-09-30 23:59:59,-267.5853816301751,c
2021-10-01 00:00:00,-217.6599852338727,
2021-10-01 10:00:00,-273.1681146382439,
2021-10-01 10:30:00,-282.52302701909,
2021-10-01 12:00:00,-274.4645785048733,
2021-10-01 13:30:00,-307.213258821399,
2021-10-01 15:00:00,-293.32234269753235,
2021-10-01 15:30:30,-293.32234269753235,
2021-10-01 23:59:59,-280.2319043272082,w
