date,BATT_2022_Q4,meta
2022-11-25 23:59:59,-322.13051044344024,w
2022-11-28 00:00:00,-313.4731624265238,
2022-11-28 10:00:00,-288.80271533195935,
2022-11-28 10:30:00,-305.1655371003476,
2022-11-28 12:00:00,-241.49105751766808,
2022-11-28 13:30:00,-230.86637143247026,
2022-11-28 15:00:00,-231.1644875879254,
2022-11-28 15:30:30,-231.1644875879254,
2022-11-28 23:59:59,-226.49680085290072,c
2022-11-29 00:00:00,-180.08720748912913,
2022-11-29 10:00:00,-224.07843175834313,
2022-11-29 10:30:00,-162.26677262266088,
2022-11-29 12:00:00,-180.21519021750424,
2022-11-29 13:30:00,-231.0238880636133,
2022-11-29 15:00:00,-244.1013094072938,
2022-11-29 15:30:30,-244.1013094072938,
2022-11-29 23:59:59,-263.92925536969886,c
2022-11-30 00:00:00,-213.99649497213682,
2022-11-30 10:00:00,-187.58969231709773,
2022-11-30 10:30:00,-187.98561847049,
2022-11-30 12:00:00,-241.94963781676074,
2022-11-30 13:30:00,-231.70116345532938,
2022-11-30 15:00:00,-167.84938644398557,
2022-11-30 15:30:30,-167.84938644398557,m
2022-11-30 23:59:59,-94.80372126959941,c
2022-12-01 00:00:00,-45.3479017217864,
2022-12-01 10:00:00,-84.32155608396312,
2022-12-01 10:30:00,-137.9469050064552,
2022-12-01 12:00:00,-102.55824787468987,
2022-12-01 13:30:00,-94.90201093691178,
2022-12-01 15:00:00,-92.32108820704292,
2022-12-01 15:30:30,-92.32108820704292,
2022-12-01 23:59:59,-92.0213178233767,c
2022-12-02 00:00:00,-104.00514196757763,
2022-12-02 10:00:00,23.26506813352222,
2022-12-02 10:30:00,88.02554948095789,
2022-12-02 12:00:00,-4.729591284804258,
2022-12-02 13:30:00,59.87480918259428,
2022-12-02 15:00:00,48.780856777060734,
2022-12-02 15:30:30,48.780856777060734,
2022-12-02 23:59:59,7.5608167135222,w
