date,PPP_2022_Q3,meta
2022-08-26 15:30:30,34.49689517386213,
2022-08-26 23:59:59,35.88810574300544,w
2022-08-29 00:00:00,40.825359740863746,
2022-08-29 10:00:00,53.67204052199901,
2022-08-29 10:30:00,42.492583087068795,
2022-08-29 12:00:00,51.00579069202382,
2022-08-29 13:30:00,48.690397138581034,
2022-08-29 15:00:00,43.86763165488418,
2022-08-29 15:30:30,43.86763165488418,
2022-08-29 23:59:59,40.678429159241205,c
2022-08-30 00:00:00,39.23543265174766,
2022-08-30 10:00:00,36.84440186596055,
2022-08-30 10:30:00,28.360682412601477,
2022-08-30 12:00:00,25.69949334449666,
2022-08-30 13:30:00,21.867020583415183,
2022-08-30 15:00:00,13.266368457019269,
2022-08-30 15:30:30,13.266368457019269,
2022-08-30 23:59:59,4.7524428443095985,c
2022-08-31 00:00:00,-18.54068564390394,
2022-08-31 10:00:00,0.820729735182681,
2022-08-31 10:30:00,11.044547993903961,
2022-08-31 12:00:00,-7.022105382957761,
2022-08-31 13:30:00,-15.066453236576876,
2022-08-31 15:00:00,-20.16105133914948,
2022-08-31 15:30:30,-20.16105133914948,s
2022-08-31 23:59:59,-23.384264102155214,c
2022-09-01 00:00:00,-55.55198092810372,
2022-09-01 10:00:00,-40.69224750730183,
2022-09-01 10:30:00,-40.886708412205735,
2022-09-01 12:00:00,-36.02688468639627,
2022-09-01 13:30:00,-34.303640055075846,
2022-09-01 15:00:00,-40.980782718125454,
2022-09-01 15:30:30,-40.980782718125454,
2022-09-01 23:59:59,-35.024769654825434,c
2022-09-02 00:00:00,-18.57445264817659,
2022-09-02 10:00:00,-30.45905820795292,
2022-09-02 10:30:00,-21.33571785018222,
2022-09-02 12:00:00,-12.759086510753093,
2022-09-02 13:30:00,-23.476541635729575,
2022-09-02 15:00:00,-15.199840007015723,
2022-09-02 15:30:30,-15.199840007015723,
2022-09-02 23:59:59,-15.511473088633636,w
2022-09-05 00:00:00,-15.511473088633636,
2022-09-05 10:00:00,-15.511473088633636,
2022-09-05 10:30:00,-15.511473088633636,
2022-09-05 12:00:00,-15.511473088633636,
2022-09-05 13:30:00,-15.511473088633636,
2022-09-05 15:00:00,-15.511473088633636,
2022-09-05 15:30:30,-15.511473088633636,
2022-09-05 23:59:59,-15.511473088633636,c
2022-09-06 00:00:00,-11.063666744991735,
2022-09-06 10:00:00,-21.055358159981893,
2022-09-06 10:30:00,-28.540608055558607,
2022-09-06 12:00:00,-25.739535950082256,
2022-09-06 13:30:00,-13.731502565791118,
2022-09-06 15:00:00,-16.264693804943533,
2022-09-06 15:30:30,-16.264693804943533,
2022-09-06 23:59:59,-23.761255082987248,c
2022-09-07 00:00:00,-27.755525980240463,
2022-09-07 10:00:00,-41.38599580224496,
2022-09-07 10:30:00,-32.53218311610101,
2022-09-07 12:00:00,-30.809428723514827,
2022-09-07 13:30:00,-23.48265629149938,
2022-09-07 15:00:00,-19.663676386185386,
2022-09-07 15:30:30,-19.663676386185386,
2022-09-07 23:59:59,-30.391225536372133,c
2022-09-08 00:00:00,-58.204909481110406,
2022-09-08 10:00:00,-68.07546229304273,
2022-09-08 10:30:00,-70.81808104915308,
2022-09-08 12:00:00,-68.55870410048794,
2022-09-08 13:30:00,-63.45565736554687,
2022-09-08 15:00:00,-64.04387169206802,
2022-09-08 15:30:30,-64.04387169206802,
2022-09-08 23:59:59,-57.014428339173605,c
2022-09-09 00:00:00,-26.960167902019123,
2022-09-09 10:00:00,-20.332353556516694,
2022-09-09 10:30:00,-8.419843704372852,
2022-09-09 12:00:00,-0.48165082133238,
2022-09-09 13:30:00,-0.34750864033782136,
2022-09-09 15:00:00,4.7504900496695655,
2022-09-09 15:30:30,4.7504900496695655,
2022-09-09 23:59:59,0.0,a
2022-09-12 00:00:00,58.07321829942424,
2022-09-12 10:00:00,87.07389698020597,
2022-09-12 10:30:00,91.96889478988601,
2022-09-12 12:00:00,77.76446713243223,
2022-09-12 13:30:00,81.31364378864481,
2022-09-12 15:00:00,72.29507112003546,
2022-09-12 15:30:30,72.29507112003546,
2022-09-12 23:59:59,61.40643345395165,c
2022-09-13 00:00:00,51.852247766069695,
2022-09-13 10:00:00,67.6009084081661,
2022-09-13 10:30:00,64.30765473470927,
2022-09-13 12:00:00,45.52294424126552,
2022-09-13 13:30:00,46.74947743288482,
2022-09-13 15:00:00,39.10788304243317,
2022-09-13 15:30:30,39.10788304243317,
2022-09-13 23:59:59,26.517215157443616,c
2022-09-14 00:00:00,3.9338747923644064,
2022-09-14 10:00:00,41.71579643733327,
2022-09-14 10:30:00,32.852410844590565,
2022-09-14 12:00:00,36.767111328809165,
2022-09-14 13:30:00,25.085792442730735,
2022-09-14 15:00:00,27.291147512007285,
2022-09-14 15:30:30,27.291147512007285,
2022-09-14 23:59:59,18.55902605354504,c
2022-09-15 00:00:00,11.125787682005978,
2022-09-15 10:00:00,26.72019713278604,
2022-09-15 10:30:00,16.863237179377563,
2022-09-15 12:00:00,-14.030614232537118,
2022-09-15 13:30:00,-7.267268793767812,
2022-09-15 15:00:00,-16.622965369147494,
2022-09-15 15:30:30,-16.622965369147494,
2022-09-15 23:59:59,-16.617557041036605,c
2022-09-16 00:00:00,-22.25888308459099,
2022-09-16 10:00:00,27.1426086586647,
2022-09-16 10:30:00,28.619630069167897,
2022-09-16 12:00:00,18.790618483732032,
2022-09-16 13:30:00,25.999468069368334,
2022-09-16 15:00:00,20.664979927053878,
2022-09-16 15:30:30,20.664979927053878,
2022-09-16 23:59:59,5.63696900330126,e
2022-09-19 00:00:00,-21.427199295303808,
2022-09-19 10:00:00,-55.983018929708805,
2022-09-19 10:30:00,-56.976716101305385,
2022-09-19 12:00:00,-57.44737220838903,
2022-09-19 13:30:00,-57.83596437575807,
2022-09-19 15:00:00,-50.15127978284312,
2022-09-19 15:30:30,-50.15127978284312,
2022-09-19 23:59:59,-37.5817195506267,c
2022-09-20 00:00:00,-75.6699554124935,
2022-09-20 10:00:00,-75.37713777026079,
2022-09-20 10:30:00,-69.98702520438604,
2022-09-20 12:00:00,-72.64545460507566,
2022-09-20 13:30:00,-81.07645464652086,
2022-09-20 15:00:00,-77.39582973708087,
2022-09-20 15:30:30,-77.39582973708087,
2022-09-20 23:59:59,-73.6597213600167,c
2022-09-21 00:00:00,-88.17816634198101,
2022-09-21 10:00:00,-110.91475608404568,
2022-09-21 10:30:00,-108.71018171886158,
2022-09-21 12:00:00,-114.35846105760862,
2022-09-21 13:30:00,-121.53953482215024,
2022-09-21 15:00:00,-114.65212776083126,
2022-09-21 15:30:30,-114.65212776083126,
2022-09-21 23:59:59,-124.22809033544505,c
2022-09-22 00:00:00,-119.66044037127301,
2022-09-22 10:00:00,-107.1901296910215,
2022-09-22 10:30:00,-87.03969277624503,
2022-09-22 12:00:00,-88.86292710884038,
2022-09-22 13:30:00,-84.99364780725216,
2022-09-22 15:00:00,-83.77031630246944,
2022-09-22 15:30:30,-83.77031630246944,
2022-09-22 23:59:59,-90.61221421678471,c
2022-09-23 00:00:00,-133.24409760438812,
2022-09-23 10:00:00,-142.20304519742263,
2022-09-23 10:30:00,-132.67048266032654,
2022-09-23 12:00:00,-151.47493343521947,
2022-09-23 13:30:00,-155.85595890892657,
2022-09-23 15:00:00,-157.05786769747723,
2022-09-23 15:30:30,-157.05786769747723,
2022-09-23 23:59:59,-144.4606592669266,w
2022-09-26 00:00:00,-153.06772300940005,
2022-09-26 10:00:00,-173.6785774109101,
2022-09-26 10:30:00,-177.04477962005095,
2022-09-26 12:00:00,-195.11829779994736,
2022-09-26 13:30:00,-199.71053057206763,
2022-09-26 15:00:00,-193.77348752404876,
2022-09-26 15:30:30,-193.77348752404876,
2022-09-26 23:59:59,-183.15969721434146,c
2022-09-27 00:00:00,-194.56908772346833,
2022-09-27 10:00:00,-185.80883496202577,
2022-09-27 10:30:00,-196.4213022171961,
2022-09-27 12:00:00,-198.6473443010182,
2022-09-27 13:30:00,-193.59844454599371,
2022-09-27 15:00:00,-188.45619823630693,
2022-09-27 15:30:30,-188.45619823630693,
2022-09-27 23:59:59,-189.05113908045394,c
2022-09-28 00:00:00,-176.9486468940832,
2022-09-28 10:00:00,-172.21606862854554,
2022-09-28 10:30:00,-172.8605596640374,
2022-09-28 12:00:00,-190.04446573992925,
2022-09-28 13:30:00,-193.3449622357299,
2022-09-28 15:00:00,-197.07761790353948,
2022-09-28 15:30:30,-197.07761790353948,
2022-09-28 23:59:59,-194.7004050910616,c
2022-09-29 00:00:00,-208.19457960238935,
2022-09-29 10:00:00,-226.03976351798588,
2022-09-29 10:30:00,-219.08953196961335,
2022-09-29 12:00:00,-199.62507238278315,
2022-09-29 13:30:00,-196.2131497300693,
2022-09-29 15:00:00,-206.7031886912203,
2022-09-29 15:30:30,-206.7031886912203,
2022-09-29 23:59:59,-210.37672287533286,c
2022-09-30 00:00:00,-227.5020174525716,
2022-09-30 10:00:00,-194.80809947549363,
2022-09-30 10:30:00,-190.0893024470999,
2022-09-30 12:00:00,-198.90424281741477,
2022-09-30 13:30:00,-210.67108220682772,
2022-09-30 15:00:00,-194.04741067439912,
2022-09-30 15:30:30,-194.04741067439912,
2022-09-30 23:59:59,-187.79596221626815,w
