date,EU_FTSE_DM_MIG_2022_Q3,meta
2022-08-29 11:00:00,296.69958179381047,
2022-08-29 23:59:59,298.93391209647393,c
2022-08-30 00:00:00,281.42929418490144,
2022-08-30 03:30:00,241.88629954992166,
2022-08-30 04:00:00,163.05509078374962,
2022-08-30 06:00:00,117.00376028163237,
2022-08-30 08:00:00,106.8685082123543,
2022-08-30 10:30:00,111.34626428199022,
2022-08-30 11:00:00,107.93486023206651,
2022-08-30 23:59:59,110.39569459403174,c
2022-08-31 00:00:00,138.98706253360456,
2022-08-31 03:30:00,129.04560929040713,
2022-08-31 04:00:00,142.13359915456158,
2022-08-31 06:00:00,144.30242180211803,
2022-08-31 08:00:00,157.09118085704017,
2022-08-31 10:30:00,153.20508172056248,
2022-08-31 11:00:00,159.2304940530903,
2022-08-31 23:59:59,162.61715280914746,c
2022-09-01 00:00:00,191.31780305331858,
2022-09-01 03:30:00,202.00292789225887,
2022-09-01 04:00:00,164.1564624483733,
2022-09-01 06:00:00,181.77367177659312,
2022-09-01 08:00:00,163.78806822551041,
2022-09-01 10:30:00,187.84430301017437,
2022-09-01 11:00:00,184.13843033331045,
2022-09-01 23:59:59,203.9529611361438,c
2022-09-02 00:00:00,180.35610052368838,
2022-09-02 03:30:00,168.01163299581935,
2022-09-02 04:00:00,194.82462719139357,
2022-09-02 06:00:00,203.0219730926724,
2022-09-02 08:00:00,211.3797663127557,
2022-09-02 10:30:00,218.25168684635264,
2022-09-02 11:00:00,212.5486115575536,
2022-09-02 23:59:59,197.8601834686233,w
2022-09-05 00:00:00,243.90202958671398,
2022-09-05 03:30:00,293.0860013252193,
2022-09-05 04:00:00,296.25364772150783,
2022-09-05 06:00:00,313.30747391454565,
2022-09-05 08:00:00,356.5851439549747,
2022-09-05 10:30:00,360.02713394113516,
2022-09-05 11:00:00,343.2178458464223,
2022-09-05 23:59:59,327.4895439831089,c
2022-09-06 00:00:00,317.65483819852966,
2022-09-06 03:30:00,318.6888384763215,
2022-09-06 04:00:00,323.05226823916337,
2022-09-06 06:00:00,303.1294168476509,
2022-09-06 08:00:00,307.60952200052884,
2022-09-06 10:30:00,328.96460562012226,
2022-09-06 11:00:00,298.7796364066096,
2022-09-06 23:59:59,320.4761225765285,c
2022-09-07 00:00:00,320.0992445461575,
2022-09-07 03:30:00,292.22383208905717,
2022-09-07 04:00:00,326.6306089935604,
2022-09-07 06:00:00,335.7421475560193,
2022-09-07 08:00:00,345.59638305320004,
2022-09-07 10:30:00,256.43468913787683,
2022-09-07 11:00:00,258.4899349402622,
2022-09-07 23:59:59,249.86784559381704,c
2022-09-08 00:00:00,227.96259313816654,
2022-09-08 03:30:00,336.21472395249134,
2022-09-08 04:00:00,325.9829759574093,
2022-09-08 06:00:00,317.54971827869554,
2022-09-08 08:00:00,336.9555003478133,
2022-09-08 10:30:00,363.64979597881256,
2022-09-08 11:00:00,359.76068617977285,
2022-09-08 23:59:59,378.65821630307437,c
2022-09-09 00:00:00,407.36242376703785,
2022-09-09 03:30:00,420.65816192517127,
2022-09-09 04:00:00,423.1140213933054,
2022-09-09 06:00:00,452.7557375528668,
2022-09-09 08:00:00,407.2273721271913,
2022-09-09 10:30:00,367.5033432039254,
2022-09-09 11:00:00,366.3444429889271,
2022-09-09 23:59:59,381.0454649220271,w
2022-09-12 00:00:00,459.8866955171127,
2022-09-12 03:30:00,480.25693018674747,
2022-09-12 04:00:00,482.319109834601,
2022-09-12 06:00:00,461.07388375347637,
2022-09-12 08:00:00,440.0368478294836,
2022-09-12 10:30:00,392.99451315425335,
2022-09-12 11:00:00,381.533522077156,
2022-09-12 23:59:59,382.9842113112936,c
2022-09-13 00:00:00,389.0522169664355,
2022-09-13 03:30:00,432.39411855163235,
2022-09-13 04:00:00,423.0102394858552,
2022-09-13 06:00:00,376.09890855878825,
2022-09-13 08:00:00,418.74455934925163,
2022-09-13 10:30:00,437.31109805854544,
2022-09-13 11:00:00,432.5731173561933,
2022-09-13 23:59:59,469.23904573636787,c
2022-09-14 00:00:00,482.5544763098926,
2022-09-14 03:30:00,464.5851712124113,
2022-09-14 04:00:00,444.63464670450435,
2022-09-14 06:00:00,496.1447846008555,
2022-09-14 08:00:00,484.7257175008647,
2022-09-14 10:30:00,484.71148196069,
2022-09-14 11:00:00,493.6156301720307,
2022-09-14 23:59:59,472.93726563495215,c
