date,CIBR_2022_Q4,meta
2022-12-28 10:00:00,-78.78136000232848,
2022-12-28 10:30:00,-73.77484899360803,
2022-12-28 12:00:00,-103.8528388683814,
2022-12-28 13:30:00,-80.13595660818757,
2022-12-28 15:00:00,-88.29472667397948,
2022-12-28 15:30:30,-88.29472667397948,
2022-12-28 23:59:59,-63.703079246254035,c
2022-12-29 00:00:00,-23.23039205714369,
2022-12-29 10:00:00,-9.411906382599838,
2022-12-29 10:30:00,24.598223527388967,
2022-12-29 12:00:00,60.6420498946639,
2022-12-29 13:30:00,41.091392848474754,
2022-12-29 15:00:00,49.67584896978204,
2022-12-29 15:30:30,49.67584896978204,
2022-12-29 23:59:59,66.56421992950797,c
2022-12-30 00:00:00,20.291902806192354,
2022-12-30 10:00:00,70.69269891730355,
2022-12-30 10:30:00,56.51717860646721,
2022-12-30 12:00:00,50.24078995186201,
2022-12-30 13:30:00,38.845569360677814,
2022-12-30 15:00:00,60.294617941050376,
2022-12-30 15:30:30,60.294617941050376,
2022-12-30 23:59:59,59.04960502786642,w
