date,MSCI_VNQ_2021_Q2,meta
2021-06-02 15:00:00,34.68835702127791,
2021-06-02 15:30:30,34.68835702127791,
2021-06-02 23:59:59,36.20848868391499,c
2021-06-03 00:00:00,9.964164070343145,
2021-06-03 10:00:00,34.7057097447227,
2021-06-03 10:30:00,59.58802692496619,
2021-06-03 12:00:00,69.52235433344947,
2021-06-03 13:30:00,71.79138956687586,
2021-06-03 15:00:00,51.342776531550555,
2021-06-03 15:30:30,51.342776531550555,
2021-06-03 23:59:59,49.09040906375543,c
2021-06-04 00:00:00,60.50389489179213,
2021-06-04 10:00:00,59.70031523515627,
2021-06-04 10:30:00,62.63070616420339,
2021-06-04 12:00:00,58.24843743049803,
2021-06-04 13:30:00,46.91573732994618,
2021-06-04 15:00:00,51.72240313777752,
2021-06-04 15:30:30,51.72240313777752,
2021-06-04 23:59:59,63.310422475421205,w
2021-06-07 00:00:00,54.95166103006085,
2021-06-07 10:00:00,82.04224269080157,
2021-06-07 10:30:00,70.90172743665579,
2021-06-07 12:00:00,76.75637989968016,
2021-06-07 13:30:00,67.88190820105575,
2021-06-07 15:00:00,63.939268537046985,
2021-06-07 15:30:30,63.939268537046985,
2021-06-07 23:59:59,69.79979992992037,c
2021-06-08 00:00:00,79.03712773609811,
2021-06-08 10:00:00,68.30686925840996,
2021-06-08 10:30:00,76.06288541148706,
2021-06-08 12:00:00,90.60340113048949,
2021-06-08 13:30:00,97.58850436604075,
2021-06-08 15:00:00,103.5633771364001,
2021-06-08 15:30:30,103.5633771364001,
2021-06-08 23:59:59,105.83250772015464,c
2021-06-09 00:00:00,113.99769717237149,
2021-06-09 10:00:00,113.95489555507396,
2021-06-09 10:30:00,116.87316511572357,
2021-06-09 12:00:00,100.44000184165799,
2021-06-09 13:30:00,111.12888200039191,
2021-06-09 15:00:00,99.64062629758678,
2021-06-09 15:30:30,99.64062629758678,
2021-06-09 23:59:59,85.4840574650994,c
2021-06-10 00:00:00,85.00503085019983,
2021-06-10 10:00:00,79.6562178602091,
2021-06-10 10:30:00,59.22094754454889,
2021-06-10 12:00:00,62.00345610053921,
2021-06-10 13:30:00,55.837047830315726,
2021-06-10 15:00:00,44.321139522665135,
2021-06-10 15:30:30,44.321139522665135,
2021-06-10 23:59:59,48.82227982982613,c
2021-06-11 00:00:00,40.261347934695095,
2021-06-11 10:00:00,58.770943953180904,
2021-06-11 10:30:00,62.60398810502744,
2021-06-11 12:00:00,45.62056316439049,
2021-06-11 13:30:00,53.76846926447962,
2021-06-11 15:00:00,74.00410969643036,
2021-06-11 15:30:30,74.00410969643036,
2021-06-11 23:59:59,60.715842477233195,w
2021-06-14 00:00:00,113.7633631808119,
2021-06-14 10:00:00,129.41197710009493,
2021-06-14 10:30:00,145.50075637042187,
2021-06-14 12:00:00,134.7088221605152,
2021-06-14 13:30:00,128.19784351148976,
2021-06-14 15:00:00,108.55960799855023,
2021-06-14 15:30:30,108.55960799855023,
2021-06-14 23:59:59,92.82812234648418,c
2021-06-15 00:00:00,108.02645842820101,
2021-06-15 10:00:00,108.05895247991106,
2021-06-15 10:30:00,76.54470178417944,
2021-06-15 12:00:00,91.73624762258078,
2021-06-15 13:30:00,84.8938916827073,
2021-06-15 15:00:00,60.49513387604202,
2021-06-15 15:30:30,60.49513387604202,
2021-06-15 23:59:59,59.37240443137961,c
2021-06-16 00:00:00,29.46877786954218,
2021-06-16 10:00:00,100.85194417866961,
2021-06-16 10:30:00,87.62448428192545,
2021-06-16 12:00:00,95.65946557350901,
2021-06-16 13:30:00,103.17685316438934,
2021-06-16 15:00:00,103.27618494444943,
2021-06-16 15:30:30,103.27618494444943,
2021-06-16 23:59:59,109.63704986923085,c
2021-06-17 00:00:00,77.4384713096133,
2021-06-17 10:00:00,127.68035840001656,
2021-06-17 10:30:00,125.62381819679516,
2021-06-17 12:00:00,115.56598224868753,
2021-06-17 13:30:00,96.99044807948803,
2021-06-17 15:00:00,92.98267039205399,
2021-06-17 15:30:30,92.98267039205399,
2021-06-17 23:59:59,75.16759715208605,c
