date,AR_MIGRATION_HEDGED_2022_Q2,meta
2022-06-06 13:30:00,-0.9505270610935952,
2022-06-06 15:00:00,10.40808987309623,
2022-06-06 15:30:30,10.40808987309623,
2022-06-06 23:59:59,0.3704202483280028,c
2022-06-07 00:00:00,16.381968144222796,
2022-06-07 10:00:00,-11.758050978110873,
2022-06-07 10:30:00,-30.931381222609687,
2022-06-07 12:00:00,-65.31618877913627,
2022-06-07 13:30:00,-80.37965750513868,
2022-06-07 15:00:00,-84.3173233094814,
2022-06-07 15:30:30,-84.3173233094814,u
2022-06-07 23:59:59,-66.86480890440109,c
2022-06-08 00:00:00,-71.2964124886548,
2022-06-08 10:00:00,-27.44322035274908,
2022-06-08 10:30:00,-18.968364183287903,
2022-06-08 12:00:00,18.75148904926172,
2022-06-08 13:30:00,29.361460798492644,
2022-06-08 15:00:00,42.96100307966373,
2022-06-08 15:30:30,42.96100307966373,
2022-06-08 23:59:59,31.379453621039318,c
2022-06-09 00:00:00,47.49732184535567,
2022-06-09 10:00:00,25.007635453596166,
2022-06-09 10:30:00,4.774016271639468,
2022-06-09 12:00:00,-10.030968226498373,
2022-06-09 13:30:00,-1.3246291566578066,
2022-06-09 15:00:00,-7.188052495142429,
2022-06-09 15:30:30,-7.188052495142429,
2022-06-09 23:59:59,-10.500821673660568,c
2022-06-10 00:00:00,-2.083229150403753,
2022-06-10 10:00:00,-28.11514924820537,
2022-06-10 10:30:00,-19.97216068518422,
2022-06-10 12:00:00,-32.56681014924018,
2022-06-10 13:30:00,-47.52766526110477,
2022-06-10 15:00:00,-62.20548546705115,
2022-06-10 15:30:30,-62.20548546705115,
2022-06-10 23:59:59,-71.16610051338685,w
2022-06-13 00:00:00,-64.03602401815317,
2022-06-13 10:00:00,-94.46873670349717,
2022-06-13 10:30:00,-66.91923424646413,
2022-06-13 12:00:00,-91.8154801162602,
2022-06-13 13:30:00,-95.50227993538238,
2022-06-13 15:00:00,-101.28376095913487,
2022-06-13 15:30:30,-101.28376095913487,
2022-06-13 23:59:59,-98.72600407043808,c
2022-06-14 00:00:00,-99.96031603561542,
2022-06-14 10:00:00,-31.32044833028668,
2022-06-14 10:30:00,-29.39243814799994,
2022-06-14 12:00:00,-59.44295244494447,
2022-06-14 13:30:00,-39.31334470486854,
2022-06-14 15:00:00,-21.128116960821544,
2022-06-14 15:30:30,-21.128116960821544,
2022-06-14 23:59:59,-23.487657216543667,c
2022-06-15 00:00:00,-48.131673569778314,
2022-06-15 10:00:00,-42.08965315763166,
2022-06-15 10:30:00,-52.017841131330215,
2022-06-15 12:00:00,-51.05649797137565,
2022-06-15 13:30:00,-39.294022386207274,
2022-06-15 15:00:00,-14.038132297948295,
2022-06-15 15:30:30,-14.038132297948295,
2022-06-15 23:59:59,-4.5190060447337,c
2022-06-16 00:00:00,-25.305694363422916,
2022-06-16 10:00:00,-37.64694562396551,
2022-06-16 10:30:00,-50.87623164971612,
2022-06-16 12:00:00,-23.031833681144235,
2022-06-16 13:30:00,-15.235807634021057,
2022-06-16 15:00:00,11.891754351197932,
2022-06-16 15:30:30,11.891754351197932,
2022-06-16 23:59:59,6.962958949057409,c
2022-06-17 00:00:00,-13.064575989778078,
2022-06-17 10:00:00,46.02161053150352,
2022-06-17 10:30:00,34.37189023543111,
2022-06-17 12:00:00,75.20030146078372,
2022-06-17 13:30:00,100.13990305525526,
2022-06-17 15:00:00,83.38420087199442,
2022-06-17 15:30:30,83.38420087199442,q
2022-06-17 23:59:59,79.40300056523216,w
2022-06-20 00:00:00,79.40300056523216,
2022-06-20 10:00:00,79.40300056523216,
2022-06-20 10:30:00,79.40300056523216,
2022-06-20 12:00:00,79.40300056523216,
2022-06-20 13:30:00,79.40300056523216,
2022-06-20 15:00:00,79.40300056523216,
2022-06-20 15:30:30,79.40300056523216,
2022-06-20 23:59:59,79.40300056523216,c
2022-06-21 00:00:00,89.16864012953774,
2022-06-21 10:00:00,101.53421396737797,
2022-06-21 10:30:00,111.49762528241422,
2022-06-21 12:00:00,125.79776054862693,
2022-06-21 13:30:00,92.818231407622,
2022-06-21 15:00:00,74.33706823716363,
2022-06-21 15:30:30,74.33706823716363,
2022-06-21 23:59:59,52.16180843993723,c
2022-06-22 00:00:00,63.76265633264154,
2022-06-22 10:00:00,83.25068818803334,
2022-06-22 10:30:00,71.97152477937249,
2022-06-22 12:00:00,95.87216666564902,
2022-06-22 13:30:00,98.47181306649473,
2022-06-22 15:00:00,72.32115375038603,
2022-06-22 15:30:30,72.32115375038603,
2022-06-22 23:59:59,60.761641928069125,c
2022-06-23 00:00:00,83.73193236788114,
2022-06-23 10:00:00,93.84779890746819,
2022-06-23 10:30:00,98.95512286332357,
2022-06-23 12:00:00,102.49008064744751,
2022-06-23 13:30:00,95.35579679926238,
2022-06-23 15:00:00,113.2608478973258,
2022-06-23 15:30:30,113.2608478973258,
2022-06-23 23:59:59,92.29696676369042,c
2022-06-24 00:00:00,99.45419475898419,
2022-06-24 10:00:00,57.647511095054526,
2022-06-24 10:30:00,11.51628721392315,
2022-06-24 12:00:00,5.386304766594975,
2022-06-24 13:30:00,-2.420863547949068,
2022-06-24 15:00:00,46.60073060980443,
2022-06-24 15:30:30,46.60073060980443,
2022-06-24 23:59:59,-123.03149783819543,e
2022-06-27 00:00:00,-126.34615474128051,
2022-06-27 10:00:00,-53.5869080538844,
2022-06-27 10:30:00,-73.26963065893736,
2022-06-27 12:00:00,-107.21394957047761,
2022-06-27 13:30:00,-109.63049807687429,
2022-06-27 15:00:00,-121.24452226895829,
2022-06-27 15:30:30,-121.24452226895829,
2022-06-27 23:59:59,-97.85201331225883,c
2022-06-28 00:00:00,-98.2913865502698,
2022-06-28 10:00:00,-89.78065665861538,
2022-06-28 10:30:00,-82.60299583695621,
2022-06-28 12:00:00,-72.32975578493861,
2022-06-28 13:30:00,-97.1141727564573,
2022-06-28 15:00:00,-97.98578550287394,
2022-06-28 15:30:30,-97.98578550287394,
2022-06-28 23:59:59,-91.10196620594465,c
2022-06-29 00:00:00,-86.37642540145566,
2022-06-29 10:00:00,-105.47722026005854,
2022-06-29 10:30:00,-112.14222646661906,
2022-06-29 12:00:00,-102.1163798177891,
2022-06-29 13:30:00,-104.75506430338936,
2022-06-29 15:00:00,-106.0951768485483,
2022-06-29 15:30:30,-106.0951768485483,
2022-06-29 23:59:59,-106.14775096834731,c
2022-06-30 00:00:00,-106.79235636295823,
2022-06-30 10:00:00,-96.28652145186433,
2022-06-30 10:30:00,-99.71376456343282,
2022-06-30 12:00:00,-95.67920879444625,
2022-06-30 13:30:00,-75.26077568259427,
2022-06-30 15:00:00,-57.14179957550883,
2022-06-30 15:30:30,-57.14179957550883,
2022-06-30 23:59:59,-55.24001077032361,c
2022-07-01 00:00:00,-40.14355557601567,
2022-07-01 10:00:00,-51.228360652016136,
2022-07-01 10:30:00,-57.00780547436864,
2022-07-01 12:00:00,-49.792927232803095,
2022-07-01 13:30:00,-43.56172388974551,
2022-07-01 15:00:00,-45.41497823459028,
2022-07-01 15:30:30,-45.41497823459028,
2022-07-01 23:59:59,-37.20072627453999,w
2022-07-04 00:00:00,-37.20072627453999,
2022-07-04 10:00:00,-37.20072627453999,
2022-07-04 10:30:00,-37.20072627453999,
2022-07-04 12:00:00,-37.20072627453999,
2022-07-04 13:30:00,-37.20072627453999,
2022-07-04 15:00:00,-37.20072627453999,
2022-07-04 15:30:30,-37.20072627453999,
2022-07-04 23:59:59,-37.20072627453999,c
2022-07-05 00:00:00,-33.94422351953861,
2022-07-05 10:00:00,-24.261273972707457,
2022-07-05 10:30:00,6.583639351098796,
2022-07-05 12:00:00,17.43943099782257,
2022-07-05 13:30:00,21.737249319410495,
2022-07-05 15:00:00,25.45966121100423,
2022-07-05 15:30:30,25.45966121100423,
2022-07-05 23:59:59,30.63101850961489,c
2022-07-06 00:00:00,39.988591468911466,
2022-07-06 10:00:00,44.567087760802224,
2022-07-06 10:30:00,59.866321451322975,
2022-07-06 12:00:00,57.6194031622969,
2022-07-06 13:30:00,60.78524063705773,
2022-07-06 15:00:00,50.08913351968515,
2022-07-06 15:30:30,50.08913351968515,
2022-07-06 23:59:59,69.41317272422307,c
2022-07-07 00:00:00,59.511996658281596,
2022-07-07 10:00:00,51.7699546380149,
2022-07-07 10:30:00,47.954316693203964,
2022-07-07 12:00:00,29.170338573059027,
2022-07-07 13:30:00,1.70642185459279,
2022-07-07 15:00:00,-1.542339553636026,
2022-07-07 15:30:30,-1.542339553636026,
2022-07-07 23:59:59,4.0524185489150994,c
2022-07-08 00:00:00,0.38244161803721965,
2022-07-08 10:00:00,14.364069639019675,
2022-07-08 10:30:00,16.908050174517314,
2022-07-08 12:00:00,10.34976431498157,
2022-07-08 13:30:00,11.024354400920558,
2022-07-08 15:00:00,6.593532397723706,
2022-07-08 15:30:30,6.593532397723706,
2022-07-08 23:59:59,15.852479770817197,w
2022-07-11 00:00:00,-3.565682415850617,
2022-07-11 10:00:00,-30.687840585245212,
2022-07-11 10:30:00,-24.639714947642318,
2022-07-11 12:00:00,-29.3670538791459,
2022-07-11 13:30:00,-39.42279963093307,
2022-07-11 15:00:00,-50.748772794101626,
2022-07-11 15:30:30,-50.748772794101626,
2022-07-11 23:59:59,-48.09142907810585,c
2022-07-12 00:00:00,-32.63565576219398,
2022-07-12 10:00:00,-27.836065235178907,
2022-07-12 10:30:00,-21.860067287163147,
2022-07-12 12:00:00,-17.958183070758793,
2022-07-12 13:30:00,-7.177058624492545,
2022-07-12 15:00:00,-3.001705574016384,
2022-07-12 15:30:30,-3.001705574016384,
2022-07-12 23:59:59,2.360353659484204,c
2022-07-13 00:00:00,-1.0258340067052671,
2022-07-13 10:00:00,-22.98666416431223,
2022-07-13 10:30:00,-25.210262938980932,
2022-07-13 12:00:00,-49.40835316937938,
2022-07-13 13:30:00,-59.06601639078875,
2022-07-13 15:00:00,-49.61806319254515,
2022-07-13 15:30:30,-49.61806319254515,
2022-07-13 23:59:59,-37.38988405858319,c
2022-07-14 00:00:00,-21.098463554152318,
2022-07-14 10:00:00,-50.339927014229744,
2022-07-14 10:30:00,-32.667748124666616,
2022-07-14 12:00:00,-49.80270223315259,
2022-07-14 13:30:00,-48.85949869029386,
2022-07-14 15:00:00,-53.95115813542344,
2022-07-14 15:30:30,-53.95115813542344,
2022-07-14 23:59:59,-60.306906380455246,c
2022-07-15 00:00:00,-51.72764225230631,
2022-07-15 10:00:00,-58.60120171649237,
2022-07-15 10:30:00,-63.40939361993594,
2022-07-15 12:00:00,-51.07549099637194,
2022-07-15 13:30:00,-50.42461601118586,
2022-07-15 15:00:00,-48.701978156657134,
2022-07-15 15:30:30,-48.701978156657134,
2022-07-15 23:59:59,-56.80462014676846,w
2022-07-18 00:00:00,-63.065406460655,
2022-07-18 10:00:00,-61.15543488852785,
2022-07-18 10:30:00,-73.48656405269702,
2022-07-18 12:00:00,-59.407260935018485,
2022-07-18 13:30:00,-71.14602661359902,
2022-07-18 15:00:00,-80.08667858348022,
2022-07-18 15:30:30,-80.08667858348022,
2022-07-18 23:59:59,-78.87924548887193,c
2022-07-19 00:00:00,-92.33185450087646,
2022-07-19 10:00:00,-92.13113744802834,
2022-07-19 10:30:00,-91.2080773739487,
2022-07-19 12:00:00,-83.53178964465542,
2022-07-19 13:30:00,-84.06552723107902,
2022-07-19 15:00:00,-82.3033159193223,
2022-07-19 15:30:30,-82.3033159193223,
2022-07-19 23:59:59,-75.4182855418862,c
2022-07-20 00:00:00,-73.74412655118599,
2022-07-20 10:00:00,-65.8104400202572,
2022-07-20 10:30:00,-63.11940433828627,
2022-07-20 12:00:00,-80.04890505959105,
2022-07-20 13:30:00,-86.9647478574725,
2022-07-20 15:00:00,-95.84637360178635,
2022-07-20 15:30:30,-95.84637360178635,
2022-07-20 23:59:59,-100.91695364748963,c
2022-07-21 00:00:00,-115.18145615403438,
2022-07-21 10:00:00,-117.13081629646427,
2022-07-21 10:30:00,-118.35777241287224,
2022-07-21 12:00:00,-121.32034776994638,
2022-07-21 13:30:00,-113.78583588816943,
2022-07-21 15:00:00,-114.74373972869535,
2022-07-21 15:30:30,-114.74373972869535,
2022-07-21 23:59:59,-108.17658294282134,c
2022-07-22 00:00:00,-150.38743596875338,
2022-07-22 10:00:00,-162.7245537047269,
2022-07-22 10:30:00,-174.6434020207058,
2022-07-22 12:00:00,-158.4608190481722,
2022-07-22 13:30:00,-154.75027743260577,
2022-07-22 15:00:00,-150.42840228908383,
2022-07-22 15:30:30,-150.42840228908383,
2022-07-22 23:59:59,-150.5904225490701,w
2022-07-25 00:00:00,-147.19763385242183,
2022-07-25 10:00:00,-164.98959876114,
2022-07-25 10:30:00,-162.08544305993755,
2022-07-25 12:00:00,-158.16582979273372,
2022-07-25 13:30:00,-171.2108156501245,
2022-07-25 15:00:00,-186.90829366994737,
2022-07-25 15:30:30,-186.90829366994737,
2022-07-25 23:59:59,-185.6114967161861,c
2022-07-26 00:00:00,-201.46709984917752,
2022-07-26 10:00:00,-227.94927689306886,
2022-07-26 10:30:00,-219.3934854933958,
2022-07-26 12:00:00,-197.51853138955298,
2022-07-26 13:30:00,-195.84386450702507,
2022-07-26 15:00:00,-199.13032582966164,
2022-07-26 15:30:30,-199.13032582966164,
2022-07-26 23:59:59,-202.04367784918495,c
2022-07-27 00:00:00,-175.40135023699108,
2022-07-27 10:00:00,-180.77178976480346,
2022-07-27 10:30:00,-180.3365518156027,
2022-07-27 12:00:00,-164.71748244273115,
2022-07-27 13:30:00,-167.30213267800232,
2022-07-27 15:00:00,-160.36276185967688,
2022-07-27 15:30:30,-160.36276185967688,
2022-07-27 23:59:59,-161.427699449068,c
2022-07-28 00:00:00,-163.47107217550732,
2022-07-28 10:00:00,-168.09286682236043,
2022-07-28 10:30:00,-169.48647406581878,
2022-07-28 12:00:00,-172.83148108649905,
2022-07-28 13:30:00,-164.09427258215297,
2022-07-28 15:00:00,-150.19119161204483,
2022-07-28 15:30:30,-150.19119161204483,
2022-07-28 23:59:59,-145.2969015868522,c
2022-07-29 00:00:00,-145.2969015868522,
2022-07-29 10:00:00,-145.2969015868522,
2022-07-29 10:30:00,-145.2969015868522,
2022-07-29 12:00:00,-145.2969015868522,
2022-07-29 13:30:00,-145.2969015868522,
2022-07-29 15:00:00,-145.2969015868522,
2022-07-29 15:30:30,-145.2969015868522,
2022-07-29 23:59:59,-145.2969015868522,w
