date,EU_NAREIT_2023_Q1,meta
2023-03-01 11:00:00,20.592903334816356,
2023-03-01 23:59:59,0.0,a
2023-03-02 00:00:00,-6.828188682010023,
2023-03-02 03:30:00,43.23921714175299,
2023-03-02 04:00:00,79.67764172612897,
2023-03-02 06:00:00,121.77652922321545,
2023-03-02 08:00:00,93.61272985400706,
2023-03-02 10:30:00,123.99047161567023,
2023-03-02 11:00:00,121.88435355884758,
2023-03-02 23:59:59,140.0074870841081,c
2023-03-03 00:00:00,126.46493622386288,
2023-03-03 03:30:00,151.6205564163463,
2023-03-03 04:00:00,157.01242146013442,
2023-03-03 06:00:00,180.40315502740918,
2023-03-03 08:00:00,168.55501208665055,
2023-03-03 10:30:00,175.4403749728765,
2023-03-03 11:00:00,156.59113326348324,
2023-03-03 23:59:59,143.97514264343613,w
2023-03-06 00:00:00,103.04884451129169,
2023-03-06 03:30:00,68.1677746694179,
2023-03-06 04:00:00,102.12174314899539,
2023-03-06 06:00:00,116.13673931317317,
2023-03-06 08:00:00,111.42349957525244,
2023-03-06 10:30:00,129.44788747769212,
2023-03-06 11:00:00,149.759143699702,
2023-03-06 23:59:59,157.32058236561488,c
2023-03-07 00:00:00,187.4505393460181,
2023-03-07 03:30:00,187.6853354661764,
2023-03-07 04:00:00,194.76273995184215,
2023-03-07 06:00:00,174.04803871086392,
2023-03-07 08:00:00,140.41404975545083,
2023-03-07 10:30:00,101.26057060310177,
2023-03-07 11:00:00,104.4912603508485,
2023-03-07 23:59:59,124.46480024965695,c
2023-03-08 00:00:00,142.99225036534108,
2023-03-08 03:30:00,147.29331068131137,
2023-03-08 04:00:00,135.33557363323757,
2023-03-08 06:00:00,126.75557843825459,
2023-03-08 08:00:00,104.22866569164876,
2023-03-08 10:30:00,111.85412881473417,
2023-03-08 11:00:00,78.99114820671844,
2023-03-08 23:59:59,101.56794763274775,c
2023-03-09 00:00:00,117.06860467839033,
2023-03-09 03:30:00,88.53106492312327,
2023-03-09 04:00:00,74.19670925928199,
2023-03-09 06:00:00,14.018492208481803,
2023-03-09 08:00:00,60.681459879329395,
2023-03-09 10:30:00,130.81624004426476,
2023-03-09 11:00:00,132.35980891022473,
2023-03-09 23:59:59,158.937945346903,c
2023-03-10 00:00:00,158.937945346903,
2023-03-10 03:30:00,158.937945346903,
2023-03-10 04:00:00,158.937945346903,
2023-03-10 06:00:00,158.937945346903,
2023-03-10 08:00:00,158.937945346903,
2023-03-10 10:30:00,158.937945346903,
2023-03-10 11:00:00,158.937945346903,
2023-03-10 23:59:59,158.937945346903,w
2023-03-13 00:00:00,158.937945346903,
2023-03-13 03:30:00,158.937945346903,
2023-03-13 04:00:00,158.937945346903,
2023-03-13 06:00:00,158.937945346903,
2023-03-13 08:00:00,158.937945346903,
2023-03-13 10:30:00,158.937945346903,
2023-03-13 11:00:00,158.937945346903,
2023-03-13 23:59:59,158.937945346903,c
2023-03-14 00:00:00,158.937945346903,
2023-03-14 03:30:00,158.937945346903,
2023-03-14 04:00:00,158.937945346903,
2023-03-14 06:00:00,158.937945346903,
2023-03-14 08:00:00,158.937945346903,
2023-03-14 10:30:00,158.937945346903,
2023-03-14 11:00:00,158.937945346903,
2023-03-14 23:59:59,158.937945346903,c
2023-03-15 00:00:00,158.937945346903,
2023-03-15 03:30:00,158.937945346903,
2023-03-15 04:00:00,158.937945346903,
2023-03-15 06:00:00,158.937945346903,
2023-03-15 08:00:00,158.937945346903,
2023-03-15 10:30:00,158.937945346903,
2023-03-15 11:00:00,158.937945346903,
2023-03-15 23:59:59,158.937945346903,c
2023-03-16 00:00:00,158.937945346903,
2023-03-16 03:30:00,158.937945346903,
2023-03-16 04:00:00,158.937945346903,
2023-03-16 06:00:00,158.937945346903,
2023-03-16 08:00:00,158.937945346903,
2023-03-16 10:30:00,158.937945346903,
2023-03-16 11:00:00,158.937945346903,
2023-03-16 23:59:59,158.937945346903,c
2023-03-17 00:00:00,158.937945346903,
2023-03-17 03:30:00,158.937945346903,
2023-03-17 04:00:00,158.937945346903,
2023-03-17 06:00:00,158.937945346903,
2023-03-17 08:00:00,158.937945346903,
2023-03-17 10:30:00,158.937945346903,
2023-03-17 11:00:00,158.937945346903,
2023-03-17 23:59:59,158.937945346903,e
2023-03-20 00:00:00,158.937945346903,
2023-03-20 03:30:00,158.937945346903,
2023-03-20 04:00:00,158.937945346903,
2023-03-20 06:00:00,158.937945346903,
2023-03-20 08:00:00,158.937945346903,
2023-03-20 10:30:00,158.937945346903,
2023-03-20 11:00:00,158.937945346903,
2023-03-20 23:59:59,158.937945346903,c
2023-03-21 00:00:00,158.937945346903,
2023-03-21 03:30:00,158.937945346903,
2023-03-21 04:00:00,158.937945346903,
2023-03-21 06:00:00,158.937945346903,
2023-03-21 08:00:00,158.937945346903,
2023-03-21 10:30:00,158.937945346903,
2023-03-21 11:00:00,158.937945346903,
2023-03-21 23:59:59,158.937945346903,c
2023-03-22 00:00:00,158.937945346903,
2023-03-22 03:30:00,158.937945346903,
2023-03-22 04:00:00,158.937945346903,
2023-03-22 06:00:00,158.937945346903,
2023-03-22 08:00:00,158.937945346903,
2023-03-22 10:30:00,158.937945346903,
2023-03-22 11:00:00,158.937945346903,
2023-03-22 23:59:59,158.937945346903,c
2023-03-23 00:00:00,158.937945346903,
