date,CRSP_MIG_HEDGED_2020_Q4,meta
2020-11-13 15:00:00,311.0407501699992,
2020-11-13 15:30:30,311.0407501699992,
2020-11-13 23:59:59,304.03649301780206,w
2020-11-16 00:00:00,270.6010039670766,
2020-11-16 10:00:00,246.71829002588834,
2020-11-16 10:30:00,246.1147005069423,
2020-11-16 12:00:00,274.1284354554439,
2020-11-16 13:30:00,264.863829409931,
2020-11-16 15:00:00,279.5196290891039,
2020-11-16 15:30:30,279.5196290891039,
2020-11-16 23:59:59,291.36162429272724,c
2020-11-17 00:00:00,284.8489413849783,
2020-11-17 10:00:00,315.13948663461883,
2020-11-17 10:30:00,324.1925610186811,
2020-11-17 12:00:00,299.0114921506098,
2020-11-17 13:30:00,292.6489228203193,
2020-11-17 15:00:00,282.2695820520911,
2020-11-17 15:30:30,282.2695820520911,
2020-11-17 23:59:59,284.1401368183069,c
2020-11-18 00:00:00,293.0613871053422,
2020-11-18 10:00:00,307.6115068812338,
2020-11-18 10:30:00,294.7034411185658,
2020-11-18 12:00:00,284.03517465469304,
2020-11-18 13:30:00,284.91578400038634,
2020-11-18 15:00:00,290.53560078019257,
2020-11-18 15:30:30,290.53560078019257,
2020-11-18 23:59:59,281.043317975465,c
2020-11-19 00:00:00,276.90339312276444,
2020-11-19 10:00:00,298.6228589839477,
2020-11-19 10:30:00,279.2772289234829,
2020-11-19 12:00:00,278.29659040249317,
2020-11-19 13:30:00,281.66896791126123,
2020-11-19 15:00:00,266.0551543832098,
2020-11-19 15:30:30,266.0551543832098,
2020-11-19 23:59:59,283.3973517946878,c
2020-11-20 00:00:00,288.9416299579252,
2020-11-20 10:00:00,257.7521944959054,
2020-11-20 10:30:00,242.8921780896552,
2020-11-20 12:00:00,277.5092658474729,
2020-11-20 13:30:00,278.4579907422093,
2020-11-20 15:00:00,258.15544098392377,
2020-11-20 15:30:30,258.15544098392377,
2020-11-20 23:59:59,249.8840644886634,w
2020-11-23 00:00:00,188.1057065703177,
2020-11-23 10:00:00,198.9541408285097,
2020-11-23 10:30:00,213.26503836842835,
2020-11-23 12:00:00,225.85511027402117,
2020-11-23 13:30:00,221.87570597553167,
2020-11-23 15:00:00,219.6192187059272,
2020-11-23 15:30:30,219.6192187059272,
2020-11-23 23:59:59,234.5023053676931,c
2020-11-24 00:00:00,217.7539487810858,
2020-11-24 10:00:00,231.09638951543036,
2020-11-24 10:30:00,262.77614573999324,
2020-11-24 12:00:00,266.00920166988783,
2020-11-24 13:30:00,259.32504391772784,
2020-11-24 15:00:00,240.60666565203235,
2020-11-24 15:30:30,240.60666565203235,
2020-11-24 23:59:59,242.751131814955,c
2020-11-25 00:00:00,230.48477791400126,
2020-11-25 10:00:00,225.99518492668608,
2020-11-25 10:30:00,207.27361137837,
2020-11-25 12:00:00,207.81542969217674,
2020-11-25 13:30:00,175.59126378375936,
2020-11-25 15:00:00,157.3138289228649,
2020-11-25 15:30:30,157.3138289228649,
2020-11-25 23:59:59,157.15769486494037,c
2020-11-26 00:00:00,157.15769486494037,
2020-11-26 10:00:00,157.15769486494037,
2020-11-26 10:30:00,157.15769486494037,
2020-11-26 12:00:00,157.15769486494037,
2020-11-26 13:30:00,157.15769486494037,
2020-11-26 15:00:00,157.15769486494037,
2020-11-26 15:30:30,157.15769486494037,
2020-11-26 23:59:59,157.15769486494037,c
2020-11-27 00:00:00,145.4219280009678,
2020-11-27 10:00:00,121.87536166578707,
2020-11-27 10:30:00,119.09258187694809,
2020-11-27 12:00:00,114.84838701273827,
2020-11-27 13:30:00,114.84838701273827,
2020-11-27 15:00:00,114.84838701273827,
2020-11-27 15:30:30,114.84838701273827,
2020-11-27 23:59:59,114.2315745580288,w
2020-11-30 00:00:00,66.75215215608989,
2020-11-30 10:00:00,71.26482030005559,
2020-11-30 10:30:00,63.43905957118716,
2020-11-30 12:00:00,63.422930883427284,
2020-11-30 13:30:00,78.09972861187225,
2020-11-30 15:00:00,92.4360070405063,
2020-11-30 15:30:30,92.4360070405063,x
2020-11-30 23:59:59,94.79066357589795,c
2020-12-01 00:00:00,2.3987175082394288,
2020-12-01 10:00:00,4.614999333641094,
2020-12-01 10:30:00,19.152714965849555,
2020-12-01 12:00:00,28.13365771234271,
2020-12-01 13:30:00,45.693117544952315,
2020-12-01 15:00:00,77.99184490537198,
2020-12-01 15:30:30,77.99184490537198,
2020-12-01 23:59:59,66.14634984933741,c
2020-12-02 00:00:00,47.65355498713188,
2020-12-02 10:00:00,49.817964250563705,
2020-12-02 10:30:00,16.724664736213754,
2020-12-02 12:00:00,36.13802506425645,
2020-12-02 13:30:00,18.50263492477609,
2020-12-02 15:00:00,21.667021099509498,
2020-12-02 15:30:30,21.667021099509498,
2020-12-02 23:59:59,12.813393053911113,c
2020-12-03 00:00:00,-11.490519710081458,
2020-12-03 10:00:00,-11.300014501400824,
2020-12-03 10:30:00,-16.702867760472657,
2020-12-03 12:00:00,-49.19195597757903,
2020-12-03 13:30:00,-38.61174204031954,
2020-12-03 15:00:00,-13.559009373898448,
2020-12-03 15:30:30,-13.559009373898448,
2020-12-03 23:59:59,-28.957440422210254,c
2020-12-04 00:00:00,-34.95642340270473,
2020-12-04 10:00:00,-25.610305906731867,
2020-12-04 10:30:00,-14.142915736120074,
2020-12-04 12:00:00,-13.561632882969775,
2020-12-04 13:30:00,-15.89930411313918,
2020-12-04 15:00:00,-18.513681695396144,
2020-12-04 15:30:30,-18.513681695396144,s
2020-12-04 23:59:59,0.0,a
2020-12-07 00:00:00,6.375102853950693,
2020-12-07 10:00:00,80.02867787029584,
2020-12-07 10:30:00,53.419487506908695,
2020-12-07 12:00:00,60.42376596257213,
2020-12-07 13:30:00,53.676139267955364,
2020-12-07 15:00:00,53.1656542792,
2020-12-07 15:30:30,53.1656542792,
2020-12-07 23:59:59,66.772949901669,c
2020-12-08 00:00:00,45.53530645088324,
2020-12-08 10:00:00,20.145011099792214,
2020-12-08 10:30:00,23.0016425917712,
2020-12-08 12:00:00,37.25826516081213,
2020-12-08 13:30:00,52.62205659759786,
2020-12-08 15:00:00,39.98500486459011,
2020-12-08 15:30:30,39.98500486459011,
2020-12-08 23:59:59,38.40290534447331,c
2020-12-09 00:00:00,24.665748867253456,
2020-12-09 10:00:00,22.668125187976102,
2020-12-09 10:30:00,7.803072989052225,
2020-12-09 12:00:00,15.883626160839185,
2020-12-09 13:30:00,30.613284158532792,
2020-12-09 15:00:00,-4.223350322441092,
2020-12-09 15:30:30,-4.223350322441092,
2020-12-09 23:59:59,-9.139576106395168,c
2020-12-10 00:00:00,-10.666673069112335,
2020-12-10 10:00:00,-24.18432626000748,
2020-12-10 10:30:00,-25.09224310495972,
2020-12-10 12:00:00,-41.83735936064926,
2020-12-10 13:30:00,-59.46604566728092,
2020-12-10 15:00:00,-47.59482090816874,
2020-12-10 15:30:30,-47.59482090816874,
2020-12-10 23:59:59,-64.76286950815478,c
2020-12-11 00:00:00,-71.68894867652477,
2020-12-11 10:00:00,-57.426631375580996,
2020-12-11 10:30:00,-56.2803546295969,
2020-12-11 12:00:00,-93.85007666364265,
2020-12-11 13:30:00,-81.84978863941757,
2020-12-11 15:00:00,-49.20454556143227,
2020-12-11 15:30:30,-49.20454556143227,
2020-12-11 23:59:59,-43.18439572331761,w
2020-12-14 00:00:00,-64.31892519926708,
2020-12-14 10:00:00,-42.80216050326908,
2020-12-14 10:30:00,-38.85119649490838,
2020-12-14 12:00:00,-51.35010415951365,
2020-12-14 13:30:00,-51.448938055854114,
2020-12-14 15:00:00,-27.982459877921883,
2020-12-14 15:30:30,-27.982459877921883,
2020-12-14 23:59:59,-52.20013231026343,c
2020-12-15 00:00:00,-51.21950458308788,
2020-12-15 10:00:00,-33.26809610831344,
2020-12-15 10:30:00,-29.677680060832017,
2020-12-15 12:00:00,12.874696403442499,
2020-12-15 13:30:00,37.449541346008345,
2020-12-15 15:00:00,27.142659657827267,
2020-12-15 15:30:30,27.142659657827267,
2020-12-15 23:59:59,31.623980044922746,c
2020-12-16 00:00:00,45.00553651101427,
2020-12-16 10:00:00,87.00144982285076,
2020-12-16 10:30:00,101.50259537227396,
2020-12-16 12:00:00,92.20427844843266,
2020-12-16 13:30:00,80.11280412959661,
2020-12-16 15:00:00,68.11805330552,
