date,NDX_HEDGED_2022_Q4,meta
2022-11-25 15:00:00,85.97421212790928,
2022-11-25 15:30:30,85.97421212790928,
2022-11-25 23:59:59,89.4235408459653,w
2022-11-28 00:00:00,90.3590750565907,
2022-11-28 10:00:00,75.85362960680068,
2022-11-28 10:30:00,75.29047178924773,
2022-11-28 12:00:00,83.3820783575376,
2022-11-28 13:30:00,73.37719734353776,
2022-11-28 15:00:00,77.04016025192834,
2022-11-28 15:30:30,77.04016025192834,
2022-11-28 23:59:59,72.51313268072151,c
2022-11-29 00:00:00,66.19613522371023,
2022-11-29 10:00:00,49.108283579494525,
2022-11-29 10:30:00,55.22970248984868,
2022-11-29 12:00:00,61.38946908466994,
2022-11-29 13:30:00,63.41402773063396,
2022-11-29 15:00:00,63.745016322425926,
2022-11-29 15:30:30,63.745016322425926,
2022-11-29 23:59:59,67.20667920331299,c
2022-11-30 00:00:00,62.9357255763903,
2022-11-30 10:00:00,69.28400370938672,
2022-11-30 10:30:00,55.468583124264825,
2022-11-30 12:00:00,63.88972010254125,
2022-11-30 13:30:00,63.24977072803216,
2022-11-30 15:00:00,65.86735643875517,
2022-11-30 15:30:30,65.86735643875517,s
2022-11-30 23:59:59,99.77308635347343,c
2022-12-01 00:00:00,100.31718436555738,
2022-12-01 10:00:00,70.87653788430312,
2022-12-01 10:30:00,64.44602351746161,
2022-12-01 12:00:00,79.30443791011923,
2022-12-01 13:30:00,80.28383741111735,
2022-12-01 15:00:00,75.77931008050861,
2022-12-01 15:30:30,75.77931008050861,
2022-12-01 23:59:59,72.13653966562394,c
2022-12-02 00:00:00,90.98273774413533,
2022-12-02 10:00:00,79.37145007074844,
2022-12-02 10:30:00,76.6257029683788,
2022-12-02 12:00:00,70.24403470244198,
2022-12-02 13:30:00,81.879624614064,
2022-12-02 15:00:00,78.25839071547003,
2022-12-02 15:30:30,78.25839071547003,
2022-12-02 23:59:59,83.24894763036266,w
2022-12-05 00:00:00,50.00559838232303,
2022-12-05 10:00:00,69.19443883218796,
2022-12-05 10:30:00,69.44007737376032,
2022-12-05 12:00:00,68.34368675633428,
2022-12-05 13:30:00,60.23712677663707,
2022-12-05 15:00:00,63.42506290922907,
2022-12-05 15:30:30,63.42506290922907,
2022-12-05 23:59:59,61.32171562802708,c
2022-12-06 00:00:00,44.504252259236665,
2022-12-06 10:00:00,49.163916794163526,
2022-12-06 10:30:00,52.54288321748709,
2022-12-06 12:00:00,47.81741262764726,
2022-12-06 13:30:00,40.06659800862971,
2022-12-06 15:00:00,38.60656030912966,
2022-12-06 15:30:30,38.60656030912966,
2022-12-06 23:59:59,32.96523534651075,c
2022-12-07 00:00:00,36.577040953875695,
2022-12-07 10:00:00,41.71160766848149,
2022-12-07 10:30:00,34.187168986288924,
2022-12-07 12:00:00,25.078968460649776,
2022-12-07 13:30:00,36.55554114375232,
2022-12-07 15:00:00,28.609584917823014,
2022-12-07 15:30:30,28.609584917823014,
2022-12-07 23:59:59,31.062394456049418,c
2022-12-08 00:00:00,17.506420302969218,
2022-12-08 10:00:00,7.529912452351766,
2022-12-08 10:30:00,2.676071828963501,
2022-12-08 12:00:00,-2.9209674855642334,
2022-12-08 13:30:00,10.214338369135504,
2022-12-08 15:00:00,12.624846252325966,
2022-12-08 15:30:30,12.624846252325966,
2022-12-08 23:59:59,9.269450073830427,c
2022-12-09 00:00:00,-6.947781035674353,
2022-12-09 10:00:00,19.097704041544716,
2022-12-09 10:30:00,11.89242204252804,
2022-12-09 12:00:00,9.466357522120916,
2022-12-09 13:30:00,-2.612922881095585,
2022-12-09 15:00:00,0.6698851541393651,
2022-12-09 15:30:30,0.6698851541393651,
2022-12-09 23:59:59,0.0,a
2022-12-12 00:00:00,-0.26793971528724114,
2022-12-12 10:00:00,24.221030703918842,
2022-12-12 10:30:00,17.95651100582853,
2022-12-12 12:00:00,-5.4904285662811105,
2022-12-12 13:30:00,-0.6239035962332764,
2022-12-12 15:00:00,-14.962987193828184,
2022-12-12 15:30:30,-14.962987193828184,
2022-12-12 23:59:59,-16.863941493457418,c
2022-12-13 00:00:00,-27.931928056905207,
2022-12-13 10:00:00,-24.74392848258023,
2022-12-13 10:30:00,-35.11099954395684,
2022-12-13 12:00:00,-41.62045534719036,
2022-12-13 13:30:00,-47.500572123146696,
2022-12-13 15:00:00,-44.45449287272123,
2022-12-13 15:30:30,-44.45449287272123,
2022-12-13 23:59:59,-51.814102778423745,c
2022-12-14 00:00:00,-43.039584693286486,
2022-12-14 10:00:00,-38.38318541336557,
2022-12-14 10:30:00,-40.81738875861072,
2022-12-14 12:00:00,-32.55884036035974,
2022-12-14 13:30:00,-38.367220430070404,
2022-12-14 15:00:00,-35.366153974252256,
2022-12-14 15:30:30,-35.366153974252256,
2022-12-14 23:59:59,-37.6140954358161,c
2022-12-15 00:00:00,-51.4076261585212,
2022-12-15 10:00:00,-21.735594638892564,
2022-12-15 10:30:00,-11.917067000005147,
2022-12-15 12:00:00,-31.908308809363376,
2022-12-15 13:30:00,-14.360652371124615,
2022-12-15 15:00:00,-15.386503219967892,
2022-12-15 15:30:30,-15.386503219967892,
2022-12-15 23:59:59,-14.886858007299452,c
2022-12-16 00:00:00,-5.731140129290878,
2022-12-16 10:00:00,-10.91268772965583,
2022-12-16 10:30:00,-30.25577853122155,
2022-12-16 12:00:00,-64.08044162255328,
2022-12-16 13:30:00,-42.68730867461207,
2022-12-16 15:00:00,-57.21856953540154,
2022-12-16 15:30:30,-57.21856953540154,
2022-12-16 23:59:59,-59.126108943320304,e
2022-12-19 00:00:00,-65.16286998943144,
2022-12-19 10:00:00,-61.85849595618117,
2022-12-19 10:30:00,-73.9599687089023,
2022-12-19 12:00:00,-89.43527271676373,
2022-12-19 13:30:00,-81.61101801414412,
2022-12-19 15:00:00,-92.07607254647678,
2022-12-19 15:30:30,-92.07607254647678,
2022-12-19 23:59:59,-89.67279739786329,c
2022-12-20 00:00:00,-76.10499239528792,
2022-12-20 10:00:00,-67.27221771932915,
2022-12-20 10:30:00,-94.2350223567139,
2022-12-20 12:00:00,-113.21566433704749,
2022-12-20 13:30:00,-110.43395402527295,
2022-12-20 15:00:00,-111.3339725361401,
2022-12-20 15:30:30,-111.3339725361401,
2022-12-20 23:59:59,-118.72925975745596,c
2022-12-21 00:00:00,-119.85250184644542,
2022-12-21 10:00:00,-141.04278002380045,
2022-12-21 10:30:00,-154.01427898567948,
2022-12-21 12:00:00,-154.783002998293,
2022-12-21 13:30:00,-147.4725395625348,
2022-12-21 15:00:00,-147.51421456843457,
2022-12-21 15:30:30,-147.51421456843457,
2022-12-21 23:59:59,-165.86014157409113,c
2022-12-22 00:00:00,-172.02806181081354,
2022-12-22 10:00:00,-182.4609732461471,
2022-12-22 10:30:00,-190.284993789196,
2022-12-22 12:00:00,-201.18790311009815,
2022-12-22 13:30:00,-208.0186797363993,
2022-12-22 15:00:00,-204.5489870397342,
2022-12-22 15:30:30,-204.5489870397342,
2022-12-22 23:59:59,-202.5010011855981,c
2022-12-23 00:00:00,-198.389835518025,
2022-12-23 10:00:00,-196.56631321705703,
2022-12-23 10:30:00,-186.21139040585848,
2022-12-23 12:00:00,-188.78447324609004,
