date,AS_MSCI_MINVOL_2022_Q2,meta
2022-05-17 00:00:00,-32.90140397064283,
2022-05-17 01:00:00,-32.48030204397401,
2022-05-17 02:30:00,-40.296419693642974,
2022-05-17 03:00:00,-43.62187285334289,
2022-05-17 18:30:00,-43.629115844920534,
2022-05-17 20:00:00,-43.899836950129156,
2022-05-17 23:00:00,-52.90650531653432,
2022-05-17 23:59:59,-53.28831685023579,c
2022-05-18 00:00:00,-46.034998955176206,
2022-05-18 01:00:00,-42.724735372814166,
2022-05-18 02:30:00,-40.423096033866386,
2022-05-18 03:00:00,-37.486292067405884,
2022-05-18 18:30:00,-42.543319192428044,
2022-05-18 20:00:00,-42.670446573765275,
2022-05-18 23:00:00,-34.71727761275997,
2022-05-18 23:59:59,-22.738541700069163,c
2022-05-19 00:00:00,-21.29622501260451,
2022-05-19 01:00:00,-14.863505768929144,
2022-05-19 02:30:00,-16.391766356065773,
2022-05-19 03:00:00,-15.486752042399303,
2022-05-19 18:30:00,-13.640720898521522,
2022-05-19 20:00:00,-13.568247771210054,
2022-05-19 23:00:00,7.958114773484795,
2022-05-19 23:59:59,0.0,a
2022-05-20 00:00:00,-0.628728672208581,
2022-05-20 01:00:00,0.1711325810749713,
2022-05-20 02:30:00,-11.151193718050763,
2022-05-20 03:00:00,-15.447435270492406,
2022-05-20 18:30:00,-15.447435270492406,
2022-05-20 20:00:00,-15.447435270492406,
2022-05-20 23:00:00,-15.447435270492406,
2022-05-20 23:59:59,-13.400627750145759,w
2022-05-23 00:00:00,-24.98621182541251,
2022-05-23 01:00:00,-23.47361182157897,
2022-05-23 02:30:00,-28.29071928456574,
2022-05-23 03:00:00,-28.753171547535885,
2022-05-23 18:30:00,-25.23314130722042,
2022-05-23 20:00:00,-25.400176364561958,
2022-05-23 23:00:00,-18.133562378216993,
2022-05-23 23:59:59,-25.077751978867354,c
2022-05-24 00:00:00,-19.22405266530336,
2022-05-24 01:00:00,-25.063499399218244,
2022-05-24 02:30:00,-18.37573431882265,
2022-05-24 03:00:00,-14.36997655551454,
2022-05-24 18:30:00,-14.403867197998125,
2022-05-24 20:00:00,-14.012737168723334,
2022-05-24 23:00:00,-25.834909426888544,
2022-05-24 23:59:59,-37.36035959646597,c
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
0,-37.36035959646597,
2022-05-25 00:00:00,-19.72467248392786,
2022-05-25 01:00:00,-22.703679112420332,
2022-05-25 02:30:00,-22.08436244367317,
2022-05-25 03:00:00,-22.760857902600264,
2022-05-25 18:30:00,-24.919423585560025,
2022-05-25 20:00:00,-24.742522368270784,
2022-05-25 23:00:00,-42.70793027251875,
2022-05-25 23:59:59,-54.714244481018795,c
2022-05-26 00:00:00,-47.052552387092874,
2022-05-26 01:00:00,-53.489358616867776,
2022-05-26 02:30:00,-43.393219076189325,
2022-05-26 03:00:00,-42.887749615097164,
2022-05-26 18:30:00,-48.01869622076879,
2022-05-26 20:00:00,-48.245248637144414,
2022-05-26 23:00:00,-49.01280459657983,
2022-05-26 23:59:59,-48.4560141099023,c
2022-05-27 00:00:00,-59.7089629634504,
2022-05-27 01:00:00,-57.75550544010025,
2022-05-27 02:30:00,-52.01358557673075,
2022-05-27 03:00:00,-54.47334098380634,
2022-05-27 18:30:00,-54.47334098380634,
2022-05-27 20:00:00,-54.47334098380634,
2022-05-27 23:00:00,-54.47334098380634,
2022-05-27 23:59:59,-62.74037923246783,w
2022-05-30 00:00:00,-133.67200302046876,
2022-05-30 01:00:00,-129.61132376865226,
2022-05-30 02:30:00,-132.55800887319242,
2022-05-30 03:00:00,-135.07047921960293,
2022-05-30 18:30:00,-137.73676009583392,
2022-05-30 20:00:00,-137.9181788022538,
2022-05-30 23:00:00,-177.9448847299177,
2022-05-30 23:59:59,-168.66096077780617,c
2022-05-31 00:00:00,-155.6168772212461,
2022-05-31 01:00:00,-145.17955634402006,
2022-05-31 02:30:00,-186.1521813391148,
2022-05-31 03:00:00,-179.6539579750281,
2022-05-31 18:30:00,-186.41184413473002,
2022-05-31 20:00:00,-186.50042261836256,
2022-05-31 23:00:00,-227.4765858072335,
2022-05-31 23:59:59,-234.4564586605095,e
2022-06-01 00:00:00,-208.47460203538776,
2022-06-01 01:00:00,-207.52583782157876,
2022-06-01 02:30:00,-201.44266560801543,
2022-06-01 03:00:00,-201.9732838935215,
2022-06-01 18:30:00,-204.54754995479902,
2022-06-01 20:00:00,-204.90135454019423,
2022-06-01 23:00:00,-219.79834041623167,
2022-06-01 23:59:59,-215.37789837804576,c
2022-06-02 00:00:00,-208.05494616923534,
2022-06-02 01:00:00,-211.71249582919745,
2022-06-02 02:30:00,-213.19423546258759,
2022-06-02 03:00:00,-212.61582304760736,
2022-06-02 18:30:00,-212.61582304760736,
2022-06-02 20:00:00,-212.61582304760736,
2022-06-02 23:00:00,-210.18820667301839,
2022-06-02 23:59:59,-208.69280387236677,c
2022-06-03 00:00:00,-207.44432832308826,
2022-06-03 01:00:00,-206.57230239987393,
2022-06-03 02:30:00,-206.57230239987393,
2022-06-03 03:00:00,-206.57230239987393,
2022-06-03 18:30:00,-206.57230239987393,
2022-06-03 20:00:00,-206.57230239987393,
2022-06-03 23:00:00,-206.57230239987393,
2022-06-03 23:59:59,-206.5116396561,w
2022-06-06 00:00:00,-217.23874397599434,
2022-06-06 01:00:00,-209.92420830056562,
2022-06-06 02:30:00,-210.45129653294543,
2022-06-06 03:00:00,-209.86283419010783,
