date,REGL_2022_Q1,meta
2022-01-24 15:00:00,-10.074098596627017,
2022-01-24 15:30:30,-10.074098596627017,
2022-01-24 23:59:59,0.0,a
2022-01-25 00:00:00,-16.184208632051856,
2022-01-25 10:00:00,11.374240022169424,
2022-01-25 10:30:00,44.65831306993054,
2022-01-25 12:00:00,45.931436093300825,
2022-01-25 13:30:00,66.95383485467296,
2022-01-25 15:00:00,71.60805644730901,
2022-01-25 15:30:30,71.60805644730901,
2022-01-25 23:59:59,80.46137370485866,c
2022-01-26 00:00:00,77.63214203448072,
2022-01-26 10:00:00,48.168188144124834,
2022-01-26 10:30:00,36.76925448698998,
2022-01-26 12:00:00,41.406715483146925,
2022-01-26 13:30:00,38.99498265874585,
2022-01-26 15:00:00,29.58010343326553,
2022-01-26 15:30:30,29.58010343326553,
2022-01-26 23:59:59,21.968514856289374,c
2022-01-27 00:00:00,34.93817259785385,
2022-01-27 10:00:00,8.963404453417908,
2022-01-27 10:30:00,15.30666978022456,
2022-01-27 12:00:00,15.500521711132265,
2022-01-27 13:30:00,7.3831879095291555,
2022-01-27 15:00:00,13.931326083796911,
2022-01-27 15:30:30,13.931326083796911,
2022-01-27 23:59:59,11.832915573773874,c
2022-01-28 00:00:00,-2.008454995646872,
2022-01-28 10:00:00,25.383827571566375,
2022-01-28 10:30:00,14.327911864834121,
2022-01-28 12:00:00,51.22542914497744,
2022-01-28 13:30:00,44.39377056859479,
2022-01-28 15:00:00,38.38771107799526,
2022-01-28 15:30:30,38.38771107799526,
2022-01-28 23:59:59,35.62054367799908,w
2022-01-31 00:00:00,27.406407653263816,
2022-01-31 10:00:00,71.00475924855535,
2022-01-31 10:30:00,56.38984628409888,
2022-01-31 12:00:00,60.0643538550582,
2022-01-31 13:30:00,48.82681345904411,
2022-01-31 15:00:00,46.51210096197496,
2022-01-31 15:30:30,46.51210096197496,
2022-01-31 23:59:59,53.58119187820935,e
2022-02-01 00:00:00,30.4437122389516,
2022-02-01 10:00:00,74.83650868105708,
2022-02-01 10:30:00,84.02575827207015,
2022-02-01 12:00:00,55.20377784202174,
2022-02-01 13:30:00,37.45759004612417,
2022-02-01 15:00:00,36.998810857238006,
2022-02-01 15:30:30,36.998810857238006,
2022-02-01 23:59:59,48.98121044943128,c
2022-02-02 00:00:00,53.55988360901432,
2022-02-02 10:00:00,-4.990972498937204,
2022-02-02 10:30:00,-7.118836665649148,
2022-02-02 12:00:00,3.7996594278693436,
2022-02-02 13:30:00,2.5088128413724107,
2022-02-02 15:00:00,3.939135109338615,
2022-02-02 15:30:30,3.939135109338615,
2022-02-02 23:59:59,11.212573243855935,c
2022-02-03 00:00:00,8.101118051791218,
2022-02-03 10:00:00,14.724737014328987,
2022-02-03 10:30:00,14.378080272598645,
2022-02-03 12:00:00,30.689405159363453,
2022-02-03 13:30:00,41.90630673717716,
2022-02-03 15:00:00,30.580517061710385,
2022-02-03 15:30:30,30.580517061710385,
2022-02-03 23:59:59,34.53277033107314,c
2022-02-04 00:00:00,15.019110332529763,
2022-02-04 10:00:00,45.74459841435253,
2022-02-04 10:30:00,55.0572494267404,
2022-02-04 12:00:00,43.21512062800547,
2022-02-04 13:30:00,62.24967632013628,
2022-02-04 15:00:00,78.18696452303782,
2022-02-04 15:30:30,78.18696452303782,
2022-02-04 23:59:59,78.26682855354501,w
2022-02-07 00:00:00,65.65845823258219,
2022-02-07 10:00:00,103.36129390511951,
2022-02-07 10:30:00,88.48587689269934,
2022-02-07 12:00:00,59.22031377511863,
2022-02-07 13:30:00,88.80642250695288,
2022-02-07 15:00:00,74.56507555975146,
2022-02-07 15:30:30,74.56507555975146,
2022-02-07 23:59:59,70.26905702303921,c
2022-02-08 00:00:00,88.44546150774443,
2022-02-08 10:00:00,131.12749670004604,
2022-02-08 10:30:00,146.60955647894804,
2022-02-08 12:00:00,131.9306619366001,
2022-02-08 13:30:00,114.977346396589,
2022-02-08 15:00:00,107.68061208159781,
2022-02-08 15:30:30,107.68061208159781,
2022-02-08 23:59:59,144.77673766365953,c
2022-02-09 00:00:00,107.54861975658783,
2022-02-09 10:00:00,155.77353298085384,
2022-02-09 10:30:00,165.67875299602625,
2022-02-09 12:00:00,159.9727415544418,
2022-02-09 13:30:00,157.126566914341,
2022-02-09 15:00:00,152.68133916855967,
2022-02-09 15:30:30,152.68133916855967,
2022-02-09 23:59:59,131.11095173979785,c
2022-02-10 00:00:00,111.11776980472625,
2022-02-10 10:00:00,148.70171683745468,
2022-02-10 10:30:00,142.97659686679495,
2022-02-10 12:00:00,126.66073266125042,
2022-02-10 13:30:00,117.46981836717654,
2022-02-10 15:00:00,109.21208029572857,
2022-02-10 15:30:30,109.21208029572857,
2022-02-10 23:59:59,117.52621389896646,c
2022-02-11 00:00:00,79.11045834738621,
2022-02-11 10:00:00,129.1346069231648,
2022-02-11 10:30:00,130.75184011800664,
2022-02-11 12:00:00,92.11661027908599,
2022-02-11 13:30:00,86.9996794084976,
2022-02-11 15:00:00,96.2162364902641,
2022-02-11 15:30:30,96.2162364902641,
2022-02-11 23:59:59,95.76931328306432,w
2022-02-14 00:00:00,94.12191066147864,
2022-02-14 10:00:00,88.53697970866925,
2022-02-14 10:30:00,100.94383880396765,
2022-02-14 12:00:00,103.55131687438546,
2022-02-14 13:30:00,114.78107264979937,
2022-02-14 15:00:00,113.60024361123766,
2022-02-14 15:30:30,113.60024361123766,
2022-02-14 23:59:59,116.53062218670587,c
