date,AS_MSCI_EM_HK_STAY_2022_Q3,meta
2022-07-21 03:00:00,316.636206178521,
2022-07-21 18:30:00,316.636206178521,
2022-07-21 20:00:00,316.636206178521,
2022-07-21 23:00:00,290.10831832026787,
2022-07-21 23:59:59,276.3996624143366,c
2022-07-22 00:00:00,297.06586984023005,
2022-07-22 01:00:00,297.06586984023005,
2022-07-22 02:30:00,299.6236758919,
2022-07-22 03:00:00,309.17005905825084,
2022-07-22 18:30:00,309.17005905825084,
2022-07-22 20:00:00,309.17005905825084,
2022-07-22 23:00:00,309.17005905825084,
2022-07-22 23:59:59,296.9816690813471,w
2022-07-25 00:00:00,231.1103285464626,
2022-07-25 01:00:00,231.1103285464626,
2022-07-25 02:30:00,256.04848737249256,
2022-07-25 03:00:00,259.6653579093886,
2022-07-25 18:30:00,259.6653579093886,
2022-07-25 20:00:00,259.6653579093886,
2022-07-25 23:00:00,247.26712579353978,
2022-07-25 23:59:59,261.5053322442924,c
2022-07-26 00:00:00,268.81434474421746,
2022-07-26 01:00:00,268.81434474421746,
2022-07-26 02:30:00,272.78898135492665,
2022-07-26 03:00:00,269.2609773951269,
2022-07-26 18:30:00,269.2609773951269,
2022-07-26 20:00:00,269.2609773951269,
2022-07-26 23:00:00,268.87641683576703,
2022-07-26 23:59:59,258.0862593986104,c
2022-07-27 00:00:00,259.5220178119373,
2022-07-27 01:00:00,259.5220178119373,
2022-07-27 02:30:00,279.7506823146319,
2022-07-27 03:00:00,269.18916804798226,
2022-07-27 18:30:00,269.18916804798226,
2022-07-27 20:00:00,269.18916804798226,
2022-07-27 23:00:00,251.991111545259,
2022-07-27 23:59:59,233.93079007800088,c
2022-07-28 00:00:00,239.86381221268817,
2022-07-28 01:00:00,239.86381221268817,
2022-07-28 02:30:00,210.17847077821864,
2022-07-28 03:00:00,204.4353749515314,
2022-07-28 18:30:00,204.4353749515314,
2022-07-28 20:00:00,204.4353749515314,
2022-07-28 23:00:00,68.37290869355243,
2022-07-28 23:59:59,67.7569184025846,c
2022-07-29 00:00:00,77.01624824164819,
2022-07-29 01:00:00,77.01624824164819,
2022-07-29 02:30:00,65.93937822631679,
2022-07-29 03:00:00,26.77784448977758,
2022-07-29 18:30:00,26.77784448977758,
2022-07-29 20:00:00,26.77784448977758,
2022-07-29 23:00:00,26.77784448977758,
2022-07-29 23:59:59,40.99093719794651,w
2022-08-01 00:00:00,132.51945730869068,
2022-08-01 01:00:00,132.51945730869068,
2022-08-01 02:30:00,129.0842125144508,
2022-08-01 03:00:00,127.82521690233028,
2022-08-01 18:30:00,127.82521690233028,
2022-08-01 20:00:00,127.82521690233028,
2022-08-01 23:00:00,112.76427188143867,
2022-08-01 23:59:59,123.58819233311448,c
2022-08-02 00:00:00,97.65008803424297,
2022-08-02 01:00:00,97.65008803424297,
2022-08-02 02:30:00,129.24553291515653,
2022-08-02 03:00:00,120.8588344949392,
2022-08-02 18:30:00,120.8588344949392,
2022-08-02 20:00:00,120.8588344949392,
2022-08-02 23:00:00,109.7263631961819,
2022-08-02 23:59:59,128.8774932403763,c
2022-08-03 00:00:00,153.21169630165977,
2022-08-03 01:00:00,153.21169630165977,
2022-08-03 02:30:00,172.0094453271391,
2022-08-03 03:00:00,151.55813369683662,
2022-08-03 18:30:00,151.55813369683662,
2022-08-03 20:00:00,151.55813369683662,
2022-08-03 23:00:00,192.64196595454717,
2022-08-03 23:59:59,181.1015012684203,c
2022-08-04 00:00:00,212.15428354207927,
2022-08-04 01:00:00,212.15428354207927,
2022-08-04 02:30:00,215.366882549085,
2022-08-04 03:00:00,220.12598410382844,
2022-08-04 18:30:00,220.12598410382844,
2022-08-04 20:00:00,220.12598410382844,
2022-08-04 23:00:00,166.09380514786056,
2022-08-04 23:59:59,180.02308964929722,c
2022-08-05 00:00:00,208.1705572326871,
2022-08-05 01:00:00,208.1705572326871,
2022-08-05 02:30:00,195.95644800891358,
2022-08-05 03:00:00,170.07316817377875,
2022-08-05 18:30:00,170.07316817377875,
2022-08-05 20:00:00,170.07316817377875,
2022-08-05 23:00:00,170.07316817377875,
2022-08-05 23:59:59,175.05073600927065,w
2022-08-08 00:00:00,115.83549945170353,
