date,YYY_2021_Q3,meta
2021-07-12 10:30:00,98.87326915698019,
2021-07-12 12:00:00,106.5609745068977,
2021-07-12 13:30:00,92.36376275619027,
2021-07-12 15:00:00,98.07462678068904,
2021-07-12 15:30:30,98.07462678068904,
2021-07-12 23:59:59,99.38596395020731,c
2021-07-13 00:00:00,100.74866977738,
2021-07-13 10:00:00,100.01997122685037,
2021-07-13 10:30:00,111.90400813628857,
2021-07-13 12:00:00,125.16841563419663,
2021-07-13 13:30:00,128.0537676271623,
2021-07-13 15:00:00,126.17573945017926,
2021-07-13 15:30:30,126.17573945017926,
2021-07-13 23:59:59,129.0517483489783,c
2021-07-14 00:00:00,129.96005613541578,
2021-07-14 10:00:00,126.06270837416193,
2021-07-14 10:30:00,127.38196596008305,
2021-07-14 12:00:00,117.22915914590152,
2021-07-14 13:30:00,113.73395248798963,
2021-07-14 15:00:00,115.56565164082674,
2021-07-14 15:30:30,115.56565164082674,
2021-07-14 23:59:59,132.311801966393,c
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
0,132.311801966393,
2021-07-15 00:00:00,132.6148843178184,
2021-07-15 10:00:00,136.37578853248934,
2021-07-15 10:30:00,139.35310319317557,
2021-07-15 12:00:00,146.7528090492995,
2021-07-15 13:30:00,146.28297346095326,
2021-07-15 15:00:00,152.7858624051317,
2021-07-15 15:30:30,152.7858624051317,
2021-07-15 23:59:59,161.62626346957234,c
2021-07-16 00:00:00,161.62631596864597,
2021-07-16 10:00:00,192.635375672538,
2021-07-16 10:30:00,206.5503432175463,
2021-07-16 12:00:00,201.3914929559967,
2021-07-16 13:30:00,214.9184387040337,
2021-07-16 15:00:00,228.23309277145077,
2021-07-16 15:30:30,228.23309277145077,
2021-07-16 23:59:59,160.27179610062112,e
2021-07-19 00:00:00,155.22979867510452,
2021-07-19 10:00:00,145.43604820391496,
2021-07-19 10:30:00,172.29884670242672,
2021-07-19 12:00:00,158.79525051204374,
2021-07-19 13:30:00,153.7469377767371,
2021-07-19 15:00:00,159.29883636792826,
2021-07-19 15:30:30,159.29883636792826,
2021-07-19 23:59:59,157.39426889637363,c
2021-07-20 00:00:00,160.4561240474979,
2021-07-20 10:00:00,157.54493111297603,
2021-07-20 10:30:00,159.76229564211738,
2021-07-20 12:00:00,151.05645234608025,
2021-07-20 13:30:00,151.68056966443356,
2021-07-20 15:00:00,149.76890432812297,
2021-07-20 15:30:30,149.76890432812297,
2021-07-20 23:59:59,151.63991226394901,c
2021-07-21 00:00:00,154.3898690965099,
2021-07-21 10:00:00,148.2395018082982,
2021-07-21 10:30:00,158.13657244834877,
2021-07-21 12:00:00,152.1372193773512,
2021-07-21 13:30:00,155.48498677824003,
2021-07-21 15:00:00,172.13624971369438,
2021-07-21 15:30:30,172.13624971369438,
2021-07-21 23:59:59,170.65654981289316,c
2021-07-22 00:00:00,166.98986054560964,
2021-07-22 10:00:00,169.75023375498455,
2021-07-22 10:30:00,169.3149658147455,
2021-07-22 12:00:00,169.52142885048804,
2021-07-22 13:30:00,168.36033544813802,
2021-07-22 15:00:00,161.0919152681329,
2021-07-22 15:30:30,161.0919152681329,
2021-07-22 23:59:59,155.00958688030656,c
2021-07-23 00:00:00,155.92632921562995,
2021-07-23 10:00:00,164.54894053270473,
2021-07-23 10:30:00,164.83740022747978,
2021-07-23 12:00:00,161.88380904218062,
2021-07-23 13:30:00,159.92490867933222,
2021-07-23 15:00:00,165.25398333830418,
2021-07-23 15:30:30,165.25398333830418,
2021-07-23 23:59:59,160.04684357048285,w
2021-07-26 00:00:00,158.2134023808872,
2021-07-26 10:00:00,143.2027913873668,
2021-07-26 10:30:00,142.397843937404,
2021-07-26 12:00:00,140.15477476233465,
2021-07-26 13:30:00,135.05539785930983,
2021-07-26 15:00:00,136.68302976336847,
2021-07-26 15:30:30,136.68302976336847,
2021-07-26 23:59:59,135.30814321669334,c
2021-07-27 00:00:00,137.14156436140266,
2021-07-27 10:00:00,132.93427309111806,
2021-07-27 10:30:00,119.58684127787838,
2021-07-27 12:00:00,112.74547915203438,
2021-07-27 13:30:00,111.8597270875106,
2021-07-27 15:00:00,123.20457385646773,
2021-07-27 15:30:30,123.20457385646773,
2021-07-27 23:59:59,122.66551009827054,c
2021-07-28 00:00:00,126.33243928507966,
2021-07-28 10:00:00,119.54065446982774,
2021-07-28 10:30:00,122.97521618948491,
2021-07-28 12:00:00,124.52204217506625,
2021-07-28 13:30:00,132.02225491323097,
2021-07-28 15:00:00,127.89549999135585,
2021-07-28 15:30:30,127.89549999135585,
2021-07-28 23:59:59,126.1793452295129,c
2021-07-29 00:00:00,128.47096295787946,
2021-07-29 10:00:00,119.07799835427883,
2021-07-29 10:30:00,116.9157447281818,
2021-07-29 12:00:00,117.32941351294578,
2021-07-29 13:30:00,112.10704335509635,
2021-07-29 15:00:00,109.61815850106696,
2021-07-29 15:30:30,109.61815850106696,
2021-07-29 23:59:59,107.50989357171207,c
2021-07-30 00:00:00,110.2600694616066,
2021-07-30 10:00:00,113.42842409737736,
2021-07-30 10:30:00,121.20462672485321,
2021-07-30 12:00:00,124.05727820009878,
2021-07-30 13:30:00,127.99369144729252,
2021-07-30 15:00:00,124.35009171162352,
2021-07-30 15:30:30,124.35009171162352,
2021-07-30 23:59:59,127.86333683969784,w
2021-08-02 00:00:00,128.32184128174262,
2021-08-02 10:00:00,129.11003296509395,
2021-08-02 10:30:00,136.0431912583112,
2021-08-02 12:00:00,146.45887469770918,
2021-08-02 13:30:00,147.95112222200962,
2021-08-02 15:00:00,155.07395836680277,
2021-08-02 15:30:30,155.07395836680277,
2021-08-02 23:59:59,150.6587272782395,c
2021-08-03 00:00:00,151.1170831715979,
2021-08-03 10:00:00,152.9835110055319,
2021-08-03 10:30:00,153.86178600520654,
2021-08-03 12:00:00,154.73141820313325,
2021-08-03 13:30:00,148.61684064368222,
2021-08-03 15:00:00,150.36133446721982,
2021-08-03 15:30:30,150.36133446721982,
2021-08-03 23:59:59,156.7012654959469,c
2021-08-04 00:00:00,155.78464170284144,
2021-08-04 10:00:00,157.69475042373995,
2021-08-04 10:30:00,157.22318027784854,
2021-08-04 12:00:00,169.55829454470734,
2021-08-04 13:30:00,166.24506824329023,
2021-08-04 15:00:00,167.15295567488403,
2021-08-04 15:30:30,167.15295567488403,
2021-08-04 23:59:59,165.1065571142645,c
2021-08-05 00:00:00,168.31504164587304,
2021-08-05 10:00:00,171.5011311850616,
2021-08-05 10:30:00,160.47507288862624,
2021-08-05 12:00:00,166.63841816020295,
2021-08-05 13:30:00,164.61294396263867,
2021-08-05 15:00:00,164.3288742498697,
2021-08-05 15:30:30,164.3288742498697,
2021-08-05 23:59:59,158.09631350446537,c
2021-08-06 00:00:00,159.01296517208175,
2021-08-06 10:00:00,146.97326120468307,
2021-08-06 10:30:00,150.00033450935265,
2021-08-06 12:00:00,149.2835400420173,
2021-08-06 13:30:00,148.66502948987232,
2021-08-06 15:00:00,149.13112906329715,
2021-08-06 15:30:30,149.13112906329715,
2021-08-06 23:59:59,148.31044573135074,w
